Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Illinois (Big Ten),13,8-5,16,13,0,0,19,0,166,12.8
Iowa (Big Ten),13,8-5,18,17,0,0,16,0,173,13.3
Air Force (Mountain West),13,10-3,20,16,1,0,12,0,174,13.4
Minnesota (Big Ten),13,9-4,18,18,0,0,18,0,180,13.8
Georgia (SEC),15,15-0,23,19,0,0,19,0,214,14.3
Marshall (Sun Belt),13,9-4,25,20,1,0,12,0,208,16.0
Michigan (Big Ten),14,13-1,25,22,1,0,17,0,225,16.1
Troy (Sun Belt),14,12-2,29,23,0,0,13,2,240,17.1
Alabama (SEC),13,11-2,27,22,2,0,16,0,236,18.2
Penn St. (Big Ten),13,11-2,28,25,1,0,14,0,237,18.2
Louisville (ACC),13,8-5,30,30,0,0,13,0,249,19.2
NC State (ACC),13,8-5,29,27,0,0,16,0,249,19.2
Kentucky (SEC),13,7-6,29,23,2,0,15,2,250,19.2
Fresno St. (Mountain West),14,10-4,31,25,2,0,19,0,272,19.4
Boise St. (Mountain West),14,10-4,33,31,1,0,14,0,273,19.5
Oregon St. (Pac-12),13,10-3,31,29,0,0,15,0,260,20.0
Wisconsin (Big Ten),13,7-6,33,32,0,0,11,0,263,20.2
Iowa St. (Big 12),12,4-8,30,30,0,0,11,0,243,20.2
San Diego St. (Mountain West),13,7-6,34,31,1,0,10,0,267,20.5
Cincinnati (AAC),13,9-4,33,30,0,0,12,2,268,20.6
Florida St. (ACC),13,10-3,32,29,1,0,15,0,268,20.6
Texas A&M (SEC),12,5-7,30,29,0,0,13,0,248,20.7
Clemson (ACC),14,11-3,36,34,0,0,14,0,292,20.9
Ohio St. (Big Ten),13,11-2,33,30,2,1,13,0,273,21.0
South Alabama (Sun Belt),13,10-3,32,29,1,0,18,0,277,21.3
Utah (Pac-12),14,10-4,38,36,2,0,10,1,300,21.4
Texas (Big 12),13,8-5,33,31,1,0,16,1,281,21.6
Kansas St. (Big 12),14,10-4,37,29,2,0,17,0,306,21.9
San Jose St. (Mountain West),12,7-5,33,28,2,1,10,1,264,22.0
LSU (SEC),14,10-4,37,34,1,0,17,0,309,22.1
Duke (ACC),13,9-4,36,33,1,0,12,0,287,22.1
Tulane (AAC),14,12-2,39,38,0,0,13,0,311,22.2
Army West Point (FBS Independent),12,6-6,34,33,0,0,11,0,270,22.5
Miami (OH) (MAC),13,6-7,35,33,0,0,17,0,294,22.6
Tennessee (SEC),13,11-2,37,31,2,0,13,0,296,22.8
Louisiana (Sun Belt),13,6-7,38,29,1,0,12,1,297,22.8
Washington St. (Pac-12),13,7-6,38,30,1,0,12,1,298,22.9
Notre Dame (FBS Independent),13,9-4,39,31,2,0,10,0,299,23.0
Mississippi St. (SEC),13,9-4,36,31,1,0,17,0,300,23.1
Syracuse (ACC),13,7-6,38,32,1,0,12,1,300,23.1
Maryland (Big Ten),13,8-5,34,31,0,0,22,0,301,23.2
UAB (CUSA),13,7-6,40,35,1,0,8,0,301,23.2
Western Ky. (CUSA),14,9-5,39,35,1,0,19,0,328,23.4
Southern Miss. (Sun Belt),13,7-6,36,33,1,1,17,1,306,23.5
UCF (AAC),14,9-5,39,34,3,0,19,0,331,23.6
New Mexico St. (FBS Independent),13,7-6,37,36,0,0,17,1,311,23.9
Wyoming (Mountain West),13,7-6,37,35,1,0,16,2,311,23.9
Virginia (ACC),10,3-7,26,25,1,0,19,0,240,24.0
Western Mich. (MAC),12,5-7,34,34,0,0,17,0,289,24.1
Pittsburgh (ACC),13,9-4,39,34,0,0,16,0,316,24.3
Navy (AAC),12,4-8,34,32,1,0,18,0,292,24.3
Liberty (FBS Independent),13,8-5,39,33,3,0,15,1,320,24.6
Virginia Tech (ACC),11,3-8,31,27,0,0,19,1,272,24.7
Toledo (MAC),14,9-5,45,37,4,0,12,0,351,25.1
Missouri (SEC),13,6-7,41,39,0,0,14,0,327,25.2
Ole Miss (SEC),13,8-5,41,36,1,0,16,0,332,25.5
Washington (Pac-12),13,11-2,42,35,4,0,13,1,336,25.8
UTSA (CUSA),14,11-3,44,42,3,0,17,0,363,25.9
Memphis (AAC),13,7-6,44,38,3,0,10,0,338,26.0
New Mexico (Mountain West),12,2-10,38,37,1,0,15,0,312,26.0
UConn (FBS Independent),13,6-7,43,39,0,0,14,1,341,26.2
Texas St. (Sun Belt),12,4-8,39,36,1,0,14,1,316,26.3
Fla. Atlantic (CUSA),12,5-7,41,36,2,0,11,0,319,26.6
Old Dominion (Sun Belt),12,3-9,37,35,0,0,20,1,319,26.6
Buffalo (MAC),13,7-6,44,38,2,0,13,1,347,26.7
App State (Sun Belt),12,6-6,42,38,2,0,9,0,321,26.8
