Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
Washington (Pac-12),13,11-2,183,104,0.568
Southern California (Pac-12),14,11-3,168,90,0.536
Minnesota (Big Ten),13,9-4,167,87,0.521
Florida St. (ACC),13,10-3,168,86,0.512
Utah (Pac-12),14,10-4,178,91,0.511
Georgia (SEC),15,15-0,182,93,0.511
UCLA (Pac-12),13,9-4,163,83,0.509
Kansas (Big 12),13,6-7,158,80,0.506
LSU (SEC),14,10-4,179,87,0.486
UTSA (CUSA),14,11-3,187,90,0.481
SMU (AAC),13,7-6,203,97,0.478
Clemson (ACC),14,11-3,212,101,0.476
Ga. Southern (Sun Belt),13,6-7,195,92,0.472
Notre Dame (FBS Independent),13,9-4,176,83,0.472
Ole Miss (SEC),13,8-5,187,88,0.471
UCF (AAC),14,9-5,208,97,0.466
East Carolina (AAC),13,8-5,181,84,0.464
Oregon (Pac-12),13,10-3,162,75,0.463
North Carolina (ACC),14,9-5,201,93,0.463
Wake Forest (ACC),13,8-5,185,85,0.459
Arkansas (SEC),13,7-6,194,89,0.459
Memphis (AAC),13,7-6,194,89,0.459
Fresno St. (Mountain West),14,10-4,177,81,0.458
Houston (AAC),13,8-5,175,80,0.457
Alabama (SEC),13,11-2,162,74,0.457
Ohio St. (Big Ten),13,11-2,166,75,0.452
UAB (CUSA),13,7-6,166,75,0.452
Michigan (Big Ten),14,13-1,186,84,0.452
Eastern Mich. (MAC),13,9-4,178,80,0.449
Air Force (Mountain West),13,10-3,176,79,0.449
BYU (FBS Independent),13,8-5,156,70,0.449
Oregon St. (Pac-12),13,10-3,154,67,0.435
Army West Point (FBS Independent),12,6-6,159,69,0.434
Fla. Atlantic (CUSA),12,5-7,190,82,0.432
Coastal Carolina (Sun Belt),13,9-4,172,74,0.430
North Texas (CUSA),14,7-7,189,81,0.429
South Alabama (Sun Belt),13,10-3,194,83,0.428
Duke (ACC),13,9-4,172,73,0.424
Arizona (Pac-12),12,5-7,147,62,0.422
Ohio (MAC),14,10-4,186,78,0.419
Iowa St. (Big 12),12,4-8,191,80,0.419
Tennessee (SEC),13,11-2,166,69,0.416
Maryland (Big Ten),13,8-5,200,83,0.415
Western Ky. (CUSA),14,9-5,188,78,0.415
West Virginia (Big 12),12,5-7,177,73,0.412
Kent St. (MAC),12,5-7,175,72,0.411
Rice (CUSA),13,5-8,173,71,0.410
Georgia St. (Sun Belt),12,4-8,182,74,0.407
Oklahoma (Big 12),13,6-7,195,79,0.405
Florida (SEC),13,6-7,168,68,0.405
Toledo (MAC),14,9-5,210,85,0.405
Miami (FL) (ACC),12,5-7,166,67,0.404
Wisconsin (Big Ten),13,7-6,169,68,0.402
Baylor (Big 12),13,6-7,179,72,0.402
ULM (Sun Belt),12,4-8,167,67,0.401
Arizona St. (Pac-12),12,3-9,150,60,0.400
Nebraska (Big Ten),12,4-8,165,66,0.400
Missouri (SEC),13,6-7,193,77,0.399
TCU (Big 12),15,13-2,201,80,0.398
Pittsburgh (ACC),13,9-4,179,71,0.397
Charlotte (CUSA),12,3-9,159,63,0.396
Boise St. (Mountain West),14,10-4,190,75,0.395
Tulsa (AAC),12,5-7,170,67,0.394
Mississippi St. (SEC),13,9-4,176,69,0.392
NIU (MAC),12,3-9,171,67,0.392
Buffalo (MAC),13,7-6,212,83,0.392
South Fla. (AAC),12,1-11,151,59,0.391
UTEP (CUSA),12,5-7,169,66,0.391
New Mexico St. (FBS Independent),13,7-6,164,64,0.390
Kansas St. (Big 12),14,10-4,195,76,0.390
Michigan St. (Big Ten),12,5-7,152,59,0.388
Texas (Big 12),13,8-5,165,64,0.388
South Carolina (SEC),13,8-5,160,62,0.388
Tulane (AAC),14,12-2,172,66,0.384
Purdue (Big Ten),14,8-6,209,80,0.383
Louisiana (Sun Belt),13,6-7,186,71,0.382
Marshall (Sun Belt),13,9-4,207,79,0.382
App State (Sun Belt),12,6-6,155,59,0.381
Illinois (Big Ten),13,8-5,187,71,0.380
Louisville (ACC),13,8-5,177,67,0.379
Stanford (Pac-12),12,3-9,164,62,0.378
