Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Southern California (Pac-12),14,11-3,10,19,29,2,5,7,22,1.57
Duke (ACC),13,9-4,16,10,26,4,6,10,16,1.23
Illinois (Big Ten),13,8-5,8,24,32,12,5,17,15,1.15
East Carolina (AAC),13,8-5,9,11,20,2,5,7,13,1.00
Middle Tenn. (CUSA),13,8-5,10,20,30,7,11,18,12,0.92
Georgia Tech (ACC),12,5-7,13,11,24,4,9,13,11,0.92
San Jose St. (Mountain West),12,7-5,6,14,20,2,7,9,11,0.92
Kansas St. (Big 12),14,10-4,8,16,24,6,6,12,12,0.86
Ohio (MAC),14,10-4,13,12,25,8,5,13,12,0.86
Penn St. (Big Ten),13,11-2,12,14,26,8,7,15,11,0.85
Buffalo (MAC),13,7-6,15,13,28,10,8,18,10,0.77
Florida (SEC),13,6-7,15,9,24,5,9,14,10,0.77
Marshall (Sun Belt),13,9-4,11,18,29,9,10,19,10,0.77
Miami (OH) (MAC),13,6-7,11,11,22,7,5,12,10,0.77
Tennessee (SEC),13,11-2,10,11,21,8,3,11,10,0.77
App State (Sun Belt),12,6-6,13,7,20,5,6,11,9,0.75
Western Ky. (CUSA),14,9-5,13,19,32,10,12,22,10,0.71
Oregon (Pac-12),13,10-3,5,16,21,3,9,12,9,0.69
Fla. Atlantic (CUSA),12,5-7,9,12,21,8,5,13,8,0.67
Ohio St. (Big Ten),13,11-2,7,11,18,4,6,10,8,0.62
Michigan (Big Ten),14,13-1,4,14,18,4,6,10,8,0.57
California (Pac-12),12,4-8,7,11,18,3,9,12,6,0.50
UNLV (Mountain West),12,5-7,6,15,21,8,7,15,6,0.50
Iowa (Big Ten),13,8-5,8,15,23,10,7,17,6,0.46
Louisville (ACC),13,8-5,15,15,30,12,12,24,6,0.46
Memphis (AAC),13,7-6,6,16,22,8,8,16,6,0.46
NC State (ACC),13,8-5,3,19,22,8,8,16,6,0.46
Oklahoma (Big 12),13,6-7,4,17,21,7,8,15,6,0.46
Syracuse (ACC),13,7-6,9,10,19,4,9,13,6,0.46
Troy (Sun Belt),14,12-2,14,13,27,6,15,21,6,0.43
Utah (Pac-12),14,10-4,12,12,24,8,10,18,6,0.43
Georgia St. (Sun Belt),12,4-8,12,13,25,13,7,20,5,0.42
TCU (Big 12),15,13-2,6,16,22,8,8,16,6,0.40
Cincinnati (AAC),13,9-4,9,11,20,7,8,15,5,0.38
Minnesota (Big Ten),13,9-4,4,14,18,4,9,13,5,0.38
Army West Point (FBS Independent),12,6-6,7,10,17,9,4,13,4,0.33
NIU (MAC),12,3-9,12,8,20,2,14,16,4,0.33
Western Mich. (MAC),12,5-7,14,11,25,8,13,21,4,0.33
Louisiana (Sun Belt),13,6-7,8,15,23,9,10,19,4,0.31
Mississippi St. (SEC),13,9-4,9,14,23,10,9,19,4,0.31
South Alabama (Sun Belt),13,10-3,7,13,20,4,12,16,4,0.31
Fresno St. (Mountain West),14,10-4,6,12,18,5,9,14,4,0.29
Tulane (AAC),14,12-2,8,12,20,11,5,16,4,0.29
Arkansas St. (Sun Belt),12,3-9,6,6,12,4,5,9,3,0.25
Navy (AAC),12,4-8,10,8,18,9,6,15,3,0.25
New Mexico (Mountain West),12,2-10,8,9,17,5,9,14,3,0.25
Texas St. (Sun Belt),12,4-8,9,11,20,7,10,17,3,0.25
Air Force (Mountain West),13,10-3,7,9,16,11,2,13,3,0.23
Kansas (Big 12),13,6-7,10,12,22,11,8,19,3,0.23
Washington St. (Pac-12),13,7-6,9,12,21,9,9,18,3,0.23
Boise St. (Mountain West),14,10-4,5,15,20,8,9,17,3,0.21
Nevada (Mountain West),12,2-10,8,11,19,9,8,17,2,0.17
BYU (FBS Independent),13,8-5,4,8,12,3,7,10,2,0.15
Baylor (Big 12),13,6-7,6,13,19,6,11,17,2,0.15
Florida St. (ACC),13,10-3,8,8,16,7,7,14,2,0.15
Pittsburgh (ACC),13,9-4,8,14,22,9,11,20,2,0.15
Texas (Big 12),13,8-5,4,10,14,5,7,12,2,0.15
Wisconsin (Big Ten),13,7-6,3,17,20,7,11,18,2,0.15
LSU (SEC),14,10-4,11,9,20,11,7,18,2,0.14
UTSA (CUSA),14,11-3,7,15,22,11,9,20,2,0.14
Coastal Carolina (Sun Belt),13,9-4,12,9,21,14,6,20,1,0.08
Eastern Mich. (MAC),13,9-4,7,13,20,7,12,19,1,0.08
Maryland (Big Ten),13,8-5,7,9,16,7,8,15,1,0.08
Washington (Pac-12),13,11-2,5,7,12,2,9,11,1,0.08
Georgia (SEC),15,15-0,7,12,19,11,7,18,1,0.07
Arkansas (SEC),13,7-6,9,9,18,11,7,18,0,0.00
Bowling Green (MAC),13,6-7,13,10,23,12,11,23,0,0.00
Kent St. (MAC),12,5-7,6,7,13,5,8,13,0,0.00
North Carolina (ACC),14,9-5,5,9,14,7,7,14,0,0.00
Old Dominion (Sun Belt),12,3-9,7,12,19,12,7,19,0,0.00
UAB (CUSA),13,7-6,8,10,18,11,7,18,0,0.00
UConn (FBS Independent),13,6-7,9,13,22,12,10,22,0,0.00
Vanderbilt (SEC),12,5-7,10,6,16,10,6,16,0,0.00
Clemson (ACC),14,11-3,8,13,21,12,10,22,-1,-0.07
Ole Miss (SEC),13,8-5,12,8,20,9,12,21,-1,-0.08
Oregon St. (Pac-12),13,10-3,5,12,17,5,13,18,-1,-0.08
Texas A&M (SEC),12,5-7,12,4,16,11,6,17,-1,-0.08
Purdue (Big Ten),14,8-6,6,15,21,6,17,23,-2,-0.14
Alabama (SEC),13,11-2,7,7,14,8,8,16,-2,-0.15
Kentucky (SEC),13,7-6,7,10,17,6,13,19,-2,-0.15
SMU (AAC),13,7-6,8,10,18,9,11,20,-2,-0.15
