Team,Games,Win-Loss,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs
Air Force (Mountain West),13,10-3,71,91,6,168
Navy (AAC),12,4-8,64,110,13,187
Iowa St. (Big 12),12,4-8,79,90,19,188
Ohio St. (Big Ten),13,11-2,73,102,20,195
Kentucky (SEC),13,7-6,86,98,13,197
Illinois (Big Ten),13,8-5,67,106,26,199
Minnesota (Big Ten),13,9-4,79,109,11,199
Marshall (Sun Belt),13,9-4,68,107,25,200
Iowa (Big Ten),13,8-5,91,99,13,203
Boise St. (Mountain West),14,10-4,102,89,13,204
Wisconsin (Big Ten),13,7-6,70,118,19,207
Virginia (ACC),10,3-7,85,103,20,208
New Mexico (Mountain West),12,2-10,99,92,22,213
NC State (ACC),13,8-5,65,125,25,215
Michigan (Big Ten),14,13-1,78,124,14,216
Western Mich. (MAC),12,5-7,85,105,27,217
Texas St. (Sun Belt),12,4-8,72,133,16,221
Utah (Pac-12),14,10-4,82,125,14,221
Miami (FL) (ACC),12,5-7,94,107,22,223
Virginia Tech (ACC),11,3-8,88,107,28,223
San Jose St. (Mountain West),12,7-5,92,117,16,225
San Diego St. (Mountain West),13,7-6,85,121,20,226
UTEP (CUSA),12,5-7,91,112,23,226
Massachusetts (FBS Independent),12,1-11,103,88,36,227
Pittsburgh (ACC),13,9-4,71,127,30,228
Notre Dame (FBS Independent),13,9-4,98,108,25,231
App State (Sun Belt),12,6-6,89,121,22,232
Army West Point (FBS Independent),12,6-6,125,93,14,232
Georgia (SEC),15,15-0,67,141,24,232
Temple (AAC),12,3-9,110,110,12,232
Nevada (Mountain West),12,2-10,93,119,23,235
Penn St. (Big Ten),13,11-2,93,121,21,235
Oregon St. (Pac-12),13,10-3,94,122,20,236
Rutgers (Big Ten),12,4-8,97,111,28,236
Toledo (MAC),14,9-5,107,113,16,236
Louisville (ACC),13,8-5,110,105,23,238
Mississippi St. (SEC),13,9-4,96,110,33,239
Boston College (ACC),12,3-9,99,116,25,240
Alabama (SEC),13,11-2,93,114,34,241
Colorado St. (Mountain West),12,3-9,114,110,18,242
Liberty (FBS Independent),13,8-5,101,113,28,242
Missouri (SEC),13,6-7,98,116,28,242
South Alabama (Sun Belt),13,10-3,77,128,37,242
Northwestern (Big Ten),12,1-11,125,98,21,244
Buffalo (MAC),13,7-6,95,124,26,245
Auburn (SEC),12,5-7,109,120,17,246
Central Mich. (MAC),12,4-8,105,125,16,246
Rice (CUSA),13,5-8,106,113,27,246
