Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
Georgia (SEC),15,15-0,13,15,0.867
Michigan (Big Ten),14,13-1,17,21,0.810
San Diego St. (Mountain West),13,7-6,15,20,0.750
Air Force (Mountain West),13,10-3,21,29,0.724
Ohio St. (Big Ten),13,11-2,12,17,0.706
Penn St. (Big Ten),13,11-2,21,30,0.700
Oregon St. (Pac-12),13,10-3,16,23,0.696
West Virginia (Big 12),12,5-7,22,32,0.688
New Mexico St. (FBS Independent),13,7-6,11,16,0.688
Southern California (Pac-12),14,11-3,15,22,0.682
North Carolina (ACC),14,9-5,25,37,0.676
Tennessee (SEC),13,11-2,22,33,0.667
Tulsa (AAC),12,5-7,11,17,0.647
Houston (AAC),13,8-5,18,28,0.643
Baylor (Big 12),13,6-7,30,47,0.638
Texas Tech (Big 12),13,8-5,33,52,0.635
UCF (AAC),14,9-5,19,30,0.633
Southern Miss. (Sun Belt),13,7-6,12,19,0.632
Troy (Sun Belt),14,12-2,17,27,0.630
Utah (Pac-12),14,10-4,18,29,0.621
Cincinnati (AAC),13,9-4,13,21,0.619
Kentucky (SEC),13,7-6,16,26,0.615
Maryland (Big Ten),13,8-5,17,28,0.607
Oregon (Pac-12),13,10-3,20,33,0.606
Navy (AAC),12,4-8,23,38,0.605
Arizona St. (Pac-12),12,3-9,12,20,0.600
Buffalo (MAC),13,7-6,22,37,0.595
SMU (AAC),13,7-6,22,37,0.595
Toledo (MAC),14,9-5,16,27,0.593
Tulane (AAC),14,12-2,16,27,0.593
Auburn (SEC),12,5-7,13,22,0.591
South Carolina (SEC),13,8-5,13,22,0.591
South Alabama (Sun Belt),13,10-3,17,29,0.586
Middle Tenn. (CUSA),13,8-5,21,36,0.583
Arkansas St. (Sun Belt),12,3-9,14,24,0.583
UCLA (Pac-12),13,9-4,15,26,0.577
Washington (Pac-12),13,11-2,16,28,0.571
Coastal Carolina (Sun Belt),13,9-4,12,21,0.571
Kansas St. (Big 12),14,10-4,17,30,0.567
Ga. Southern (Sun Belt),13,6-7,13,23,0.565
North Texas (CUSA),14,7-7,13,23,0.565
Alabama (SEC),13,11-2,9,16,0.562
Duke (ACC),13,9-4,14,25,0.560
Georgia St. (Sun Belt),12,4-8,15,27,0.556
Iowa St. (Big 12),12,4-8,15,27,0.556
Boise St. (Mountain West),14,10-4,10,18,0.556
UTEP (CUSA),12,5-7,16,29,0.552
Fla. Atlantic (CUSA),12,5-7,11,20,0.550
Central Mich. (MAC),12,4-8,18,33,0.545
Purdue (Big Ten),14,8-6,18,33,0.545
Minnesota (Big Ten),13,9-4,6,11,0.545
Memphis (AAC),13,7-6,13,24,0.542
Army West Point (FBS Independent),12,6-6,16,30,0.533
Hawaii (Mountain West),13,3-10,18,34,0.529
Rutgers (Big Ten),12,4-8,9,17,0.529
Stanford (Pac-12),12,3-9,11,21,0.524
California (Pac-12),12,4-8,12,23,0.522
Texas (Big 12),13,8-5,12,23,0.522
TCU (Big 12),15,13-2,14,27,0.519
Mississippi St. (SEC),13,9-4,15,29,0.517
Utah St. (Mountain West),13,6-7,18,35,0.514
Louisiana (Sun Belt),13,6-7,17,34,0.500
Wake Forest (ACC),13,8-5,15,30,0.500
Nevada (Mountain West),12,2-10,13,26,0.500
Kent St. (MAC),12,5-7,12,24,0.500
LSU (SEC),14,10-4,11,22,0.500
Miami (OH) (MAC),13,6-7,11,22,0.500
UNLV (Mountain West),12,5-7,10,20,0.500
Clemson (ACC),14,11-3,6,12,0.500
App State (Sun Belt),12,6-6,18,37,0.486
Ole Miss (SEC),13,8-5,17,35,0.486
UAB (CUSA),13,7-6,13,27,0.481
UTSA (CUSA),14,11-3,13,27,0.481
Western Mich. (MAC),12,5-7,13,27,0.481
Illinois (Big Ten),13,8-5,12,25,0.480
Akron (MAC),12,2-10,11,23,0.478
Northwestern (Big Ten),12,1-11,19,40,0.475
Kansas (Big 12),13,6-7,9,19,0.474
Missouri (SEC),13,6-7,9,19,0.474
South Fla. (AAC),12,1-11,14,30,0.467
Wisconsin (Big Ten),13,7-6,7,15,0.467
Rice (CUSA),13,5-8,13,28,0.464
Eastern Mich. (MAC),13,9-4,11,24,0.458
Liberty (FBS Independent),13,8-5,11,24,0.458
Arkansas (SEC),13,7-6,9,20,0.450
East Carolina (AAC),13,8-5,13,29,0.448
Washington St. (Pac-12),13,7-6,13,29,0.448
Boston College (ACC),12,3-9,8,18,0.444
San Jose St. (Mountain West),12,7-5,8,18,0.444
Florida (SEC),13,6-7,15,34,0.441
Bowling Green (MAC),13,6-7,11,25,0.440
Fresno St. (Mountain West),14,10-4,7,16,0.438
Notre Dame (FBS Independent),13,9-4,7,16,0.438
Arizona (Pac-12),12,5-7,10,23,0.435
NIU (MAC),12,3-9,10,23,0.435
Massachusetts (FBS Independent),12,1-11,13,30,0.433
FIU (CUSA),12,4-8,15,35,0.429
Pittsburgh (ACC),13,9-4,9,21,0.429
Virginia Tech (ACC),11,3-8,6,14,0.429
Nebraska (Big Ten),12,4-8,3,7,0.429
Temple (AAC),12,3-9,14,33,0.424
Louisiana Tech (CUSA),12,3-9,13,31,0.419
Michigan St. (Big Ten),12,5-7,12,29,0.414
Miami (FL) (ACC),12,5-7,9,22,0.409
Western Ky. (CUSA),14,9-5,15,37,0.405
Louisville (ACC),13,8-5,12,30,0.400
NC State (ACC),13,8-5,8,20,0.400
Colorado St. (Mountain West),12,3-9,13,33,0.394
UConn (FBS Independent),13,6-7,7,18,0.389
Virginia (ACC),10,3-7,7,18,0.389
Syracuse (ACC),13,7-6,5,13,0.385
Oklahoma (Big 12),13,6-7,11,29,0.379
Vanderbilt (SEC),12,5-7,11,29,0.379
Indiana (Big Ten),12,4-8,9,24,0.375
Old Dominion (Sun Belt),12,3-9,8,22,0.364
Texas A&M (SEC),12,5-7,4,11,0.364
Colorado (Pac-12),12,1-11,11,31,0.355
Charlotte (CUSA),12,3-9,12,34,0.353
Ohio (MAC),14,10-4,6,17,0.353
Florida St. (ACC),13,10-3,8,24,0.333
Georgia Tech (ACC),12,5-7,8,24,0.333
Texas St. (Sun Belt),12,4-8,7,21,0.333
Iowa (Big Ten),13,8-5,5,15,0.333
ULM (Sun Belt),12,4-8,5,15,0.333
Oklahoma St. (Big 12),13,7-6,5,16,0.312
BYU (FBS Independent),13,8-5,8,26,0.308
Wyoming (Mountain West),13,7-6,2,7,0.286
Ball St. (MAC),12,5-7,6,22,0.273
New Mexico (Mountain West),12,2-10,4,15,0.267
Marshall (Sun Belt),13,9-4,5,21,0.238
James Madison (Sun Belt),11,8-3,9,20,0.450
