Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
Tennessee (SEC),13,11-2,79,75,1,0,16,0,599,46.1
Ohio St. (Big Ten),13,11-2,75,74,0,0,17,0,575,44.2
Southern California (Pac-12),14,11-3,76,74,1,0,15,1,579,41.4
Alabama (SEC),13,11-2,67,64,1,0,22,0,534,41.1
Georgia (SEC),15,15-0,76,73,2,0,27,1,616,41.1
Michigan (Big Ten),14,13-1,68,63,4,0,29,0,566,40.4
Washington (Pac-12),13,11-2,65,59,3,0,19,2,516,39.7
UCLA (Pac-12),13,9-4,66,63,2,0,15,1,510,39.2
TCU (Big 12),15,13-2,76,68,2,0,18,0,582,38.8
Oregon (Pac-12),13,10-3,66,64,1,0,14,0,504,38.8
Utah (Pac-12),14,10-4,73,69,2,0,10,0,541,38.6
SMU (AAC),13,7-6,63,58,0,0,16,0,484,37.2
UTSA (CUSA),14,11-3,64,59,2,0,22,1,515,36.8
Western Ky. (CUSA),14,9-5,65,64,1,0,18,0,510,36.4
Florida St. (ACC),13,10-3,62,57,2,0,12,0,469,36.1
Wake Forest (ACC),13,8-5,62,59,1,0,12,0,469,36.1
Houston (AAC),13,8-5,61,55,3,0,14,0,469,36.1
Tulane (AAC),14,12-2,66,64,0,0,14,1,504,36.0
Penn St. (Big Ten),13,11-2,61,58,0,0,13,1,465,35.8
Kansas (Big 12),13,6-7,63,57,2,0,8,0,463,35.6
Memphis (AAC),13,7-6,57,50,2,0,21,0,459,35.3
App State (Sun Belt),12,6-6,56,50,2,0,9,1,419,34.9
LSU (SEC),14,10-4,65,59,1,0,10,1,483,34.5
Texas (Big 12),13,8-5,55,55,0,0,21,0,448,34.5
North Carolina (ACC),14,9-5,63,57,1,0,15,0,482,34.4
Texas Tech (Big 12),13,8-5,55,48,2,0,21,0,445,34.2
North Texas (CUSA),14,7-7,60,57,1,0,18,0,473,33.8
Ole Miss (SEC),13,8-5,56,50,1,0,15,1,435,33.5
Clemson (ACC),14,11-3,57,51,4,0,20,2,465,33.2
UCF (AAC),14,9-5,59,52,4,0,14,2,460,32.9
Duke (ACC),13,9-4,54,52,0,0,17,0,427,32.8
Oklahoma (Big 12),13,6-7,55,53,2,1,12,1,427,32.8
Ga. Southern (Sun Belt),13,6-7,53,49,2,0,18,0,425,32.7
Arkansas (SEC),13,7-6,54,50,3,0,13,2,423,32.5
East Carolina (AAC),13,8-5,55,46,3,0,13,1,423,32.5
Kansas St. (Big 12),14,10-4,56,54,0,0,20,1,452,32.3
Oregon St. (Pac-12),13,10-3,56,48,1,0,11,0,419,32.2
Baylor (Big 12),13,6-7,56,50,3,0,8,1,418,32.2
South Carolina (SEC),13,8-5,55,45,5,0,11,0,418,32.2
Ohio (MAC),14,10-4,54,49,2,0,22,1,445,31.8
Notre Dame (FBS Independent),13,9-4,53,49,1,0,14,1,413,31.8
Mississippi St. (SEC),13,9-4,55,45,0,0,12,0,411,31.6
BYU (FBS Independent),13,8-5,54,49,1,0,10,1,407,31.3
Pittsburgh (ACC),13,9-4,49,47,2,0,20,1,407,31.3
Toledo (MAC),14,9-5,56,55,1,0,15,0,438,31.3
South Alabama (Sun Belt),13,10-3,50,46,2,0,18,1,406,31.2
Arizona (Pac-12),12,5-7,45,38,3,0,18,1,370,30.8
Oklahoma St. (Big 12),13,7-6,47,44,1,0,22,2,398,30.6
Tulsa (AAC),12,5-7,45,44,0,0,17,1,367,30.6
West Virginia (Big 12),12,5-7,47,39,1,1,14,0,367,30.6
Fresno St. (Mountain West),14,10-4,53,50,1,0,18,2,428,30.6
UAB (CUSA),13,7-6,50,47,1,0,14,0,391,30.1
Georgia St. (Sun Belt),12,4-8,47,41,2,0,11,0,360,30.0
Eastern Mich. (MAC),13,9-4,49,47,1,1,14,0,387,29.8
Fla. Atlantic (CUSA),12,5-7,47,45,0,0,10,0,357,29.8
Florida (SEC),13,6-7,49,42,2,0,14,1,384,29.5
Boise St. (Mountain West),14,10-4,49,48,1,0,23,0,413,29.5
Cincinnati (AAC),13,9-4,46,45,1,0,19,0,380,29.2
