Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
Oregon (Pac-12),13,10-3,5,24,0.38
Ga. Southern (Sun Belt),13,6-7,7,52,0.54
Washington (Pac-12),13,11-2,7,54,0.54
Georgia (SEC),15,15-0,9,67,0.60
North Texas (CUSA),14,7-7,11,71,0.79
Temple (AAC),12,3-9,10,58,0.83
Air Force (Mountain West),13,10-3,12,26,0.92
Kansas (Big 12),13,6-7,12,68,0.92
Ohio St. (Big Ten),13,11-2,12,82,0.92
Army West Point (FBS Independent),12,6-6,12,85,1.00
BYU (FBS Independent),13,8-5,13,69,1.00
Boise St. (Mountain West),14,10-4,14,111,1.00
NIU (MAC),12,3-9,12,81,1.00
Navy (AAC),12,4-8,12,60,1.00
Western Ky. (CUSA),14,9-5,14,92,1.00
Utah (Pac-12),14,10-4,15,109,1.07
Oregon St. (Pac-12),13,10-3,14,103,1.08
Minnesota (Big Ten),13,9-4,15,101,1.15
Ball St. (MAC),12,5-7,14,121,1.17
Fla. Atlantic (CUSA),12,5-7,14,88,1.17
South Fla. (AAC),12,1-11,14,92,1.17
Michigan (Big Ten),14,13-1,17,139,1.21
Florida (SEC),13,6-7,16,96,1.23
New Mexico St. (FBS Independent),13,7-6,16,119,1.23
Ole Miss (SEC),13,8-5,16,104,1.23
Vanderbilt (SEC),12,5-7,15,87,1.25
Duke (ACC),13,9-4,17,107,1.31
East Carolina (AAC),13,8-5,17,107,1.31
UConn (FBS Independent),13,6-7,18,120,1.38
Pittsburgh (ACC),13,9-4,19,150,1.46
Texas (Big 12),13,8-5,19,148,1.46
UCLA (Pac-12),13,9-4,19,123,1.46
Wyoming (Mountain West),13,7-6,19,147,1.46
App State (Sun Belt),12,6-6,18,93,1.50
FIU (CUSA),12,4-8,18,114,1.50
Kansas St. (Big 12),14,10-4,21,140,1.50
Michigan St. (Big Ten),12,5-7,18,139,1.50
Florida St. (ACC),13,10-3,20,148,1.54
Hawaii (Mountain West),13,3-10,20,146,1.54
Notre Dame (FBS Independent),13,9-4,21,128,1.62
Penn St. (Big Ten),13,11-2,21,124,1.62
SMU (AAC),13,7-6,21,150,1.62
UAB (CUSA),13,7-6,21,134,1.62
West Virginia (Big 12),12,5-7,20,144,1.67
Alabama (SEC),13,11-2,22,153,1.69
Baylor (Big 12),13,6-7,22,143,1.69
Kent St. (MAC),12,5-7,21,130,1.75
Northwestern (Big Ten),12,1-11,21,130,1.75
Houston (AAC),13,8-5,23,157,1.77
Ohio (MAC),14,10-4,25,188,1.79
Louisiana (Sun Belt),13,6-7,24,122,1.85
UTSA (CUSA),14,11-3,26,169,1.86
Arizona (Pac-12),12,5-7,23,219,1.92
Colorado (Pac-12),12,1-11,23,175,1.92
TCU (Big 12),15,13-2,29,224,1.93
Clemson (ACC),14,11-3,28,176,2.00
Mississippi St. (SEC),13,9-4,26,243,2.00
NC State (ACC),13,8-5,26,148,2.00
Purdue (Big Ten),14,8-6,28,197,2.00
South Alabama (Sun Belt),13,10-3,26,161,2.00
Toledo (MAC),14,9-5,28,189,2.00
UTEP (CUSA),12,5-7,24,203,2.00
Tulane (AAC),14,12-2,29,149,2.07
Louisville (ACC),13,8-5,27,174,2.08
Missouri (SEC),13,6-7,27,173,2.08
Oklahoma St. (Big 12),13,7-6,27,162,2.08
San Diego St. (Mountain West),13,7-6,27,171,2.08
Tennessee (SEC),13,11-2,27,138,2.08
Wisconsin (Big Ten),13,7-6,27,170,2.08
Massachusetts (FBS Independent),12,1-11,25,169,2.08
Texas A&M (SEC),12,5-7,25,151,2.08
Southern California (Pac-12),14,11-3,30,247,2.14
Illinois (Big Ten),13,8-5,28,179,2.15
Iowa St. (Big 12),12,4-8,26,193,2.17
Rutgers (Big Ten),12,4-8,26,175,2.17
Texas St. (Sun Belt),12,4-8,27,205,2.25
Coastal Carolina (Sun Belt),13,9-4,30,186,2.31
Utah St. (Mountain West),13,6-7,30,156,2.31
Arizona St. (Pac-12),12,3-9,28,213,2.33
Arkansas (SEC),13,7-6,31,221,2.38
Oklahoma (Big 12),13,6-7,31,160,2.38
South Carolina (SEC),13,8-5,31,188,2.38
Buffalo (MAC),13,7-6,32,189,2.46
Eastern Mich. (MAC),13,9-4,32,246,2.46
UCF (AAC),14,9-5,36,207,2.57
California (Pac-12),12,4-8,31,251,2.58
Central Mich. (MAC),12,4-8,31,215,2.58
Southern Miss. (Sun Belt),13,7-6,34,207,2.62
Auburn (SEC),12,5-7,32,196,2.67
Louisiana Tech (CUSA),12,3-9,32,210,2.67
Rice (CUSA),13,5-8,35,222,2.69
Nebraska (Big Ten),12,4-8,32,247,2.71
Marshall (Sun Belt),13,9-4,36,219,2.77
Fresno St. (Mountain West),14,10-4,39,254,2.79
Charlotte (CUSA),12,3-9,34,236,2.83
Georgia St. (Sun Belt),12,4-8,34,174,2.83
Nevada (Mountain West),12,2-10,34,198,2.83
Bowling Green (MAC),13,6-7,37,243,2.85
Memphis (AAC),13,7-6,37,237,2.85
Middle Tenn. (CUSA),13,8-5,37,276,2.85
North Carolina (ACC),14,9-5,40,204,2.86
Old Dominion (Sun Belt),12,3-9,35,218,2.92
ULM (Sun Belt),12,4-8,35,222,2.92
Cincinnati (AAC),13,9-4,38,304,2.92
Iowa (Big Ten),13,8-5,38,277,2.92
Miami (OH) (MAC),13,6-7,38,237,2.92
Wake Forest (ACC),13,8-5,38,222,2.92
Miami (FL) (ACC),12,5-7,36,274,3.00
Virginia Tech (ACC),11,3-8,33,227,3.00
UNLV (Mountain West),12,5-7,37,216,3.08
Liberty (FBS Independent),13,8-5,41,224,3.15
Texas Tech (Big 12),13,8-5,41,255,3.15
Arkansas St. (Sun Belt),12,3-9,38,274,3.17
Indiana (Big Ten),12,4-8,38,294,3.17
LSU (SEC),14,10-4,45,219,3.21
Georgia Tech (ACC),12,5-7,39,239,3.25
Troy (Sun Belt),14,12-2,46,277,3.29
Maryland (Big Ten),13,8-5,43,291,3.31
Syracuse (ACC),13,7-6,43,268,3.31
Virginia (ACC),10,3-7,34,227,3.40
Stanford (Pac-12),12,3-9,41,209,3.42
New Mexico (Mountain West),12,2-10,42,250,3.50
San Jose St. (Mountain West),12,7-5,42,292,3.50
Western Mich. (MAC),12,5-7,42,238,3.50
Washington St. (Pac-12),13,7-6,46,303,3.54
Kentucky (SEC),13,7-6,47,318,3.62
Tulsa (AAC),12,5-7,45,284,3.75
Boston College (ACC),12,3-9,46,360,3.83
Akron (MAC),12,2-10,55,379,4.58
Colorado St. (Mountain West),12,3-9,59,399,4.92
James Madison (Sun Belt),11,8-3,22,141,2.00
