Team,Games,Win-Loss,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game
Washington (Pac-12),13,11-2,575,373,9,4807,8.36,12.89,32,369.8
Western Ky. (CUSA),14,9-5,623,401,12,4931,7.91,12.30,43,352.2
Southern California (Pac-12),14,11-3,515,345,5,4696,9.12,13.61,43,335.4
Ga. Southern (Sun Belt),13,6-7,612,374,16,4289,7.01,11.47,28,329.9
Tennessee (SEC),13,11-2,422,290,3,4239,10.05,14.62,38,326.1
Arizona (Pac-12),12,5-7,459,283,13,3821,8.32,13.50,26,318.4
SMU (AAC),13,7-6,513,333,11,4117,8.03,12.36,36,316.7
Houston (AAC),13,8-5,500,337,10,4082,8.16,12.11,40,314.0
Wake Forest (ACC),13,8-5,473,302,13,4055,8.57,13.43,43,311.9
Mississippi St. (SEC),13,9-4,634,428,9,4046,6.38,9.45,36,311.2
North Carolina (ACC),14,9-5,526,344,7,4330,8.23,12.59,38,309.3
Texas Tech (Big 12),13,8-5,569,348,18,3926,6.90,11.28,26,302.0
UTSA (CUSA),14,11-3,503,341,9,4210,8.37,12.35,34,300.7
Ohio St. (Big Ten),13,11-2,410,274,6,3878,9.46,14.15,42,298.3
Georgia (SEC),15,15-0,492,336,7,4438,9.02,13.21,31,295.9
East Carolina (AAC),13,8-5,484,323,5,3776,7.80,11.69,28,290.5
Oregon (Pac-12),13,10-3,432,308,9,3702,8.57,12.02,30,284.8
Akron (MAC),12,2-10,502,323,12,3397,6.77,10.52,15,283.1
Alabama (SEC),13,11-2,438,280,8,3660,8.36,13.07,37,281.5
Oklahoma St. (Big 12),13,7-6,524,292,18,3634,6.94,12.45,24,279.5
Memphis (AAC),13,7-6,454,290,8,3629,7.99,12.51,23,279.2
Purdue (Big Ten),14,8-6,583,369,17,3903,6.69,10.58,26,278.8
Ohio (MAC),14,10-4,464,302,5,3894,8.39,12.89,28,278.1
Tulsa (AAC),12,5-7,414,241,10,3278,7.92,13.60,27,273.2
San Jose St. (Mountain West),12,7-5,431,260,7,3270,7.59,12.58,23,272.5
Charlotte (CUSA),12,3-9,429,257,14,3252,7.58,12.65,27,271.0
Fresno St. (Mountain West),14,10-4,473,336,9,3788,8.01,11.27,22,270.6
Florida St. (ACC),13,10-3,395,249,7,3512,8.89,14.10,28,270.2
California (Pac-12),12,4-8,466,291,9,3240,6.95,11.13,23,270.0
LSU (SEC),14,10-4,480,322,7,3770,7.85,11.71,23,269.3
Temple (AAC),12,3-9,484,288,12,3217,6.65,11.17,18,268.1
South Alabama (Sun Belt),13,10-3,446,290,12,3479,7.80,12.00,28,267.6
Louisiana Tech (CUSA),12,3-9,434,254,19,3207,7.39,12.63,25,267.2
UCLA (Pac-12),13,9-4,420,292,12,3463,8.25,11.86,29,266.4
Middle Tenn. (CUSA),13,8-5,512,341,11,3442,6.72,10.09,21,264.8
North Texas (CUSA),14,7-7,432,241,16,3667,8.49,15.22,34,261.9
Iowa St. (Big 12),12,4-8,479,313,15,3141,6.56,10.04,19,261.8
TCU (Big 12),15,13-2,454,292,8,3926,8.65,13.45,33,261.7
Maryland (Big Ten),13,8-5,446,294,8,3383,7.59,11.51,21,260.2
South Carolina (SEC),13,8-5,421,281,14,3380,8.03,12.03,23,260.0
Oklahoma (Big 12),13,6-7,407,251,8,3310,8.13,13.19,27,254.6
Kansas (Big 12),13,6-7,371,242,8,3307,8.91,13.67,32,254.4
Stanford (Pac-12),12,3-9,448,275,8,3051,6.81,11.09,15,254.2
Washington St. (Pac-12),13,7-6,500,323,9,3300,6.60,10.22,24,253.8
Penn St. (Big Ten),13,11-2,422,270,7,3283,7.78,12.16,29,252.5
Arizona St. (Pac-12),12,3-9,404,270,10,3023,7.48,11.20,18,251.9
App State (Sun Belt),12,6-6,359,226,6,3011,8.39,13.32,28,250.9
BYU (FBS Independent),13,8-5,392,257,7,3246,8.28,12.63,32,249.7
Utah (Pac-12),14,10-4,446,288,10,3489,7.82,12.11,31,249.2
Old Dominion (Sun Belt),12,3-9,421,237,7,2966,7.05,12.51,19,247.2
Boston College (ACC),12,3-9,440,262,14,2965,6.74,11.32,21,247.1
Coastal Carolina (Sun Belt),13,9-4,361,237,6,3200,8.86,13.50,27,246.2
Troy (Sun Belt),14,12-2,401,251,15,3400,8.48,13.55,20,242.9
Cincinnati (AAC),13,9-4,415,248,8,3154,7.60,12.72,22,242.6
Texas (Big 12),13,8-5,405,248,7,3138,7.75,12.65,22,241.4
UCF (AAC),14,9-5,451,291,9,3377,7.49,11.60,22,241.2
Michigan St. (Big Ten),12,5-7,412,258,12,2880,6.99,11.16,23,240.0
Ole Miss (SEC),13,8-5,387,239,12,3117,8.05,13.04,22,239.8
Miami (FL) (ACC),12,5-7,413,255,12,2868,6.94,11.25,18,239.0
Tulane (AAC),14,12-2,379,241,5,3312,8.74,13.74,30,236.6
Buffalo (MAC),13,7-6,463,273,8,3059,6.61,11.21,18,235.3
Bowling Green (MAC),13,6-7,438,266,11,3051,6.97,11.47,25,234.7
