Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Air Force (Mountain West),13,10-3,475:11,36:33
Navy (AAC),12,4-8,415:36,34:38
Minnesota (Big Ten),13,9-4,448:49,34:31
Michigan (Big Ten),14,13-1,473:11,33:48
UTEP (CUSA),12,5-7,405:30,33:47
Utah (Pac-12),14,10-4,471:20,33:40
Georgia (SEC),15,15-0,504:15,33:37
Pittsburgh (ACC),13,9-4,432:00,33:14
Kentucky (SEC),13,7-6,431:11,33:10
Duke (ACC),13,9-4,427:13,32:52
Rice (CUSA),13,5-8,426:28,32:48
Illinois (Big Ten),13,8-5,425:56,32:46
Buffalo (MAC),13,7-6,425:46,32:45
Massachusetts (FBS Independent),12,1-11,389:07,32:26
Iowa St. (Big 12),12,4-8,388:02,32:20
Coastal Carolina (Sun Belt),13,9-4,419:57,32:18
Ohio (MAC),14,10-4,450:20,32:10
South Alabama (Sun Belt),13,10-3,417:22,32:06
Vanderbilt (SEC),12,5-7,384:40,32:03
Oregon St. (Pac-12),13,10-3,415:34,31:58
Purdue (Big Ten),14,8-6,447:32,31:58
Notre Dame (FBS Independent),13,9-4,415:32,31:58
Southern California (Pac-12),14,11-3,447:15,31:57
UAB (CUSA),13,7-6,414:58,31:55
Marshall (Sun Belt),13,9-4,414:54,31:55
Kansas St. (Big 12),14,10-4,444:20,31:44
Army West Point (FBS Independent),12,6-6,379:39,31:38
Baylor (Big 12),13,6-7,409:34,31:30
NC State (ACC),13,8-5,407:56,31:23
Washington (Pac-12),13,11-2,407:29,31:21
West Virginia (Big 12),12,5-7,375:47,31:19
Oregon (Pac-12),13,10-3,407:00,31:18
Eastern Mich. (MAC),13,9-4,406:37,31:17
Clemson (ACC),14,11-3,437:07,31:13
Wisconsin (Big Ten),13,7-6,404:39,31:08
Missouri (SEC),13,6-7,404:05,31:05
Florida St. (ACC),13,10-3,403:20,31:02
Fresno St. (Mountain West),14,10-4,434:06,31:00
San Diego St. (Mountain West),13,7-6,402:39,30:58
LSU (SEC),14,10-4,433:18,30:57
Maryland (Big Ten),13,8-5,402:00,30:55
East Carolina (AAC),13,8-5,401:59,30:55
Ohio St. (Big Ten),13,11-2,399:42,30:45
NIU (MAC),12,3-9,368:55,30:45
Miami (FL) (ACC),12,5-7,368:30,30:42
