Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Louisville (ACC),13,8-5,4,21,0.190
Boston College (ACC),12,3-9,3,15,0.200
Southern Miss. (Sun Belt),13,7-6,6,26,0.231
UConn (FBS Independent),13,6-7,7,25,0.280
Oregon St. (Pac-12),13,10-3,8,26,0.308
San Diego St. (Mountain West),13,7-6,4,13,0.308
Michigan (Big Ten),14,13-1,9,28,0.321
Texas Tech (Big 12),13,8-5,11,32,0.344
NC State (ACC),13,8-5,8,23,0.348
Ohio St. (Big Ten),13,11-2,9,25,0.360
Georgia (SEC),15,15-0,12,33,0.364
Utah (Pac-12),14,10-4,11,30,0.367
Western Mich. (MAC),12,5-7,7,19,0.368
Clemson (ACC),14,11-3,9,24,0.375
Ohio (MAC),14,10-4,13,34,0.382
Alabama (SEC),13,11-2,10,26,0.385
Washington St. (Pac-12),13,7-6,12,31,0.387
Kansas St. (Big 12),14,10-4,13,33,0.394
Kentucky (SEC),13,7-6,12,30,0.400
LSU (SEC),14,10-4,12,30,0.400
Fla. Atlantic (CUSA),12,5-7,11,27,0.407
Air Force (Mountain West),13,10-3,9,22,0.409
Baylor (Big 12),13,6-7,9,22,0.409
Arizona St. (Pac-12),12,3-9,7,17,0.412
Toledo (MAC),14,9-5,10,24,0.417
Buffalo (MAC),13,7-6,11,26,0.423
Duke (ACC),13,9-4,11,26,0.423
Tennessee (SEC),13,11-2,14,33,0.424
Marshall (Sun Belt),13,9-4,12,28,0.429
UTSA (CUSA),14,11-3,16,37,0.432
UCF (AAC),14,9-5,13,30,0.433
Florida (SEC),13,6-7,10,23,0.435
Georgia St. (Sun Belt),12,4-8,11,25,0.440
Memphis (AAC),13,7-6,11,25,0.440
Indiana (Big Ten),12,4-8,8,18,0.444
Vanderbilt (SEC),12,5-7,12,27,0.444
Illinois (Big Ten),13,8-5,9,20,0.450
Western Ky. (CUSA),14,9-5,14,31,0.452
East Carolina (AAC),13,8-5,10,22,0.455
Notre Dame (FBS Independent),13,9-4,10,22,0.455
Pittsburgh (ACC),13,9-4,10,22,0.455
Syracuse (ACC),13,7-6,10,22,0.455
Cincinnati (AAC),13,9-4,11,24,0.458
Maryland (Big Ten),13,8-5,12,26,0.462
Mississippi St. (SEC),13,9-4,12,26,0.462
ULM (Sun Belt),12,4-8,13,28,0.464
Wake Forest (ACC),13,8-5,13,28,0.464
Fresno St. (Mountain West),14,10-4,17,36,0.472
Middle Tenn. (CUSA),13,8-5,17,36,0.472
Ole Miss (SEC),13,8-5,17,36,0.472
Rice (CUSA),13,5-8,9,19,0.474
Army West Point (FBS Independent),12,6-6,10,21,0.476
TCU (Big 12),15,13-2,20,42,0.476
Boise St. (Mountain West),14,10-4,11,23,0.478
Coastal Carolina (Sun Belt),13,9-4,11,23,0.478
Colorado (Pac-12),12,1-11,11,23,0.478
Central Mich. (MAC),12,4-8,12,25,0.480
Bowling Green (MAC),13,6-7,13,27,0.481
Oregon (Pac-12),13,10-3,13,27,0.481
Washington (Pac-12),13,11-2,18,37,0.486
App State (Sun Belt),12,6-6,10,20,0.500
Auburn (SEC),12,5-7,6,12,0.500
Louisiana (Sun Belt),13,6-7,14,28,0.500
North Carolina (ACC),14,9-5,14,28,0.500
Oklahoma (Big 12),13,6-7,14,28,0.500
Purdue (Big Ten),14,8-6,10,20,0.500
Temple (AAC),12,3-9,13,26,0.500
