Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
Georgia (SEC),15,15-0,401,1156,2.88,7,77.1
Navy (AAC),12,4-8,355,1067,3.01,7,88.9
Marshall (Sun Belt),13,9-4,419,1209,2.89,10,93.0
South Alabama (Sun Belt),13,10-3,367,1221,3.33,8,93.9
Air Force (Mountain West),13,10-3,366,1239,3.39,10,95.3
Michigan (Big Ten),14,13-1,421,1371,3.26,10,97.9
Pittsburgh (ACC),13,9-4,384,1274,3.32,13,98.0
Wisconsin (Big Ten),13,7-6,443,1289,2.91,14,99.2
Illinois (Big Ten),13,8-5,395,1297,3.28,6,99.8
NC State (ACC),13,8-5,390,1309,3.36,13,100.7
Iowa (Big Ten),13,8-5,465,1317,2.83,4,101.3
Clemson (ACC),14,11-3,442,1438,3.25,12,102.7
Iowa St. (Big 12),12,4-8,403,1288,3.20,8,107.3
Oregon St. (Pac-12),13,10-3,375,1407,3.75,17,108.2
Minnesota (Big Ten),13,9-4,376,1417,3.77,10,109.0
Penn St. (Big Ten),13,11-2,436,1445,3.31,14,111.2
Utah (Pac-12),14,10-4,394,1560,3.96,18,111.4
East Carolina (AAC),13,8-5,425,1462,3.44,15,112.5
San Diego St. (Mountain West),13,7-6,436,1480,3.39,13,113.8
Tennessee (SEC),13,11-2,459,1505,3.28,15,115.8
Texas St. (Sun Belt),12,4-8,403,1394,3.46,18,116.2
Middle Tenn. (CUSA),13,8-5,452,1518,3.36,14,116.8
Troy (Sun Belt),14,12-2,492,1678,3.41,15,119.9
Ohio St. (Big Ten),13,11-2,447,1574,3.52,12,121.1
Duke (ACC),13,9-4,425,1576,3.71,10,121.2
Washington (Pac-12),13,11-2,448,1576,3.52,14,121.2
Memphis (AAC),13,7-6,449,1587,3.53,17,122.1
San Jose St. (Mountain West),12,7-5,453,1467,3.24,15,122.2
Oregon (Pac-12),13,10-3,388,1622,4.18,17,124.8
Boise St. (Mountain West),14,10-4,500,1747,3.49,16,124.8
Missouri (SEC),13,6-7,447,1632,3.65,19,125.5
Texas (Big 12),13,8-5,469,1634,3.48,14,125.7
App State (Sun Belt),12,6-6,420,1530,3.64,20,127.5
UCLA (Pac-12),13,9-4,444,1694,3.82,18,130.3
Alabama (SEC),13,11-2,467,1695,3.63,15,130.4
Notre Dame (FBS Independent),13,9-4,436,1707,3.92,16,131.3
Louisville (ACC),13,8-5,486,1731,3.56,13,133.2
Coastal Carolina (Sun Belt),13,9-4,439,1736,3.95,22,133.5
Maryland (Big Ten),13,8-5,459,1739,3.79,16,133.8
Mississippi St. (SEC),13,9-4,447,1745,3.90,20,134.2
Washington St. (Pac-12),13,7-6,435,1750,4.02,17,134.6
Virginia Tech (ACC),11,3-8,381,1487,3.90,15,135.2
Miami (OH) (MAC),13,6-7,452,1767,3.91,17,135.9
UTEP (CUSA),12,5-7,403,1632,4.05,13,136.0
Wake Forest (ACC),13,8-5,464,1778,3.83,14,136.8
Southern Miss. (Sun Belt),13,7-6,486,1796,3.70,15,138.2
Western Mich. (MAC),12,5-7,427,1681,3.94,18,140.1
Kentucky (SEC),13,7-6,433,1828,4.22,16,140.6
Ohio (MAC),14,10-4,460,1973,4.29,19,140.9
Louisiana (Sun Belt),13,6-7,464,1841,3.97,18,141.6
Purdue (Big Ten),14,8-6,475,1988,4.19,19,142.0
NIU (MAC),12,3-9,446,1714,3.84,14,142.8
Rutgers (Big Ten),12,4-8,429,1714,4.00,23,142.8
Miami (FL) (ACC),12,5-7,426,1715,4.03,18,142.9
Houston (AAC),13,8-5,449,1861,4.14,18,143.2
Toledo (MAC),14,9-5,523,2005,3.83,25,143.2
Syracuse (ACC),13,7-6,503,1869,3.72,17,143.8
UTSA (CUSA),14,11-3,505,2013,3.99,21,143.8
Liberty (FBS Independent),13,8-5,516,1902,3.69,20,146.3
