Team,Games,Win-Loss,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return
Rutgers (Big Ten),12,4-8,8,-11,0,-1.38
Utah (Pac-12),14,10-4,7,7,0,1.00
Tulane (AAC),14,12-2,8,9,0,1.12
Charlotte (CUSA),12,3-9,9,19,1,2.11
New Mexico St. (FBS Independent),13,7-6,14,31,0,2.21
Tennessee (SEC),13,11-2,2,5,0,2.50
Iowa St. (Big 12),12,4-8,11,29,0,2.64
North Texas (CUSA),14,7-7,12,32,0,2.67
West Virginia (Big 12),12,5-7,7,19,0,2.71
Oklahoma (Big 12),13,6-7,12,34,0,2.83
Virginia Tech (ACC),11,3-8,11,32,0,2.91
Miami (OH) (MAC),13,6-7,23,69,0,3.00
Old Dominion (Sun Belt),12,3-9,18,55,0,3.06
Texas (Big 12),13,8-5,11,34,0,3.09
Air Force (Mountain West),13,10-3,9,28,0,3.11
Cincinnati (AAC),13,9-4,23,80,0,3.48
Bowling Green (MAC),13,6-7,15,57,0,3.80
Miami (FL) (ACC),12,5-7,15,57,0,3.80
UTSA (CUSA),14,11-3,14,54,0,3.86
Washington St. (Pac-12),13,7-6,14,55,0,3.93
Auburn (SEC),12,5-7,10,41,0,4.10
Temple (AAC),12,3-9,13,54,0,4.15
Maryland (Big Ten),13,8-5,22,92,0,4.18
Iowa (Big Ten),13,8-5,21,92,0,4.38
Texas A&M (SEC),12,5-7,13,58,0,4.46
Toledo (MAC),14,9-5,9,41,1,4.56
South Carolina (SEC),13,8-5,20,92,0,4.60
Baylor (Big 12),13,6-7,14,66,0,4.71
Minnesota (Big Ten),13,9-4,11,52,0,4.73
Pittsburgh (ACC),13,9-4,18,87,1,4.83
App State (Sun Belt),12,6-6,6,30,1,5.00
Utah St. (Mountain West),13,6-7,16,86,0,5.38
Western Mich. (MAC),12,5-7,22,119,0,5.41
Louisville (ACC),13,8-5,23,127,0,5.52
Eastern Mich. (MAC),13,9-4,18,100,0,5.56
Colorado St. (Mountain West),12,3-9,14,78,0,5.57
Duke (ACC),13,9-4,13,74,0,5.69
SMU (AAC),13,7-6,8,46,0,5.75
Houston (AAC),13,8-5,15,87,0,5.80
Purdue (Big Ten),14,8-6,20,116,0,5.80
Middle Tenn. (CUSA),13,8-5,22,129,0,5.86
Georgia St. (Sun Belt),12,4-8,23,135,3,5.87
Boston College (ACC),12,3-9,12,71,0,5.92
Marshall (Sun Belt),13,9-4,15,89,0,5.93
Michigan St. (Big Ten),12,5-7,15,89,0,5.93
Florida St. (ACC),13,10-3,12,72,0,6.00
Alabama (SEC),13,11-2,11,67,0,6.09
Kansas St. (Big 12),14,10-4,9,55,0,6.11
Washington (Pac-12),13,11-2,9,55,0,6.11
Massachusetts (FBS Independent),12,1-11,23,143,0,6.22
Army West Point (FBS Independent),12,6-6,8,50,0,6.25
Kent St. (MAC),12,5-7,15,94,0,6.27
Navy (AAC),12,4-8,18,114,1,6.33
Southern Miss. (Sun Belt),13,7-6,10,64,0,6.40
TCU (Big 12),15,13-2,7,45,0,6.43
Ole Miss (SEC),13,8-5,11,71,0,6.45
NIU (MAC),12,3-9,12,78,0,6.50
Fla. Atlantic (CUSA),12,5-7,25,164,0,6.56
Ball St. (MAC),12,5-7,17,112,0,6.59
San Diego St. (Mountain West),13,7-6,27,178,0,6.59
Arkansas St. (Sun Belt),12,3-9,26,174,0,6.69
Troy (Sun Belt),14,12-2,18,121,0,6.72
New Mexico (Mountain West),12,2-10,26,176,1,6.77
Penn St. (Big Ten),13,11-2,14,95,0,6.79
Kansas (Big 12),13,6-7,11,76,0,6.91
Stanford (Pac-12),12,3-9,22,154,0,7.00
Ohio St. (Big Ten),13,11-2,9,64,0,7.11
Louisiana (Sun Belt),13,6-7,17,121,0,7.12
Texas St. (Sun Belt),12,4-8,13,93,0,7.15
North Carolina (ACC),14,9-5,21,152,0,7.24
Mississippi St. (SEC),13,9-4,16,117,1,7.31
Central Mich. (MAC),12,4-8,11,81,0,7.36
Akron (MAC),12,2-10,19,141,0,7.42
BYU (FBS Independent),13,8-5,12,90,0,7.50
Northwestern (Big Ten),12,1-11,13,98,0,7.54
Illinois (Big Ten),13,8-5,8,61,0,7.62
Syracuse (ACC),13,7-6,19,146,0,7.68
East Carolina (AAC),13,8-5,7,54,1,7.71
Florida (SEC),13,6-7,12,96,0,8.00
Notre Dame (FBS Independent),13,9-4,10,81,0,8.10
NC State (ACC),13,8-5,22,181,0,8.23
Arizona (Pac-12),12,5-7,17,140,1,8.24
UNLV (Mountain West),12,5-7,20,165,0,8.25
UTEP (CUSA),12,5-7,16,133,0,8.31
Colorado (Pac-12),12,1-11,34,283,1,8.32
Fresno St. (Mountain West),14,10-4,11,93,0,8.45
Ohio (MAC),14,10-4,18,153,0,8.50
UCF (AAC),14,9-5,17,145,0,8.53
Coastal Carolina (Sun Belt),13,9-4,12,104,0,8.67
Hawaii (Mountain West),13,3-10,15,132,0,8.80
Indiana (Big Ten),12,4-8,27,238,1,8.81
Rice (CUSA),13,5-8,17,152,1,8.94
Nebraska (Big Ten),12,4-8,20,179,0,8.95
Oklahoma St. (Big 12),13,7-6,29,262,0,9.03
Wisconsin (Big Ten),13,7-6,20,181,0,9.05
South Fla. (AAC),12,1-11,8,77,0,9.62
Nevada (Mountain West),12,2-10,15,146,0,9.73
Western Ky. (CUSA),14,9-5,8,78,0,9.75
UCLA (Pac-12),13,9-4,10,99,1,9.90
California (Pac-12),12,4-8,23,228,1,9.91
FIU (CUSA),12,4-8,10,101,0,10.10
UConn (FBS Independent),13,6-7,20,207,3,10.35
Michigan (Big Ten),14,13-1,8,83,1,10.38
Oregon St. (Pac-12),13,10-3,10,104,0,10.40
Clemson (ACC),14,11-3,23,242,1,10.52
Ga. Southern (Sun Belt),13,6-7,19,204,0,10.74
Wyoming (Mountain West),13,7-6,26,284,1,10.92
LSU (SEC),14,10-4,17,186,0,10.94
Liberty (FBS Independent),13,8-5,15,165,0,11.00
Southern California (Pac-12),14,11-3,7,80,0,11.43
South Alabama (Sun Belt),13,10-3,16,184,1,11.50
UAB (CUSA),13,7-6,16,191,0,11.94
Arizona St. (Pac-12),12,3-9,21,265,1,12.62
Tulsa (AAC),12,5-7,23,293,2,12.74
Wake Forest (ACC),13,8-5,8,103,0,12.88
Virginia (ACC),10,3-7,24,314,0,13.08
San Jose St. (Mountain West),12,7-5,8,105,1,13.12
Oregon (Pac-12),13,10-3,5,68,0,13.60
Kentucky (SEC),13,7-6,11,150,0,13.64
Louisiana Tech (CUSA),12,3-9,8,110,2,13.75
Memphis (AAC),13,7-6,14,193,1,13.79
Buffalo (MAC),13,7-6,18,253,0,14.06
Arkansas (SEC),13,7-6,10,144,0,14.40
Vanderbilt (SEC),12,5-7,25,379,1,15.16
Missouri (SEC),13,6-7,13,204,1,15.69
Texas Tech (Big 12),13,8-5,10,157,1,15.70
ULM (Sun Belt),12,4-8,27,477,3,17.67
Georgia (SEC),15,15-0,6,110,1,18.33
Georgia Tech (ACC),12,5-7,37,686,3,18.54
Boise St. (Mountain West),14,10-4,10,187,3,18.70
James Madison (Sun Belt),11,8-3,14,120,1,8.57
