Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Oregon St. (Pac-12),13,10-3,42,13,7,8,28,0.667
Georgia (SEC),15,15-0,34,7,6,10,23,0.676
San Diego St. (Mountain West),13,7-6,42,9,13,7,29,0.690
Middle Tenn. (CUSA),13,8-5,49,11,14,9,34,0.694
UCF (AAC),14,9-5,58,18,9,14,41,0.707
San Jose St. (Mountain West),12,7-5,39,13,9,6,28,0.718
Texas A&M (SEC),12,5-7,44,12,10,10,32,0.727
Penn St. (Big Ten),13,11-2,42,11,9,11,31,0.738
Texas Tech (Big 12),13,8-5,58,16,11,16,43,0.741
Illinois (Big Ten),13,8-5,31,6,5,12,23,0.742
Louisville (ACC),13,8-5,43,10,11,11,32,0.744
Old Dominion (Sun Belt),12,3-9,47,14,7,14,35,0.745
Air Force (Mountain West),13,10-3,28,6,6,9,21,0.750
Tennessee (SEC),13,11-2,52,13,14,12,39,0.750
Washington St. (Pac-12),13,7-6,45,15,10,9,34,0.756
Ga. Southern (Sun Belt),13,6-7,62,23,6,18,47,0.758
Cincinnati (AAC),13,9-4,42,13,11,8,32,0.762
South Alabama (Sun Belt),13,10-3,42,7,11,14,32,0.762
Marshall (Sun Belt),13,9-4,30,9,6,8,23,0.767
Alabama (SEC),13,11-2,43,12,8,13,33,0.767
Army West Point (FBS Independent),12,6-6,43,15,10,8,33,0.767
Oregon (Pac-12),13,10-3,52,16,14,10,40,0.769
Central Mich. (MAC),12,4-8,44,13,15,6,34,0.773
Stanford (Pac-12),12,3-9,45,14,12,9,35,0.778
Texas (Big 12),13,8-5,41,10,11,11,32,0.780
Troy (Sun Belt),14,12-2,41,14,9,9,32,0.780
Washington (Pac-12),13,11-2,41,13,11,8,32,0.780
Wisconsin (Big Ten),13,7-6,41,13,11,8,32,0.780
Indiana (Big Ten),12,4-8,55,15,19,9,43,0.782
Michigan St. (Big Ten),12,5-7,47,12,17,8,37,0.787
Pittsburgh (ACC),13,9-4,48,12,15,11,38,0.792
Iowa (Big Ten),13,8-5,34,4,10,13,27,0.794
UTEP (CUSA),12,5-7,44,11,14,10,35,0.795
UNLV (Mountain West),12,5-7,54,17,11,15,43,0.796
Boise St. (Mountain West),14,10-4,35,14,2,12,28,0.800
East Carolina (AAC),13,8-5,45,13,12,11,36,0.800
Fresno St. (Mountain West),14,10-4,45,13,9,14,36,0.800
Western Mich. (MAC),12,5-7,45,16,8,12,36,0.800
Wake Forest (ACC),13,8-5,51,11,18,12,41,0.804
Georgia Tech (ACC),12,5-7,46,16,8,13,37,0.804
LSU (SEC),14,10-4,46,15,8,14,37,0.804
Texas St. (Sun Belt),12,4-8,41,15,8,10,33,0.805
App State (Sun Belt),12,6-6,36,16,8,5,29,0.806
California (Pac-12),12,4-8,48,17,16,6,39,0.812
Temple (AAC),12,3-9,48,15,13,11,39,0.812
UTSA (CUSA),14,11-3,48,16,11,12,39,0.812
Nevada (Mountain West),12,2-10,43,15,8,12,35,0.814
