Team,Games,Win-Loss,Penalties,Penalty Yards,Penalty Yards Per Game
Air Force (Mountain West),13,10-3,51,386,29.69
Navy (AAC),12,4-8,46,376,31.33
Minnesota (Big Ten),13,9-4,46,413,31.77
Michigan (Big Ten),14,13-1,58,448,32.00
Iowa (Big Ten),13,8-5,53,425,32.69
Oklahoma St. (Big 12),13,7-6,46,436,33.54
Tulane (AAC),14,12-2,56,480,34.29
Memphis (AAC),13,7-6,53,479,36.85
South Fla. (AAC),12,1-11,55,443,36.92
Temple (AAC),12,3-9,55,444,37.00
East Carolina (AAC),13,8-5,56,488,37.54
Wyoming (Mountain West),13,7-6,56,488,37.54
Army West Point (FBS Independent),12,6-6,58,467,38.92
Kentucky (SEC),13,7-6,74,514,39.54
Fresno St. (Mountain West),14,10-4,63,561,40.07
Utah (Pac-12),14,10-4,63,563,40.21
Wake Forest (ACC),13,8-5,62,523,40.23
Northwestern (Big Ten),12,1-11,55,490,40.83
Baylor (Big 12),13,6-7,62,534,41.08
Stanford (Pac-12),12,3-9,55,495,41.25
Notre Dame (FBS Independent),13,9-4,60,550,42.31
SMU (AAC),13,7-6,56,550,42.31
North Texas (CUSA),14,7-7,74,594,42.43
Nebraska (Big Ten),12,4-8,65,510,42.50
Kansas St. (Big 12),14,10-4,74,601,42.93
Ohio (MAC),14,10-4,69,618,44.14
Texas Tech (Big 12),13,8-5,74,576,44.31
California (Pac-12),12,4-8,63,535,44.58
Texas St. (Sun Belt),12,4-8,59,536,44.67
ULM (Sun Belt),12,4-8,59,537,44.75
Georgia (SEC),15,15-0,66,674,44.93
Indiana (Big Ten),12,4-8,60,543,45.25
Washington St. (Pac-12),13,7-6,70,589,45.31
Ga. Southern (Sun Belt),13,6-7,66,595,45.77
Iowa St. (Big 12),12,4-8,67,553,46.08
Vanderbilt (SEC),12,5-7,63,553,46.08
UCF (AAC),14,9-5,68,649,46.36
Kansas (Big 12),13,6-7,69,605,46.54
Texas (Big 12),13,8-5,79,615,47.31
Boise St. (Mountain West),14,10-4,78,664,47.43
Ohio St. (Big Ten),13,11-2,73,624,48.00
Clemson (ACC),14,11-3,76,675,48.21
Miami (OH) (MAC),13,6-7,71,627,48.23
Colorado (Pac-12),12,1-11,64,579,48.25
Penn St. (Big Ten),13,11-2,69,628,48.31
Boston College (ACC),12,3-9,72,582,48.50
San Jose St. (Mountain West),12,7-5,70,587,48.92
Texas A&M (SEC),12,5-7,76,589,49.08
TCU (Big 12),15,13-2,72,744,49.60
Troy (Sun Belt),14,12-2,76,699,49.93
Arizona (Pac-12),12,5-7,65,600,50.00
Florida (SEC),13,6-7,89,651,50.08
Oklahoma (Big 12),13,6-7,74,652,50.15
Hawaii (Mountain West),13,3-10,73,653,50.23
Duke (ACC),13,9-4,68,657,50.54
Buffalo (MAC),13,7-6,72,665,51.15
New Mexico (Mountain West),12,2-10,73,614,51.17
App State (Sun Belt),12,6-6,67,619,51.58
Georgia Tech (ACC),12,5-7,69,623,51.92
UCLA (Pac-12),13,9-4,84,682,52.46
Rice (CUSA),13,5-8,78,683,52.54
West Virginia (Big 12),12,5-7,77,636,53.00
FIU (CUSA),12,4-8,74,640,53.33
Liberty (FBS Independent),13,8-5,80,696,53.54
Purdue (Big Ten),14,8-6,75,751,53.64
BYU (FBS Independent),13,8-5,76,702,54.00
LSU (SEC),14,10-4,86,760,54.29
Oregon St. (Pac-12),13,10-3,78,711,54.69
Kent St. (MAC),12,5-7,81,657,54.75
Michigan St. (Big Ten),12,5-7,70,659,54.92
Toledo (MAC),14,9-5,94,770,55.00
Nevada (Mountain West),12,2-10,72,661,55.08
Arkansas St. (Sun Belt),12,3-9,69,663,55.25
North Carolina (ACC),14,9-5,86,774,55.29
Arkansas (SEC),13,7-6,83,722,55.54
Louisiana (Sun Belt),13,6-7,85,724,55.69
UTEP (CUSA),12,5-7,78,669,55.75
Ball St. (MAC),12,5-7,72,671,55.92
New Mexico St. (FBS Independent),13,7-6,85,736,56.62
Coastal Carolina (Sun Belt),13,9-4,81,740,56.92
Tulsa (AAC),12,5-7,74,685,57.08
UNLV (Mountain West),12,5-7,69,685,57.08
Oregon (Pac-12),13,10-3,88,744,57.23
Auburn (SEC),12,5-7,90,688,57.33
NC State (ACC),13,8-5,95,747,57.46
