Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Air Force (Mountain West),13,10-3,802,4247,5.30,37,326.7
Army West Point (FBS Independent),12,6-6,648,3473,5.36,38,289.4
Ole Miss (SEC),13,8-5,614,3336,5.43,33,256.6
Navy (AAC),12,4-8,708,2894,4.09,22,241.2
Michigan (Big Ten),14,13-1,600,3345,5.58,41,238.9
UCLA (Pac-12),13,9-4,514,3084,6.00,36,237.2
Arkansas (SEC),13,7-6,605,3075,5.08,27,236.5
UAB (CUSA),13,7-6,528,3063,5.80,32,235.6
UCF (AAC),14,9-5,615,3197,5.20,35,228.4
Oklahoma (Big 12),13,6-7,581,2852,4.91,28,219.4
Utah (Pac-12),14,10-4,560,3047,5.44,38,217.6
Oregon (Pac-12),13,10-3,508,2805,5.52,34,215.8
Florida St. (ACC),13,10-3,509,2783,5.47,33,214.1
Georgia St. (Sun Belt),12,4-8,577,2562,4.44,26,213.5
Kansas St. (Big 12),14,10-4,569,2916,5.12,32,208.3
Minnesota (Big Ten),13,9-4,581,2695,4.64,33,207.3
Marshall (Sun Belt),13,9-4,597,2677,4.48,20,205.9
Auburn (SEC),12,5-7,488,2470,5.06,25,205.8
Georgia (SEC),15,15-0,557,3080,5.53,44,205.3
Tulane (AAC),14,12-2,557,2867,5.15,34,204.8
App State (Sun Belt),12,6-6,474,2453,5.18,27,204.4
Kent St. (MAC),12,5-7,517,2425,4.69,23,202.1
Louisville (ACC),13,8-5,518,2608,5.03,25,200.6
Florida (SEC),13,6-7,472,2603,5.51,29,200.2
North Texas (CUSA),14,7-7,536,2798,5.22,24,199.9
Tennessee (SEC),13,11-2,523,2593,4.96,40,199.5
South Fla. (AAC),12,1-11,441,2375,5.39,25,197.9
Boise St. (Mountain West),14,10-4,551,2751,4.99,27,196.5
Oregon St. (Pac-12),13,10-3,524,2554,4.87,36,196.5
Alabama (SEC),13,11-2,458,2542,5.55,26,195.5
TCU (Big 12),15,13-2,566,2899,5.12,37,193.3
Ohio St. (Big Ten),13,11-2,466,2501,5.37,30,192.4
UConn (FBS Independent),13,6-7,525,2483,4.73,20,191.0
NIU (MAC),12,3-9,478,2285,4.78,19,190.4
Notre Dame (FBS Independent),13,9-4,532,2458,4.62,25,189.1
Texas (Big 12),13,8-5,470,2446,5.20,29,188.2
Fla. Atlantic (CUSA),12,5-7,491,2212,4.51,19,184.3
Kansas (Big 12),13,6-7,446,2395,5.37,29,184.2
Duke (ACC),13,9-4,484,2394,4.95,31,184.2
LSU (SEC),14,10-4,517,2574,4.98,39,183.9
Pittsburgh (ACC),13,9-4,521,2379,4.57,30,183.0
Baylor (Big 12),13,6-7,535,2371,4.43,34,182.4
Wyoming (Mountain West),13,7-6,479,2358,4.92,16,181.4
Penn St. (Big Ten),13,11-2,489,2354,4.81,28,181.1
Wisconsin (Big Ten),13,7-6,501,2337,4.66,21,179.8
Clemson (ACC),14,11-3,546,2491,4.56,31,177.9
Toledo (MAC),14,9-5,581,2484,4.28,23,177.4
BYU (FBS Independent),13,8-5,438,2296,5.24,19,176.6
UTSA (CUSA),14,11-3,543,2454,4.52,28,175.3
Liberty (FBS Independent),13,8-5,493,2245,4.55,24,172.7
West Virginia (Big 12),12,5-7,445,2058,4.62,24,171.5
Southern California (Pac-12),14,11-3,473,2396,5.07,30,171.1
East Carolina (AAC),13,8-5,422,2218,5.26,25,170.6
UTEP (CUSA),12,5-7,464,2006,4.32,14,167.2
Illinois (Big Ten),13,8-5,543,2161,3.98,18,166.2
New Mexico St. (FBS Independent),13,7-6,453,2099,4.63,25,161.5
Central Mich. (MAC),12,4-8,443,1925,4.35,22,160.4
Vanderbilt (SEC),12,5-7,445,1919,4.31,13,159.9
Texas Tech (Big 12),13,8-5,525,2072,3.95,28,159.4
Coastal Carolina (Sun Belt),13,9-4,513,2071,4.04,22,159.3
Utah St. (Mountain West),13,6-7,550,2069,3.76,14,159.2
South Alabama (Sun Belt),13,10-3,505,2038,4.04,19,156.8
SMU (AAC),13,7-6,492,2030,4.13,26,156.2
Missouri (SEC),13,6-7,490,2024,4.13,20,155.7
Ball St. (MAC),12,5-7,417,1868,4.48,14,155.7
North Carolina (ACC),14,9-5,508,2149,4.23,24,153.5
Massachusetts (FBS Independent),12,1-11,520,1786,3.43,10,148.8
