Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
Marshall (Sun Belt),13,9-4,44,187,0.235
Georgia (SEC),15,15-0,53,199,0.266
Oklahoma St. (Big 12),13,7-6,54,199,0.271
Air Force (Mountain West),13,10-3,39,140,0.279
Minnesota (Big Ten),13,9-4,46,165,0.279
Iowa St. (Big 12),12,4-8,45,156,0.288
Ohio St. (Big Ten),13,11-2,56,187,0.299
Illinois (Big Ten),13,8-5,55,183,0.301
Alabama (SEC),13,11-2,60,197,0.305
Iowa (Big Ten),13,8-5,64,209,0.306
Massachusetts (FBS Independent),12,1-11,43,139,0.309
South Alabama (Sun Belt),13,10-3,55,177,0.311
Boise St. (Mountain West),14,10-4,63,200,0.315
Utah (Pac-12),14,10-4,52,165,0.315
Western Mich. (MAC),12,5-7,50,158,0.316
Pittsburgh (ACC),13,9-4,58,180,0.322
Wisconsin (Big Ten),13,7-6,58,180,0.322
Central Mich. (MAC),12,4-8,59,181,0.326
NC State (ACC),13,8-5,63,192,0.328
Louisville (ACC),13,8-5,57,172,0.331
Penn St. (Big Ten),13,11-2,67,202,0.332
Kentucky (SEC),13,7-6,57,171,0.333
Toledo (MAC),14,9-5,74,221,0.335
Mississippi St. (SEC),13,9-4,61,182,0.335
Michigan (Big Ten),14,13-1,67,198,0.338
Kansas St. (Big 12),14,10-4,66,194,0.340
Rutgers (Big Ten),12,4-8,58,170,0.341
New Mexico (Mountain West),12,2-10,57,167,0.341
Virginia Tech (ACC),11,3-8,56,164,0.341
Stanford (Pac-12),12,3-9,53,155,0.342
Tennessee (SEC),13,11-2,65,190,0.342
Liberty (FBS Independent),13,8-5,66,192,0.344
Missouri (SEC),13,6-7,64,186,0.344
UTEP (CUSA),12,5-7,49,141,0.348
Purdue (Big Ten),14,8-6,66,189,0.349
Florida St. (ACC),13,10-3,63,180,0.350
San Diego St. (Mountain West),13,7-6,64,182,0.352
Akron (MAC),12,2-10,57,162,0.352
Clemson (ACC),14,11-3,69,196,0.352
Texas St. (Sun Belt),12,4-8,62,175,0.354
Buffalo (MAC),13,7-6,62,174,0.356
Texas A&M (SEC),12,5-7,62,174,0.356
Western Ky. (CUSA),14,9-5,75,210,0.357
Navy (AAC),12,4-8,55,154,0.357
Fresno St. (Mountain West),14,10-4,73,202,0.361
Temple (AAC),12,3-9,63,174,0.362
Notre Dame (FBS Independent),13,9-4,61,168,0.363
Southern Miss. (Sun Belt),13,7-6,72,198,0.364
Arkansas St. (Sun Belt),12,3-9,63,173,0.364
TCU (Big 12),15,13-2,80,219,0.365
Fla. Atlantic (CUSA),12,5-7,57,156,0.365
Tulsa (AAC),12,5-7,66,180,0.367
Virginia (ACC),10,3-7,57,154,0.370
Boston College (ACC),12,3-9,60,162,0.370
UNLV (Mountain West),12,5-7,60,161,0.373
New Mexico St. (FBS Independent),13,7-6,66,177,0.373
Tulane (AAC),14,12-2,83,222,0.374
Colorado St. (Mountain West),12,3-9,62,164,0.378
UTSA (CUSA),14,11-3,79,208,0.380
Washington St. (Pac-12),13,7-6,68,179,0.380
SMU (AAC),13,7-6,72,189,0.381
UCF (AAC),14,9-5,74,194,0.381
Middle Tenn. (CUSA),13,8-5,75,196,0.383
Wyoming (Mountain West),13,7-6,73,190,0.384
Cincinnati (AAC),13,9-4,79,205,0.385
Ole Miss (SEC),13,8-5,76,197,0.386
Georgia Tech (ACC),12,5-7,66,171,0.386
Texas Tech (Big 12),13,8-5,78,202,0.386
Army West Point (FBS Independent),12,6-6,55,142,0.387
Oregon St. (Pac-12),13,10-3,69,178,0.388
Maryland (Big Ten),13,8-5,77,198,0.389
LSU (SEC),14,10-4,78,200,0.390
California (Pac-12),12,4-8,66,169,0.391
Ohio (MAC),14,10-4,71,181,0.392
San Jose St. (Mountain West),12,7-5,67,170,0.394
Kent St. (MAC),12,5-7,71,180,0.394
UCLA (Pac-12),13,9-4,71,180,0.394
Louisiana (Sun Belt),13,6-7,75,190,0.395
Hawaii (Mountain West),13,3-10,62,157,0.395
Troy (Sun Belt),14,12-2,81,205,0.395
Ball St. (MAC),12,5-7,80,202,0.396
Vanderbilt (SEC),12,5-7,60,151,0.397
Miami (OH) (MAC),13,6-7,75,187,0.401
Syracuse (ACC),13,7-6,70,174,0.402
UAB (CUSA),13,7-6,76,188,0.404
West Virginia (Big 12),12,5-7,66,162,0.407
Oklahoma (Big 12),13,6-7,85,208,0.409
Texas (Big 12),13,8-5,88,214,0.411
Old Dominion (Sun Belt),12,3-9,77,187,0.412
Rice (CUSA),13,5-8,66,160,0.412
Wake Forest (ACC),13,8-5,83,201,0.413
Memphis (AAC),13,7-6,79,191,0.414
Utah St. (Mountain West),13,6-7,77,186,0.414
Georgia St. (Sun Belt),12,4-8,68,163,0.417
North Carolina (ACC),14,9-5,79,189,0.418
Northwestern (Big Ten),12,1-11,69,165,0.418
Miami (FL) (ACC),12,5-7,68,162,0.420
Coastal Carolina (Sun Belt),13,9-4,69,164,0.421
App State (Sun Belt),12,6-6,71,168,0.423
Nevada (Mountain West),12,2-10,74,175,0.423
Nebraska (Big Ten),12,4-8,75,177,0.424
Indiana (Big Ten),12,4-8,78,184,0.424
Auburn (SEC),12,5-7,76,179,0.425
East Carolina (AAC),13,8-5,74,174,0.425
Eastern Mich. (MAC),13,9-4,75,176,0.426
ULM (Sun Belt),12,4-8,73,171,0.427
UConn (FBS Independent),13,6-7,74,173,0.428
Ga. Southern (Sun Belt),13,6-7,80,186,0.430
Duke (ACC),13,9-4,77,179,0.430
Houston (AAC),13,8-5,77,179,0.430
Louisiana Tech (CUSA),12,3-9,71,165,0.430
Southern California (Pac-12),14,11-3,73,169,0.432
South Carolina (SEC),13,8-5,79,182,0.434
Michigan St. (Big Ten),12,5-7,77,177,0.435
NIU (MAC),12,3-9,72,163,0.442
Charlotte (CUSA),12,3-9,64,144,0.444
Washington (Pac-12),13,11-2,81,182,0.445
Arkansas (SEC),13,7-6,86,191,0.450
North Texas (CUSA),14,7-7,98,215,0.456
Baylor (Big 12),13,6-7,81,177,0.458
BYU (FBS Independent),13,8-5,82,178,0.461
Oregon (Pac-12),13,10-3,81,173,0.468
Bowling Green (MAC),13,6-7,94,200,0.470
Kansas (Big 12),13,6-7,92,194,0.474
Arizona (Pac-12),12,5-7,64,133,0.481
Arizona St. (Pac-12),12,3-9,82,166,0.494
FIU (CUSA),12,4-8,90,182,0.495
Florida (SEC),13,6-7,87,175,0.497
South Fla. (AAC),12,1-11,73,145,0.503
Colorado (Pac-12),12,1-11,76,143,0.531
James Madison (Sun Belt),11,8-3,44,155,0.284
