Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
Sam Houston (Southland),15,11-4,1275,7975,6.25,76,531.7
James Madison (CAA),12,9-3,949,6345,6.69,64,528.8
Montana St. (Big Sky),11,5-6,838,5718,6.82,61,519.8
Jacksonville St. (OVC),15,13-2,1154,7613,6.60,74,507.5
Southern Ill. (MVFC),11,3-8,880,5479,6.23,46,498.1
Prairie View (SWAC),10,8-2,768,4885,6.36,60,488.5
Samford (SoCon),11,6-5,853,5277,6.19,42,479.7
Cal Poly (Big Sky),11,4-7,914,5263,5.76,52,478.5
Eastern Wash. (Big Sky),11,6-5,820,5263,6.42,50,478.5
Harvard (Ivy League),10,9-1,731,4750,6.50,47,475.0
Northern Ariz. (Big Sky),11,7-4,819,5178,6.32,55,470.7
Murray St. (OVC),11,3-8,901,5127,5.69,39,466.1
Lehigh (Patriot),11,6-5,851,5087,5.98,45,462.5
UT Martin (OVC),11,7-4,829,5023,6.06,47,456.6
Alcorn (SWAC),13,9-4,880,5930,6.74,67,456.2
Grambling (SWAC),12,9-3,873,5462,6.26,60,455.2
Coastal Carolina (Big South),12,9-3,814,5459,6.71,50,454.9
Fordham (Patriot),12,9-3,815,5439,6.67,56,453.3
Richmond (CAA),14,10-4,956,6326,6.62,58,451.9
Southern Utah (Big Sky),12,8-4,910,5340,5.87,50,445.0
Bethune-Cookman (MEAC),11,9-2,770,4895,6.36,47,445.0
Jacksonville (Pioneer),11,9-2,789,4850,6.15,37,440.9
Lamar University (Southland),11,5-6,723,4807,6.65,48,437.0
Kennesaw St. (Big South),11,6-5,769,4728,6.15,37,429.8
SFA (Southland),11,4-7,800,4700,5.88,39,427.3
Illinois St. (MVFC),13,10-3,821,5533,6.74,59,425.6
North Dakota St. (MVFC),15,13-2,1070,6346,5.93,63,423.1
Montana (Big Sky),13,8-5,1069,5490,5.14,42,422.3
The Citadel (SoCon),13,9-4,899,5474,6.09,45,421.1
Southern U. (SWAC),11,6-5,770,4627,6.01,48,420.6
Portland St. (Big Sky),12,9-3,839,5028,5.99,52,419.0
Morehead St. (Pioneer),11,7-4,867,4583,5.29,39,416.6
Duquesne (NEC),12,8-4,873,4998,5.73,40,416.5
Western Caro. (SoCon),11,7-4,753,4573,6.07,36,415.7
Chattanooga (SoCon),13,9-4,887,5400,6.09,42,415.4
Central Ark. (Southland),11,7-4,852,4567,5.36,36,415.2
Princeton (Ivy League),10,5-5,747,4138,5.54,35,413.8
Mercer (SoCon),11,5-6,787,4543,5.77,41,413.0
Penn (Ivy League),10,7-3,676,4121,6.10,45,412.1
South Dakota St. (MVFC),12,8-4,843,4938,5.86,42,411.5
William & Mary (CAA),13,9-4,884,5349,6.05,43,411.5
San Diego (Pioneer),11,9-2,767,4519,5.89,44,410.8
Dartmouth (Ivy League),10,9-1,716,4103,5.73,36,410.3
Butler (Pioneer),11,6-5,791,4490,5.68,37,408.2
Holy Cross (Patriot),11,6-5,807,4448,5.51,43,404.4
Brown (Ivy League),10,5-5,751,3983,5.30,32,398.3
McNeese (Southland),11,10-1,801,4376,5.46,40,397.8
Idaho St. (Big Sky),11,2-9,861,4375,5.08,33,397.7
Northwestern St. (Southland),11,4-7,755,4355,5.77,34,395.9
Western Ill. (MVFC),13,7-6,979,5119,5.23,40,393.8
Youngstown St. (MVFC),11,5-6,782,4315,5.52,35,392.3
Yale (Ivy League),10,6-4,795,3904,4.91,27,390.4
Bryant (NEC),11,5-6,749,4280,5.71,34,389.1
Colgate (Patriot),14,9-5,980,5441,5.55,47,388.6
Eastern Ky. (OVC),11,6-5,839,4268,5.09,40,388.0
VMI (SoCon),11,2-9,826,4262,5.16,31,387.5
