Team,Games,Win-Loss,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return
Alcorn (SWAC),13,9-4,65,943,0,14.51
Robert Morris (NEC),11,4-7,18,265,0,14.72
Eastern Ky. (OVC),11,6-5,26,402,0,15.46
Stony Brook (CAA),10,5-5,33,512,0,15.52
Rhode Island (CAA),11,1-10,30,472,0,15.73
Coastal Carolina (Big South),12,9-3,71,1141,0,16.07
Gardner-Webb (Big South),11,4-7,21,340,0,16.19
South Dakota St. (MVFC),12,8-4,48,784,1,16.33
Harvard (Ivy League),10,9-1,59,975,0,16.53
Dartmouth (Ivy League),10,9-1,49,832,0,16.98
Montana St. (Big Sky),11,5-6,41,702,0,17.12
Monmouth (Big South),11,5-6,38,651,1,17.13
North Dakota (Big Sky),11,7-4,53,910,0,17.17
Bryant (NEC),11,5-6,48,830,1,17.29
Penn (Ivy League),10,7-3,52,925,0,17.79
Illinois St. (MVFC),13,10-3,50,890,0,17.80
UAlbany (CAA),11,3-8,30,535,0,17.83
Elon (CAA),11,4-7,24,428,0,17.83
Eastern Ill. (OVC),12,7-5,43,767,0,17.84
Brown (Ivy League),10,5-5,44,790,2,17.95
Yale (Ivy League),10,6-4,38,689,0,18.13
Houston Christian (Southland),10,1-9,28,514,0,18.36
Campbell (Pioneer),11,5-6,43,790,0,18.37
Butler (Pioneer),11,6-5,45,827,1,18.38
Holy Cross (Patriot),11,6-5,55,1014,1,18.44
Murray St. (OVC),11,3-8,49,911,1,18.59
Charleston So. (Big South),13,10-3,56,1044,0,18.64
Sacred Heart (NEC),11,6-5,44,825,1,18.75
South Carolina St. (MEAC),11,7-4,54,1014,0,18.78
Southeastern La. (Southland),11,4-7,32,601,1,18.78
Columbia (Ivy League),10,2-8,28,526,0,18.79
Presbyterian (Big South),11,2-9,24,451,0,18.79
Bethune-Cookman (MEAC),11,9-2,49,928,0,18.94
UT Martin (OVC),11,7-4,44,835,1,18.98
Austin Peay (OVC),11,0-11,26,494,0,19.00
North Dakota St. (MVFC),15,13-2,52,996,1,19.15
Richmond (CAA),14,10-4,62,1191,1,19.21
N.C. Central (MEAC),11,8-3,46,887,1,19.28
Cal Poly (Big Sky),11,4-7,49,949,0,19.37
Central Conn. St. (NEC),11,4-7,37,718,0,19.41
Lafayette (Patriot),11,1-10,22,427,0,19.41
Princeton (Ivy League),10,5-5,47,920,1,19.57
N.C. A&T (MEAC),12,10-2,55,1078,0,19.60
Morgan St. (MEAC),10,4-6,30,588,0,19.60
Kennesaw St. (Big South),11,6-5,47,924,0,19.66
Delaware (CAA),11,4-7,28,554,1,19.79
SFA (Southland),11,4-7,42,832,1,19.81
Grambling (SWAC),12,9-3,68,1348,0,19.82
Southern Ill. (MVFC),11,3-8,54,1071,0,19.83
Sam Houston (Southland),15,11-4,86,1707,1,19.85
Georgetown (Patriot),11,4-7,40,795,0,19.88
Dayton (Pioneer),12,10-2,48,958,0,19.96
William & Mary (CAA),13,9-4,42,840,0,20.00
Liberty (Big South),11,6-5,22,440,0,20.00
New Hampshire (CAA),12,7-5,58,1163,0,20.05
Duquesne (NEC),12,8-4,49,984,1,20.08
Savannah St. (MEAC),10,1-9,24,482,0,20.08
Colgate (Patriot),14,9-5,60,1211,0,20.18
Nicholls (Southland),11,3-8,37,747,0,20.19
The Citadel (SoCon),13,9-4,43,871,0,20.26
Mercer (SoCon),11,5-6,44,892,0,20.27
San Diego (Pioneer),11,9-2,36,731,1,20.31
Eastern Wash. (Big Sky),11,6-5,40,813,1,20.33
Samford (SoCon),11,6-5,51,1043,1,20.45
Jacksonville (Pioneer),11,9-2,46,941,0,20.46
