Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Southern Utah (Big Sky),12,8-4,11,20,31,3,8,11,20,1.67
Dartmouth (Ivy League),10,9-1,14,18,32,15,5,20,12,1.20
Morehead St. (Pioneer),11,7-4,10,18,28,5,10,15,13,1.18
UNI (MVFC),14,9-5,14,17,31,5,10,15,16,1.14
Fordham (Patriot),12,9-3,13,16,29,6,10,16,13,1.08
Portland St. (Big Sky),12,9-3,10,18,28,8,7,15,13,1.08
Duquesne (NEC),12,8-4,10,16,26,5,8,13,13,1.08
Dayton (Pioneer),12,10-2,8,21,29,6,11,17,12,1.00
Penn (Ivy League),10,7-3,11,14,25,10,5,15,10,1.00
Mercer (SoCon),11,5-6,10,11,21,7,3,10,11,1.00
Southeast Mo. St. (OVC),11,4-7,10,11,21,3,8,11,10,0.91
Central Ark. (Southland),11,7-4,6,17,23,10,4,14,9,0.82
Sacred Heart (NEC),11,6-5,13,17,30,11,10,21,9,0.82
Holy Cross (Patriot),11,6-5,11,12,23,3,11,14,9,0.82
Colgate (Patriot),14,9-5,13,10,23,11,2,13,10,0.71
Prairie View (SWAC),10,8-2,9,10,19,9,3,12,7,0.70
Jacksonville (Pioneer),11,9-2,9,20,29,14,8,22,7,0.64
Western Ill. (MVFC),13,7-6,11,19,30,8,14,22,8,0.62
Eastern Ill. (OVC),12,7-5,12,19,31,8,16,24,7,0.58
N.C. A&T (MEAC),12,10-2,8,12,20,7,6,13,7,0.58
Richmond (CAA),14,10-4,8,22,30,7,15,22,8,0.57
Butler (Pioneer),11,6-5,7,15,22,7,9,16,6,0.55
N.C. Central (MEAC),11,8-3,13,10,23,5,12,17,6,0.55
William & Mary (CAA),13,9-4,7,18,25,8,10,18,7,0.54
Illinois St. (MVFC),13,10-3,10,12,22,5,10,15,7,0.54
Princeton (Ivy League),10,5-5,11,10,21,9,7,16,5,0.50
New Hampshire (CAA),12,7-5,11,12,23,6,11,17,6,0.50
Jacksonville St. (OVC),15,13-2,8,20,28,12,9,21,7,0.47
Lamar University (Southland),11,5-6,13,10,23,5,13,18,5,0.45
South Dakota St. (MVFC),12,8-4,6,10,16,2,9,11,5,0.42
James Madison (CAA),12,9-3,12,11,23,7,11,18,5,0.42
Texas Southern (SWAC),10,3-7,12,10,22,10,8,18,4,0.40
The Citadel (SoCon),13,9-4,11,20,31,20,6,26,5,0.38
Kennesaw St. (Big South),11,6-5,5,13,18,8,6,14,4,0.36
Samford (SoCon),11,6-5,6,16,22,7,11,18,4,0.36
McNeese (Southland),11,10-1,17,7,24,11,9,20,4,0.36
Indiana St. (MVFC),11,5-6,7,11,18,4,10,14,4,0.36
North Dakota St. (MVFC),15,13-2,9,16,25,12,8,20,5,0.33
Charleston So. (Big South),13,10-3,11,8,19,7,8,15,4,0.31
Alabama A&M (SWAC),11,3-8,9,8,17,7,7,14,3,0.27
Presbyterian (Big South),11,2-9,13,8,21,6,12,18,3,0.27
Liberty (Big South),11,6-5,4,10,14,7,4,11,3,0.27
Monmouth (Big South),11,5-6,9,13,22,7,12,19,3,0.27
