Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
South Carolina St. (MEAC),11,7-4,41,177,0.232
North Dakota St. (MVFC),15,13-2,52,202,0.257
Gardner-Webb (Big South),11,4-7,38,147,0.259
N.C. A&T (MEAC),12,10-2,46,175,0.263
Columbia (Ivy League),10,2-8,35,132,0.265
Alcorn (SWAC),13,9-4,53,184,0.288
McNeese (Southland),11,10-1,47,163,0.288
Youngstown St. (MVFC),11,5-6,47,156,0.301
Portland St. (Big Sky),12,9-3,56,185,0.303
Montana (Big Sky),13,8-5,66,217,0.304
Robert Morris (NEC),11,4-7,56,181,0.309
Butler (Pioneer),11,6-5,47,150,0.313
Jacksonville St. (OVC),15,13-2,69,219,0.315
Stony Brook (CAA),10,5-5,44,137,0.321
Sam Houston (Southland),15,11-4,73,227,0.322
Charleston So. (Big South),13,10-3,56,173,0.324
Harvard (Ivy League),10,9-1,50,154,0.325
Eastern Ill. (OVC),12,7-5,68,206,0.330
UNI (MVFC),14,9-5,69,208,0.332
Southern Utah (Big Sky),12,8-4,74,222,0.333
Elon (CAA),11,4-7,59,177,0.333
Dartmouth (Ivy League),10,9-1,57,170,0.335
Morgan St. (MEAC),10,4-6,43,128,0.336
UT Martin (OVC),11,7-4,52,154,0.338
Duquesne (NEC),12,8-4,60,176,0.341
N.C. Central (MEAC),11,8-3,56,164,0.341
Central Ark. (Southland),11,7-4,54,158,0.342
Sacred Heart (NEC),11,6-5,53,155,0.342
Illinois St. (MVFC),13,10-3,69,201,0.343
Campbell (Pioneer),11,5-6,53,154,0.344
Delaware (CAA),11,4-7,54,156,0.346
Bryant (NEC),11,5-6,52,149,0.349
Bethune-Cookman (MEAC),11,9-2,54,154,0.351
Delaware St. (MEAC),11,1-10,53,151,0.351
Saint Francis (PA) (NEC),10,6-4,49,139,0.353
Mississippi Val. (SWAC),11,1-10,47,133,0.353
Stetson (Pioneer),11,3-8,52,147,0.354
Hampton (MEAC),11,6-5,59,166,0.355
Kennesaw St. (Big South),11,6-5,47,132,0.356
Morehead St. (Pioneer),11,7-4,65,181,0.359
North Dakota (Big Sky),11,7-4,57,157,0.363
The Citadel (SoCon),13,9-4,65,178,0.365
San Diego (Pioneer),11,9-2,60,164,0.366
Eastern Ky. (OVC),11,6-5,67,183,0.366
Drake (Pioneer),11,5-6,63,172,0.366
Southeastern La. (Southland),11,4-7,63,171,0.368
Grambling (SWAC),12,9-3,70,189,0.370
South Dakota St. (MVFC),12,8-4,72,194,0.371
Jackson St. (SWAC),11,3-8,57,153,0.373
Lamar University (Southland),11,5-6,65,173,0.376
Weber St. (Big Sky),11,6-5,63,167,0.377
Dayton (Pioneer),12,10-2,78,206,0.379
New Hampshire (CAA),12,7-5,68,179,0.380
Sacramento St. (Big Sky),11,2-9,58,152,0.382
Central Conn. St. (NEC),11,4-7,65,170,0.382
Ark.-Pine Bluff (SWAC),11,2-9,55,142,0.387
Georgetown (Patriot),11,4-7,58,149,0.389
Southeast Mo. St. (OVC),11,4-7,60,154,0.390
Norfolk St. (MEAC),11,4-7,62,159,0.390
Tennessee St. (OVC),10,4-6,57,146,0.390
Samford (SoCon),11,6-5,74,189,0.392
Holy Cross (Patriot),11,6-5,65,166,0.392
Wofford (SoCon),11,5-6,58,147,0.395
Nicholls (Southland),11,3-8,62,157,0.395
Alabama St. (SWAC),11,6-5,70,177,0.395
UC Davis (Big Sky),11,2-9,53,134,0.396
Chattanooga (SoCon),13,9-4,71,178,0.399
Howard (MEAC),11,1-10,59,147,0.401
ETSU (FCS Independent),11,2-9,59,147,0.401
Southern U. (SWAC),11,6-5,55,137,0.401
Jacksonville (Pioneer),11,9-2,76,189,0.402
Brown (Ivy League),10,5-5,57,141,0.404
Yale (Ivy League),10,6-4,64,158,0.405
Texas Southern (SWAC),10,3-7,54,133,0.406
Liberty (Big South),11,6-5,59,145,0.407
Indiana St. (MVFC),11,5-6,68,167,0.407
Marist (Pioneer),11,5-6,78,191,0.408
Northern Ariz. (Big Sky),11,7-4,73,178,0.410
Coastal Carolina (Big South),12,9-3,76,185,0.411
Bucknell (Patriot),11,4-7,67,163,0.411
Maine (CAA),11,3-8,71,172,0.413
Fordham (Patriot),12,9-3,69,166,0.416
South Dakota (MVFC),11,5-6,67,161,0.416
Montana St. (Big Sky),11,5-6,68,163,0.417
Southern Ill. (MVFC),11,3-8,74,177,0.418
Rhode Island (CAA),11,1-10,69,165,0.418
Furman (SoCon),11,4-7,68,162,0.420
Florida A&M (MEAC),11,1-10,71,169,0.420
Idaho St. (Big Sky),11,2-9,74,176,0.420
Western Ill. (MVFC),13,7-6,83,197,0.421
Prairie View (SWAC),10,8-2,59,140,0.421
Western Caro. (SoCon),11,7-4,76,178,0.427
Davidson (Pioneer),11,2-9,69,161,0.429
Murray St. (OVC),11,3-8,75,174,0.431
Presbyterian (Big South),11,2-9,72,167,0.431
Princeton (Ivy League),10,5-5,69,159,0.434
Richmond (CAA),14,10-4,85,191,0.445
Villanova (CAA),11,6-5,71,159,0.447
William & Mary (CAA),13,9-4,79,176,0.449
Wagner (NEC),11,1-10,68,151,0.450
SFA (Southland),11,4-7,73,162,0.451
Monmouth (Big South),11,5-6,69,153,0.451
Towson (CAA),11,7-4,71,157,0.452
Tennessee Tech (OVC),11,4-7,78,172,0.453
UAlbany (CAA),11,3-8,69,152,0.454
Cal Poly (Big Sky),11,4-7,67,147,0.456
Valparaiso (Pioneer),10,1-9,68,149,0.456
James Madison (CAA),12,9-3,85,186,0.457
Savannah St. (MEAC),10,1-9,64,140,0.457
Alabama A&M (SWAC),11,3-8,75,164,0.457
Northwestern St. (Southland),11,4-7,61,132,0.462
Northern Colo. (Big Sky),11,6-5,85,183,0.464
VMI (SoCon),11,2-9,79,170,0.465
Penn (Ivy League),10,7-3,67,143,0.469
Cornell (Ivy League),10,1-9,66,140,0.471
Houston Christian (Southland),10,1-9,63,133,0.474
Colgate (Patriot),14,9-5,95,199,0.477
Lehigh (Patriot),11,6-5,73,152,0.480
Austin Peay (OVC),11,0-11,78,161,0.484
Mercer (SoCon),11,5-6,79,159,0.497
Eastern Wash. (Big Sky),11,6-5,84,169,0.497
Missouri St. (MVFC),11,1-10,82,156,0.526
Lafayette (Patriot),11,1-10,90,159,0.566
UIW (Southland),11,6-5,68,163,0.417
Abilene Christian (Southland),11,3-8,75,158,0.475
