Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
South Carolina St. (MEAC),11,7-4,107,28,463,121,11.0
Grambling (SWAC),12,9-3,80,67,497,114,9.5
N.C. Central (MEAC),11,8-3,75,56,387,103,9.4
Jacksonville St. (OVC),15,13-2,92,87,431,136,9.0
Alcorn (SWAC),13,9-4,91,52,496,117,9.0
Southeastern La. (Southland),11,4-7,88,20,370,98,8.9
Stetson (Pioneer),11,3-8,80,33,387,97,8.8
Central Ark. (Southland),11,7-4,71,50,361,96,8.7
Stony Brook (CAA),10,5-5,64,38,339,83,8.3
Eastern Ill. (OVC),12,7-5,75,46,334,98,8.2
Jacksonville (Pioneer),11,9-2,67,42,374,88,8.0
N.C. A&T (MEAC),12,10-2,70,50,375,95,7.9
Delaware St. (MEAC),11,1-10,72,30,333,87,7.9
Drake (Pioneer),11,5-6,71,28,330,85,7.7
Robert Morris (NEC),11,4-7,60,50,361,85,7.7
Campbell (Pioneer),11,5-6,64,42,378,85,7.7
Central Conn. St. (NEC),11,4-7,53,62,307,84,7.6
Morehead St. (Pioneer),11,7-4,56,56,327,84,7.6
Southern Utah (Big Sky),12,8-4,63,57,331,92,7.6
Lamar University (Southland),11,5-6,67,32,333,83,7.5
UNI (MVFC),14,9-5,89,32,364,105,7.5
Jackson St. (SWAC),11,3-8,45,75,347,83,7.5
Alabama St. (SWAC),11,6-5,63,38,293,82,7.5
North Dakota (Big Sky),11,7-4,61,40,347,81,7.4
Gardner-Webb (Big South),11,4-7,57,48,291,81,7.4
Maine (CAA),11,3-8,60,42,380,81,7.4
Bucknell (Patriot),11,4-7,71,18,330,80,7.3
Hampton (MEAC),11,6-5,55,49,340,80,7.2
Marist (Pioneer),11,5-6,57,44,311,79,7.2
Southeast Mo. St. (OVC),11,4-7,55,48,295,79,7.2
Eastern Ky. (OVC),11,6-5,53,48,312,77,7.0
Sacred Heart (NEC),11,6-5,48,56,359,76,6.9
Sam Houston (Southland),15,11-4,88,30,350,103,6.9
Charleston So. (Big South),13,10-3,72,34,372,89,6.8
Dayton (Pioneer),12,10-2,63,38,254,82,6.8
Southern U. (SWAC),11,6-5,51,48,336,75,6.8
San Diego (Pioneer),11,9-2,51,46,289,74,6.7
Western Ill. (MVFC),13,7-6,74,26,277,87,6.7
Prairie View (SWAC),10,8-2,50,33,246,67,6.7
Weber St. (Big Sky),11,6-5,54,38,296,73,6.6
Howard (MEAC),11,1-10,57,30,306,72,6.5
Duquesne (NEC),12,8-4,59,38,375,78,6.5
The Citadel (SoCon),13,9-4,66,36,323,84,6.5
Norfolk St. (MEAC),11,4-7,58,26,232,71,6.5
Tennessee St. (OVC),10,4-6,48,32,242,64,6.4
Elon (CAA),11,4-7,51,38,268,70,6.4
Montana (Big Sky),13,8-5,63,39,381,83,6.3
Columbia (Ivy League),10,2-8,49,28,218,63,6.3
Saint Francis (PA) (NEC),10,6-4,44,38,291,63,6.3
Morgan St. (MEAC),10,4-6,46,34,284,63,6.3
Dartmouth (Ivy League),10,9-1,48,30,250,63,6.3
Portland St. (Big Sky),12,9-3,63,25,286,76,6.3
Monmouth (Big South),11,5-6,56,26,236,69,6.3
Eastern Wash. (Big Sky),11,6-5,43,52,249,69,6.3
Kennesaw St. (Big South),11,6-5,59,20,284,69,6.3
Villanova (CAA),11,6-5,53,32,247,69,6.3
Samford (SoCon),11,6-5,51,36,270,69,6.3
New Hampshire (CAA),12,7-5,64,22,298,75,6.3
McNeese (Southland),11,10-1,59,18,283,68,6.2
Sacramento St. (Big Sky),11,2-9,48,40,228,68,6.2
Murray St. (OVC),11,3-8,52,32,234,68,6.2
Fordham (Patriot),12,9-3,63,22,282,74,6.2
Montana St. (Big Sky),11,5-6,61,12,262,67,6.1
Northern Colo. (Big Sky),11,6-5,36,62,231,67,6.1
Alabama A&M (SWAC),11,3-8,53,28,283,67,6.1
Butler (Pioneer),11,6-5,53,28,267,67,6.1
Chattanooga (SoCon),13,9-4,64,30,291,79,6.1
South Dakota (MVFC),11,5-6,59,12,229,65,5.9
Bethune-Cookman (MEAC),11,9-2,48,34,259,65,5.9
Youngstown St. (MVFC),11,5-6,59,12,302,65,5.9
Texas Southern (SWAC),10,3-7,47,24,202,59,5.9
Ark.-Pine Bluff (SWAC),11,2-9,45,38,253,64,5.8
Mercer (SoCon),11,5-6,43,40,245,63,5.7
Southern Ill. (MVFC),11,3-8,47,32,221,63,5.7
Liberty (Big South),11,6-5,52,22,327,63,5.7
Bryant (NEC),11,5-6,43,39,268,63,5.7
Towson (CAA),11,7-4,48,28,259,62,5.6
Florida A&M (MEAC),11,1-10,52,20,226,62,5.6
UT Martin (OVC),11,7-4,40,44,230,62,5.6
Western Caro. (SoCon),11,7-4,38,46,256,61,5.5
Idaho St. (Big Sky),11,2-9,41,39,207,61,5.5
Illinois St. (MVFC),13,10-3,57,28,251,71,5.5
SFA (Southland),11,4-7,42,36,197,60,5.5
Georgetown (Patriot),11,4-7,50,20,240,60,5.5
Colgate (Patriot),14,9-5,64,24,303,76,5.4
Brown (Ivy League),10,5-5,46,16,223,54,5.4
Penn (Ivy League),10,7-3,46,16,218,54,5.4
Missouri St. (MVFC),11,1-10,35,48,255,59,5.4
VMI (SoCon),11,2-9,46,26,197,59,5.4
Northern Ariz. (Big Sky),11,7-4,46,26,241,59,5.4
Rhode Island (CAA),11,1-10,44,30,209,59,5.4
North Dakota St. (MVFC),15,13-2,67,22,300,78,5.2
Yale (Ivy League),10,6-4,39,26,184,52,5.2
Lehigh (Patriot),11,6-5,44,26,258,57,5.2
Austin Peay (OVC),11,0-11,41,32,170,57,5.2
Wagner (NEC),11,1-10,50,12,230,56,5.1
Coastal Carolina (Big South),12,9-3,52,18,192,61,5.1
Indiana St. (MVFC),11,5-6,43,24,156,55,5.0
Mississippi Val. (SWAC),11,1-10,42,26,202,55,5.0
James Madison (CAA),12,9-3,50,18,275,59,4.9
Presbyterian (Big South),11,2-9,39,30,175,54,4.9
Holy Cross (Patriot),11,6-5,51,6,309,54,4.9
Tennessee Tech (OVC),11,4-7,39,28,180,53,4.8
Lafayette (Patriot),11,1-10,45,16,155,53,4.8
Savannah St. (MEAC),10,1-9,33,30,185,48,4.8
Harvard (Ivy League),10,9-1,37,22,192,48,4.8
Houston Christian (Southland),10,1-9,34,28,166,48,4.8
UAlbany (CAA),11,3-8,45,14,207,52,4.7
Cal Poly (Big Sky),11,4-7,38,28,190,52,4.7
Princeton (Ivy League),10,5-5,34,26,212,47,4.7
South Dakota St. (MVFC),12,8-4,45,22,226,56,4.7
Delaware (CAA),11,4-7,37,28,230,51,4.6
William & Mary (CAA),13,9-4,48,24,226,60,4.6
Valparaiso (Pioneer),10,1-9,30,32,141,46,4.6
Nicholls (Southland),11,3-8,41,18,133,50,4.5
Wofford (SoCon),11,5-6,30,38,163,49,4.5
ETSU (FCS Independent),11,2-9,31,36,180,49,4.5
Davidson (Pioneer),11,2-9,33,26,194,46,4.2
Northwestern St. (Southland),11,4-7,33,20,158,43,3.9
Furman (SoCon),11,4-7,30,24,113,42,3.8
Cornell (Ivy League),10,1-9,26,14,131,33,3.3
