Team,Games,Win-Loss,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game
Eastern Wash. (Big Sky),11,6-5,462,298,12,3886,8.41,13.04,36,353.3
Murray St. (OVC),11,3-8,538,333,8,3820,7.10,11.47,23,347.3
Samford (SoCon),11,6-5,465,324,11,3662,7.88,11.30,22,332.9
Morehead St. (Pioneer),11,7-4,532,304,10,3463,6.51,11.39,29,314.8
Jacksonville (Pioneer),11,9-2,449,252,8,3360,7.48,13.33,29,305.5
Harvard (Ivy League),10,9-1,342,212,6,3043,8.90,14.35,24,304.3
Montana St. (Big Sky),11,5-6,380,238,11,3342,8.79,14.04,30,303.8
Northern Ariz. (Big Sky),11,7-4,354,243,7,3335,9.42,13.72,39,303.2
Southern Ill. (MVFC),11,3-8,427,280,11,3283,7.69,11.73,26,298.5
Holy Cross (Patriot),11,6-5,500,295,11,3253,6.51,11.03,29,295.7
UT Martin (OVC),11,7-4,430,258,15,3228,7.51,12.51,31,293.5
Brown (Ivy League),10,5-5,418,253,18,2885,6.90,11.40,15,288.5
Montana (Big Sky),13,8-5,551,317,15,3645,6.62,11.50,25,280.4
Southern Utah (Big Sky),12,8-4,495,292,8,3350,6.77,11.47,26,279.2
Prairie View (SWAC),10,8-2,332,198,3,2780,8.37,14.04,24,278.0
Sam Houston (Southland),15,11-4,548,309,7,4158,7.59,13.46,33,277.2
Lehigh (Patriot),11,6-5,387,254,13,3017,7.80,11.88,22,274.3
Idaho St. (Big Sky),11,2-9,498,270,19,3008,6.04,11.14,26,273.5
Jackson St. (SWAC),11,3-8,441,252,11,3003,6.81,11.92,20,273.0
Fordham (Patriot),12,9-3,353,234,10,3268,9.26,13.97,32,272.3
Grambling (SWAC),12,9-3,435,243,21,3262,7.50,13.42,40,271.8
South Dakota St. (MVFC),12,8-4,388,220,9,3250,8.38,14.77,22,270.8
VMI (SoCon),11,2-9,436,258,22,2976,6.83,11.53,15,270.5
Yale (Ivy League),10,6-4,440,251,10,2680,6.09,10.68,12,268.0
Dartmouth (Ivy League),10,9-1,357,227,5,2657,7.44,11.70,17,265.7
Coastal Carolina (Big South),12,9-3,368,243,7,3183,8.65,13.10,22,265.3
Richmond (CAA),14,10-4,402,245,15,3653,9.09,14.91,19,260.9
Butler (Pioneer),11,6-5,403,228,9,2864,7.11,12.56,22,260.4
Liberty (Big South),11,6-5,396,246,4,2859,7.22,11.62,14,259.9
Eastern Ky. (OVC),11,6-5,436,262,15,2816,6.46,10.75,24,256.0
Marist (Pioneer),11,5-6,393,205,15,2808,7.15,13.70,14,255.3
James Madison (CAA),12,9-3,356,238,11,3060,8.60,12.86,28,255.0
Bethune-Cookman (MEAC),11,9-2,290,184,9,2785,9.60,15.14,23,253.2
Western Ill. (MVFC),13,7-6,464,254,14,3288,7.09,12.94,19,252.9
Sacramento St. (Big Sky),11,2-9,428,249,8,2779,6.49,11.16,18,252.6
Princeton (Ivy League),10,5-5,376,218,7,2472,6.57,11.34,12,247.2
Duquesne (NEC),12,8-4,415,232,8,2937,7.08,12.66,24,244.8
Penn (Ivy League),10,7-3,303,207,5,2429,8.02,11.73,25,242.9
San Diego (Pioneer),11,9-2,341,204,12,2657,7.79,13.02,24,241.5
Bryant (NEC),11,5-6,380,208,14,2644,6.96,12.71,23,240.4
Sacred Heart (NEC),11,6-5,356,202,10,2627,7.38,13.00,20,238.8
UC Davis (Big Sky),11,2-9,380,245,8,2600,6.84,10.61,17,236.4
Western Caro. (SoCon),11,7-4,361,226,8,2581,7.15,11.42,16,234.6
Southern U. (SWAC),11,6-5,313,193,4,2573,8.22,13.33,17,233.9
