Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Mercer (SoCon),11,5-6,44,20,12,9,41,0.932
Saint Francis (PA) (NEC),10,6-4,40,14,10,13,37,0.925
Wofford (SoCon),11,5-6,36,28,1,4,33,0.917
Montana St. (Big Sky),11,5-6,55,29,16,5,50,0.909
South Dakota (MVFC),11,5-6,32,13,7,9,29,0.906
UC Davis (Big Sky),11,2-9,32,9,11,9,29,0.906
Samford (SoCon),11,6-5,41,14,8,15,37,0.902
Northern Ariz. (Big Sky),11,7-4,49,14,21,9,44,0.898
James Madison (CAA),12,9-3,66,32,16,11,59,0.894
Coastal Carolina (Big South),12,9-3,54,22,11,15,48,0.889
Nicholls (Southland),11,3-8,24,11,6,4,21,0.875
Grambling (SWAC),12,9-3,48,13,20,9,42,0.875
UT Martin (OVC),11,7-4,53,14,20,12,46,0.868
South Carolina St. (MEAC),11,7-4,37,13,9,10,32,0.865
Central Ark. (Southland),11,7-4,37,15,5,12,32,0.865
Portland St. (Big Sky),12,9-3,44,19,9,10,38,0.864
Youngstown St. (MVFC),11,5-6,43,15,9,13,37,0.860
Southern U. (SWAC),11,6-5,49,29,8,5,42,0.857
Richmond (CAA),14,10-4,62,35,7,11,53,0.855
Lehigh (Patriot),11,6-5,48,18,16,7,41,0.854
Jacksonville St. (OVC),15,13-2,74,33,14,16,63,0.851
Duquesne (NEC),12,8-4,47,13,15,12,40,0.851
Western Ill. (MVFC),13,7-6,40,19,8,7,34,0.850
North Dakota (Big Sky),11,7-4,33,11,9,8,28,0.848
UNI (MVFC),14,9-5,46,21,6,12,39,0.848
Holy Cross (Patriot),11,6-5,46,13,18,8,39,0.848
Lamar University (Southland),11,5-6,44,18,11,8,37,0.841
Furman (SoCon),11,4-7,25,10,5,6,21,0.840
Southern Utah (Big Sky),12,8-4,49,19,11,11,41,0.837
North Dakota St. (MVFC),15,13-2,61,26,17,8,51,0.836
Prairie View (SWAC),10,8-2,60,31,15,4,50,0.833
Fordham (Patriot),12,9-3,54,17,21,7,45,0.833
Indiana St. (MVFC),11,5-6,36,11,12,7,30,0.833
Eastern Ky. (OVC),11,6-5,47,15,16,8,39,0.830
Penn (Ivy League),10,7-3,41,18,13,3,34,0.829
Georgetown (Patriot),11,4-7,35,8,13,8,29,0.829
Eastern Wash. (Big Sky),11,6-5,45,12,22,3,37,0.822
Sam Houston (Southland),15,11-4,73,37,12,11,60,0.822
Chattanooga (SoCon),13,9-4,55,24,7,14,45,0.818
Hampton (MEAC),11,6-5,33,6,16,5,27,0.818
Jackson St. (SWAC),11,3-8,38,5,11,15,31,0.816
Towson (CAA),11,7-4,38,17,8,6,31,0.816
Montana (Big Sky),13,8-5,54,13,12,19,44,0.815
N.C. Central (MEAC),11,8-3,54,20,9,15,44,0.815
Princeton (Ivy League),10,5-5,43,20,8,7,35,0.814
Kennesaw St. (Big South),11,6-5,48,23,5,11,39,0.813
Charleston So. (Big South),13,10-3,48,24,8,7,39,0.813
Missouri St. (MVFC),11,1-10,16,5,5,3,13,0.813
Western Caro. (SoCon),11,7-4,37,16,5,9,30,0.811
Houston Christian (Southland),10,1-9,21,8,5,4,17,0.810
Southern Ill. (MVFC),11,3-8,47,14,15,9,38,0.809
Northwestern St. (Southland),11,4-7,36,13,5,11,29,0.806
Stetson (Pioneer),11,3-8,36,18,5,6,29,0.806
ETSU (FCS Independent),11,2-9,30,13,3,8,24,0.800
Illinois St. (MVFC),13,10-3,45,24,8,4,36,0.800
San Diego (Pioneer),11,9-2,40,15,11,6,32,0.800
Valparaiso (Pioneer),10,1-9,20,5,8,3,16,0.800
Cal Poly (Big Sky),11,4-7,39,24,4,3,31,0.795
Southeast Mo. St. (OVC),11,4-7,34,14,8,5,27,0.794
Northern Colo. (Big Sky),11,6-5,29,14,4,5,23,0.793
Rhode Island (CAA),11,1-10,24,6,5,8,19,0.792
Drake (Pioneer),11,5-6,43,9,15,10,34,0.791
Alabama St. (SWAC),11,6-5,42,20,8,5,33,0.786
South Dakota St. (MVFC),12,8-4,54,17,12,13,42,0.778
Southeastern La. (Southland),11,4-7,27,14,4,3,21,0.778
Bethune-Cookman (MEAC),11,9-2,45,21,11,3,35,0.778
Presbyterian (Big South),11,2-9,27,12,3,6,21,0.778
N.C. A&T (MEAC),12,10-2,45,18,11,6,35,0.778
Delaware (CAA),11,4-7,27,12,1,8,21,0.778
Dayton (Pioneer),12,10-2,49,19,6,13,38,0.776
Morehead St. (Pioneer),11,7-4,49,9,17,12,38,0.776
William & Mary (CAA),13,9-4,53,21,4,16,41,0.774
Davidson (Pioneer),11,2-9,22,3,8,6,17,0.773
Stony Brook (CAA),10,5-5,30,11,6,6,23,0.767
Murray St. (OVC),11,3-8,47,14,10,12,36,0.766
The Citadel (SoCon),13,9-4,54,30,2,9,41,0.759
New Hampshire (CAA),12,7-5,49,14,13,10,37,0.755
Colgate (Patriot),14,9-5,57,33,6,4,43,0.754
Yale (Ivy League),10,6-4,40,12,8,10,30,0.750
Butler (Pioneer),11,6-5,51,12,16,10,38,0.745
McNeese (Southland),11,10-1,47,17,8,10,35,0.745
