Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
N.C. Central (MEAC),11,8-3,9,11,0.818
San Diego (Pioneer),11,9-2,8,10,0.800
Richmond (CAA),14,10-4,9,12,0.750
Jacksonville St. (OVC),15,13-2,22,30,0.733
Cal Poly (Big Sky),11,4-7,37,51,0.725
Saint Francis (PA) (NEC),10,6-4,5,7,0.714
Stony Brook (CAA),10,5-5,19,28,0.679
Colgate (Patriot),14,9-5,31,46,0.674
Samford (SoCon),11,6-5,14,21,0.667
Dayton (Pioneer),12,10-2,11,17,0.647
North Dakota St. (MVFC),15,13-2,16,25,0.640
McNeese (Southland),11,10-1,14,22,0.636
Prairie View (SWAC),10,8-2,19,30,0.633
Montana St. (Big Sky),11,5-6,24,38,0.632
Southern Ill. (MVFC),11,3-8,12,19,0.632
Mercer (SoCon),11,5-6,15,24,0.625
Alcorn (SWAC),13,9-4,10,16,0.625
Monmouth (Big South),11,5-6,21,34,0.618
Grambling (SWAC),12,9-3,8,13,0.615
Southeast Mo. St. (OVC),11,4-7,12,20,0.600
Furman (SoCon),11,4-7,9,15,0.600
Coastal Carolina (Big South),12,9-3,9,15,0.600
Charleston So. (Big South),13,10-3,13,22,0.591
Northern Ariz. (Big Sky),11,7-4,10,17,0.588
Wofford (SoCon),11,5-6,17,29,0.586
UT Martin (OVC),11,7-4,14,24,0.583
Drake (Pioneer),11,5-6,14,24,0.583
Portland St. (Big Sky),12,9-3,7,12,0.583
Eastern Wash. (Big Sky),11,6-5,16,28,0.571
Brown (Ivy League),10,5-5,12,21,0.571
UNI (MVFC),14,9-5,8,14,0.571
Chattanooga (SoCon),13,9-4,9,16,0.563
Youngstown St. (MVFC),11,5-6,9,16,0.563
N.C. A&T (MEAC),12,10-2,10,18,0.556
Dartmouth (Ivy League),10,9-1,10,18,0.556
Liberty (Big South),11,6-5,11,20,0.550
UC Davis (Big Sky),11,2-9,11,20,0.550
Tennessee Tech (OVC),11,4-7,6,11,0.545
Princeton (Ivy League),10,5-5,6,11,0.545
Jackson St. (SWAC),11,3-8,6,11,0.545
William & Mary (CAA),13,9-4,8,15,0.533
Missouri St. (MVFC),11,1-10,8,15,0.533
Northern Colo. (Big Sky),11,6-5,8,15,0.533
James Madison (CAA),12,9-3,8,15,0.533
Illinois St. (MVFC),13,10-3,9,17,0.529
South Dakota St. (MVFC),12,8-4,9,17,0.529
South Dakota (MVFC),11,5-6,9,17,0.529
Indiana St. (MVFC),11,5-6,10,19,0.526
Savannah St. (MEAC),10,1-9,10,19,0.526
Fordham (Patriot),12,9-3,10,19,0.526
Villanova (CAA),11,6-5,13,25,0.520
VMI (SoCon),11,2-9,15,29,0.517
Eastern Ky. (OVC),11,6-5,10,20,0.500
Kennesaw St. (Big South),11,6-5,10,20,0.500
Southeastern La. (Southland),11,4-7,10,20,0.500
Central Ark. (Southland),11,7-4,9,18,0.500
Tennessee St. (OVC),10,4-6,5,10,0.500
Sam Houston (Southland),15,11-4,14,29,0.483
Bryant (NEC),11,5-6,14,29,0.483
Texas Southern (SWAC),10,3-7,13,27,0.481
Holy Cross (Patriot),11,6-5,11,23,0.478
Northwestern St. (Southland),11,4-7,10,21,0.476
Gardner-Webb (Big South),11,4-7,10,21,0.476
Montana (Big Sky),13,8-5,18,38,0.474
Presbyterian (Big South),11,2-9,9,19,0.474
Ark.-Pine Bluff (SWAC),11,2-9,9,19,0.474
Sacramento St. (Big Sky),11,2-9,8,17,0.471
Nicholls (Southland),11,3-8,8,17,0.471
Southern Utah (Big Sky),12,8-4,13,28,0.464
New Hampshire (CAA),12,7-5,12,26,0.462
Murray St. (OVC),11,3-8,12,26,0.462
Yale (Ivy League),10,6-4,12,26,0.462
South Carolina St. (MEAC),11,7-4,5,11,0.455
Lafayette (Patriot),11,1-10,11,25,0.440
Alabama St. (SWAC),11,6-5,11,25,0.440
Stetson (Pioneer),11,3-8,7,16,0.438
Western Ill. (MVFC),13,7-6,10,23,0.435
Weber St. (Big Sky),11,6-5,10,23,0.435
SFA (Southland),11,4-7,9,21,0.429
Penn (Ivy League),10,7-3,6,14,0.429
Lehigh (Patriot),11,6-5,14,33,0.424
Idaho St. (Big Sky),11,2-9,15,36,0.417
Cornell (Ivy League),10,1-9,7,17,0.412
Valparaiso (Pioneer),10,1-9,11,27,0.407
Norfolk St. (MEAC),11,4-7,10,25,0.400
Davidson (Pioneer),11,2-9,8,20,0.400
Rhode Island (CAA),11,1-10,8,20,0.400
Jacksonville (Pioneer),11,9-2,6,15,0.400
Butler (Pioneer),11,6-5,4,10,0.400
Western Caro. (SoCon),11,7-4,4,10,0.400
Austin Peay (OVC),11,0-11,11,28,0.393
Bethune-Cookman (MEAC),11,9-2,7,18,0.389
Georgetown (Patriot),11,4-7,7,18,0.389
Lamar University (Southland),11,5-6,7,18,0.389
Campbell (Pioneer),11,5-6,7,18,0.389
Towson (CAA),11,7-4,10,26,0.385
Central Conn. St. (NEC),11,4-7,6,16,0.375
Columbia (Ivy League),10,2-8,6,16,0.375
Delaware St. (MEAC),11,1-10,10,27,0.370
The Citadel (SoCon),13,9-4,7,19,0.368
Harvard (Ivy League),10,9-1,7,19,0.368
Alabama A&M (SWAC),11,3-8,12,33,0.364
Duquesne (NEC),12,8-4,4,11,0.364
North Dakota (Big Sky),11,7-4,4,11,0.364
Morehead St. (Pioneer),11,7-4,5,14,0.357
Hampton (MEAC),11,6-5,9,26,0.346
Eastern Ill. (OVC),12,7-5,8,24,0.333
Sacred Heart (NEC),11,6-5,8,24,0.333
Southern U. (SWAC),11,6-5,7,21,0.333
Houston Christian (Southland),10,1-9,6,18,0.333
Marist (Pioneer),11,5-6,5,15,0.333
Delaware (CAA),11,4-7,5,15,0.333
Bucknell (Patriot),11,4-7,6,19,0.316
Morgan St. (MEAC),10,4-6,4,14,0.286
Florida A&M (MEAC),11,1-10,5,18,0.278
Robert Morris (NEC),11,4-7,4,15,0.267
Maine (CAA),11,3-8,5,22,0.227
ETSU (FCS Independent),11,2-9,4,18,0.222
UAlbany (CAA),11,3-8,4,18,0.222
