Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
N.C. Central (MEAC),11,8-3,1,12,0.083
McNeese (Southland),11,10-1,4,21,0.190
Maine (CAA),11,3-8,3,15,0.200
Jacksonville St. (OVC),15,13-2,7,27,0.259
Marist (Pioneer),11,5-6,5,19,0.263
South Carolina St. (MEAC),11,7-4,5,19,0.263
Alabama A&M (SWAC),11,3-8,5,18,0.278
Stony Brook (CAA),10,5-5,4,14,0.286
Alcorn (SWAC),13,9-4,7,24,0.292
Harvard (Ivy League),10,9-1,6,20,0.300
Morgan St. (MEAC),10,4-6,4,13,0.308
Lafayette (Patriot),11,1-10,5,16,0.313
Yale (Ivy League),10,6-4,8,25,0.320
New Hampshire (CAA),12,7-5,8,24,0.333
Robert Morris (NEC),11,4-7,5,15,0.333
Jacksonville (Pioneer),11,9-2,5,15,0.333
Hampton (MEAC),11,6-5,7,21,0.333
Saint Francis (PA) (NEC),10,6-4,6,17,0.353
Southeastern La. (Southland),11,4-7,5,14,0.357
Coastal Carolina (Big South),12,9-3,9,25,0.360
Cornell (Ivy League),10,1-9,4,11,0.364
Charleston So. (Big South),13,10-3,10,27,0.370
Grambling (SWAC),12,9-3,14,37,0.378
William & Mary (CAA),13,9-4,7,18,0.389
Presbyterian (Big South),11,2-9,6,15,0.400
Cal Poly (Big Sky),11,4-7,8,20,0.400
Bryant (NEC),11,5-6,7,17,0.412
Villanova (CAA),11,6-5,7,17,0.412
South Dakota St. (MVFC),12,8-4,10,24,0.417
Sam Houston (Southland),15,11-4,13,31,0.419
Sacred Heart (NEC),11,6-5,8,19,0.421
Weber St. (Big Sky),11,6-5,8,19,0.421
N.C. A&T (MEAC),12,10-2,9,21,0.429
Delaware St. (MEAC),11,1-10,9,21,0.429
Dartmouth (Ivy League),10,9-1,13,30,0.433
Duquesne (NEC),12,8-4,10,23,0.435
Central Conn. St. (NEC),11,4-7,11,25,0.440
Butler (Pioneer),11,6-5,8,18,0.444
Campbell (Pioneer),11,5-6,4,9,0.444
Prairie View (SWAC),10,8-2,9,20,0.450
Columbia (Ivy League),10,2-8,5,11,0.455
Stetson (Pioneer),11,3-8,5,11,0.455
Mercer (SoCon),11,5-6,7,15,0.467
