Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
Stony Brook (CAA),10,5-5,610,2501,4.10,18,20,250.1
N.C. A&T (MEAC),12,10-2,771,3210,4.16,24,27,267.5
North Dakota St. (MVFC),15,13-2,877,4072,4.64,27,28,271.5
Dartmouth (Ivy League),10,9-1,731,2777,3.80,11,13,277.7
Campbell (Pioneer),11,5-6,701,3072,4.38,21,22,279.3
South Carolina St. (MEAC),11,7-4,764,3080,4.03,19,21,280.0
Youngstown St. (MVFC),11,5-6,657,3176,4.83,28,32,288.7
Columbia (Ivy League),10,2-8,585,2911,4.98,22,26,291.1
Charleston So. (Big South),13,10-3,783,3796,4.85,31,36,292.0
Alcorn (SWAC),13,9-4,825,3830,4.64,36,40,294.6
McNeese (Southland),11,10-1,707,3302,4.67,15,18,300.2
Jacksonville St. (OVC),15,13-2,1000,4505,4.51,32,36,300.3
Gardner-Webb (Big South),11,4-7,685,3306,4.83,23,25,300.5
Kennesaw St. (Big South),11,6-5,633,3313,5.23,29,30,301.2
Hampton (MEAC),11,6-5,768,3375,4.39,23,27,306.8
Villanova (CAA),11,6-5,701,3400,4.85,19,26,309.1
Saint Francis (PA) (NEC),10,6-4,631,3093,4.90,21,27,309.3
San Diego (Pioneer),11,9-2,685,3407,4.97,21,24,309.7
Maine (CAA),11,3-8,739,3485,4.72,30,30,316.8
Towson (CAA),11,7-4,710,3503,4.93,28,31,318.5
Robert Morris (NEC),11,4-7,810,3535,4.36,25,28,321.4
Jacksonville (Pioneer),11,9-2,809,3554,4.39,26,27,323.1
Harvard (Ivy League),10,9-1,682,3249,4.76,17,17,324.9
Delaware (CAA),11,4-7,706,3621,5.13,20,24,329.2
Drake (Pioneer),11,5-6,772,3633,4.71,33,34,330.3
UNI (MVFC),14,9-5,954,4650,4.87,34,37,332.1
Eastern Ky. (OVC),11,6-5,823,3690,4.48,32,35,335.5
Duquesne (NEC),12,8-4,789,4063,5.15,28,30,338.6
Bucknell (Patriot),11,4-7,733,3726,5.08,27,27,338.7
Morgan St. (MEAC),10,4-6,635,3445,5.43,26,31,344.5
South Dakota (MVFC),11,5-6,723,3790,5.24,32,35,344.5
Weber St. (Big Sky),11,6-5,755,3816,5.05,29,33,346.9
Bethune-Cookman (MEAC),11,9-2,754,3836,5.09,30,35,348.7
Southeastern La. (Southland),11,4-7,760,3844,5.06,30,31,349.5
Sacred Heart (NEC),11,6-5,733,3847,5.25,24,30,349.7
Butler (Pioneer),11,6-5,704,3866,5.49,33,34,351.5
Chattanooga (SoCon),13,9-4,815,4575,5.61,38,39,351.9
N.C. Central (MEAC),11,8-3,767,3907,5.09,28,29,355.2
The Citadel (SoCon),13,9-4,830,4631,5.58,35,35,356.2
William & Mary (CAA),13,9-4,871,4632,5.32,35,40,356.3
North Dakota (Big Sky),11,7-4,718,3959,5.51,37,37,359.9
Marist (Pioneer),11,5-6,833,3964,4.76,24,27,360.4
Eastern Ill. (OVC),12,7-5,907,4362,4.81,31,38,363.5
Monmouth (Big South),11,5-6,742,4005,5.40,32,33,364.1
Dayton (Pioneer),12,10-2,880,4374,4.97,29,31,364.5
Bryant (NEC),11,5-6,720,4016,5.58,28,31,365.1
Alabama St. (SWAC),11,6-5,782,4017,5.14,34,36,365.2
Tennessee St. (OVC),10,4-6,688,3679,5.35,34,36,367.9
Stetson (Pioneer),11,3-8,718,4050,5.64,44,47,368.2
South Dakota St. (MVFC),12,8-4,860,4455,5.18,24,25,371.3
Richmond (CAA),14,10-4,934,5204,5.57,41,44,371.7
Presbyterian (Big South),11,2-9,750,4096,5.46,27,28,372.4
Illinois St. (MVFC),13,10-3,959,4873,5.08,34,35,374.8
Liberty (Big South),11,6-5,710,4141,5.83,37,37,376.5
Norfolk St. (MEAC),11,4-7,776,4149,5.35,39,40,377.2
Holy Cross (Patriot),11,6-5,802,4156,5.18,30,33,377.8
Montana (Big Sky),13,8-5,995,4940,4.96,38,42,380.0
Wofford (SoCon),11,5-6,744,4186,5.63,36,38,380.5
Georgetown (Patriot),11,4-7,785,4213,5.37,35,38,383.0
Mercer (SoCon),11,5-6,738,4215,5.71,31,32,383.2
Jackson St. (SWAC),11,3-8,781,4223,5.41,46,52,383.9
Portland St. (Big Sky),12,9-3,867,4608,5.31,32,35,384.0
Elon (CAA),11,4-7,854,4231,4.95,34,35,384.6
