Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
Harvard (Ivy League),10,9-1,287,844,2.94,7,84.4
N.C. A&T (MEAC),12,10-2,401,1034,2.58,9,86.2
Dartmouth (Ivy League),10,9-1,338,865,2.56,5,86.5
McNeese (Southland),11,10-1,339,961,2.83,4,87.4
San Diego (Pioneer),11,9-2,303,983,3.24,7,89.4
North Dakota (Big Sky),11,7-4,370,1103,2.98,9,100.3
Drake (Pioneer),11,5-6,388,1130,2.91,14,102.7
Columbia (Ivy League),10,2-8,311,1034,3.32,7,103.4
Campbell (Pioneer),11,5-6,362,1138,3.14,13,103.5
North Dakota St. (MVFC),15,13-2,444,1567,3.53,13,104.5
Stony Brook (CAA),10,5-5,353,1046,2.96,10,104.6
Maine (CAA),11,3-8,395,1219,3.09,18,110.8
Sacred Heart (NEC),11,6-5,387,1221,3.16,14,111.0
Eastern Ky. (OVC),11,6-5,420,1230,2.93,16,111.8
Butler (Pioneer),11,6-5,343,1277,3.72,17,116.1
Jacksonville St. (OVC),15,13-2,540,1814,3.36,15,120.9
Delaware (CAA),11,4-7,371,1359,3.66,8,123.5
UNI (MVFC),14,9-5,532,1739,3.27,15,124.2
Jacksonville (Pioneer),11,9-2,429,1367,3.19,9,124.3
Towson (CAA),11,7-4,387,1385,3.58,10,125.9
N.C. Central (MEAC),11,8-3,410,1388,3.39,16,126.2
Yale (Ivy League),10,6-4,369,1315,3.56,12,131.5
Central Ark. (Southland),11,7-4,357,1469,4.11,15,133.5
Duquesne (NEC),12,8-4,454,1629,3.59,11,135.8
South Carolina St. (MEAC),11,7-4,450,1502,3.34,9,136.5
Villanova (CAA),11,6-5,423,1515,3.58,10,137.7
Marist (Pioneer),11,5-6,414,1524,3.68,13,138.5
Bucknell (Patriot),11,4-7,406,1530,3.77,12,139.1
Hampton (MEAC),11,6-5,429,1535,3.58,14,139.5
Stetson (Pioneer),11,3-8,402,1538,3.83,16,139.8
Alabama St. (SWAC),11,6-5,407,1566,3.85,18,142.4
Penn (Ivy League),10,7-3,362,1425,3.94,17,142.5
Dayton (Pioneer),12,10-2,456,1715,3.76,14,142.9
Weber St. (Big Sky),11,6-5,409,1592,3.89,9,144.7
Bryant (NEC),11,5-6,375,1594,4.25,15,144.9
Saint Francis (PA) (NEC),10,6-4,363,1463,4.03,15,146.3
Illinois St. (MVFC),13,10-3,520,1903,3.66,15,146.4
Liberty (Big South),11,6-5,408,1614,3.96,22,146.7
Charleston So. (Big South),13,10-3,477,1912,4.01,23,147.1
Wofford (SoCon),11,5-6,393,1634,4.16,22,148.5
Gardner-Webb (Big South),11,4-7,434,1639,3.78,10,149.0
Robert Morris (NEC),11,4-7,485,1643,3.39,10,149.4
Grambling (SWAC),12,9-3,474,1801,3.80,23,150.1
Colgate (Patriot),14,9-5,487,2102,4.32,26,150.1
Georgetown (Patriot),11,4-7,396,1656,4.18,24,150.5
Monmouth (Big South),11,5-6,423,1681,3.97,18,152.8
Kennesaw St. (Big South),11,6-5,406,1688,4.16,13,153.5
William & Mary (CAA),13,9-4,475,1998,4.21,20,153.7
Brown (Ivy League),10,5-5,369,1553,4.21,18,155.3
