Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
Prairie View (SWAC),10,8-2,64,51,1,0,4,0,449,44.9
James Madison (CAA),12,9-3,71,67,1,0,12,0,531,44.3
Montana St. (Big Sky),11,5-6,63,53,3,0,8,0,461,41.9
Grambling (SWAC),12,9-3,65,63,1,0,13,1,496,41.3
Sam Houston (Southland),15,11-4,81,80,0,1,14,3,616,41.1
Alcorn (SWAC),13,9-4,74,62,0,0,3,0,515,39.6
Northern Ariz. (Big Sky),11,7-4,57,57,0,0,11,0,432,39.3
Jacksonville St. (OVC),15,13-2,76,70,1,0,18,1,584,38.9
Fordham (Patriot),12,9-3,59,51,1,0,11,1,442,36.8
Harvard (Ivy League),10,9-1,50,45,0,0,5,2,364,36.4
Southern Ill. (MVFC),11,3-8,51,43,3,0,14,0,397,36.1
Lamar University (Southland),11,5-6,52,52,0,0,10,0,394,35.8
UT Martin (OVC),11,7-4,50,46,2,0,12,2,390,35.5
Southern Utah (Big Sky),12,8-4,57,45,1,0,12,0,425,35.4
Coastal Carolina (Big South),12,9-3,52,38,8,0,17,2,421,35.1
North Dakota St. (MVFC),15,13-2,70,66,0,0,12,1,524,34.9
Illinois St. (MVFC),13,10-3,60,53,2,0,10,2,451,34.7
Southern U. (SWAC),11,6-5,53,40,2,0,5,2,381,34.6
Eastern Wash. (Big Sky),11,6-5,53,45,3,0,4,0,381,34.6
Samford (SoCon),11,6-5,46,43,1,0,20,0,381,34.6
Portland St. (Big Sky),12,9-3,53,50,2,0,13,0,411,34.3
Cal Poly (Big Sky),11,4-7,52,45,0,0,5,0,372,33.8
Richmond (CAA),14,10-4,61,51,3,0,13,0,462,33.0
Penn (Ivy League),10,7-3,46,39,1,0,4,0,329,32.9
Lehigh (Patriot),11,6-5,47,40,2,1,9,0,355,32.3
Holy Cross (Patriot),11,6-5,45,43,0,0,12,1,351,31.9
Bethune-Cookman (MEAC),11,9-2,48,46,1,0,3,0,345,31.4
San Diego (Pioneer),11,9-2,46,39,1,0,8,0,341,31.0
William & Mary (CAA),13,9-4,48,47,0,1,21,1,402,30.9
N.C. A&T (MEAC),12,10-2,49,46,0,0,9,2,371,30.9
The Citadel (SoCon),13,9-4,51,44,1,0,16,0,400,30.8
Duquesne (NEC),12,8-4,46,39,1,0,17,0,368,30.7
Murray St. (OVC),11,3-8,43,37,0,1,13,0,336,30.5
Jacksonville (Pioneer),11,9-2,42,41,0,0,14,0,335,30.5
Eastern Ky. (OVC),11,6-5,43,42,0,0,11,0,333,30.3
McNeese (Southland),11,10-1,43,36,0,0,12,1,332,30.2
Northern Colo. (Big Sky),11,6-5,45,42,0,0,6,0,330,30.0
N.C. Central (MEAC),11,8-3,39,35,1,0,18,1,327,29.7
Chattanooga (SoCon),13,9-4,47,47,0,1,17,1,384,29.5
UNI (MVFC),14,9-5,53,47,0,0,16,0,413,29.5
Youngstown St. (MVFC),11,5-6,38,34,1,0,19,1,323,29.4
Montana (Big Sky),13,8-5,46,39,1,0,20,2,381,29.3
Princeton (Ivy League),10,5-5,37,32,1,0,12,0,292,29.2
Mercer (SoCon),11,5-6,41,36,0,0,12,0,318,28.9
Kennesaw St. (Big South),11,6-5,41,34,1,0,12,0,318,28.9
Dartmouth (Ivy League),10,9-1,40,36,0,0,4,0,288,28.8
SFA (Southland),11,4-7,42,38,1,0,8,0,316,28.7
South Dakota St. (MVFC),12,8-4,43,38,0,0,15,0,341,28.4
Charleston So. (Big South),13,10-3,50,40,1,0,8,1,368,28.3
Saint Francis (PA) (NEC),10,6-4,34,28,1,0,16,0,282,28.2
Butler (Pioneer),11,6-5,40,38,1,0,10,0,310,28.2
Central Ark. (Southland),11,7-4,37,29,4,0,17,0,310,28.2
North Dakota (Big Sky),11,7-4,39,36,0,0,13,0,309,28.1
Morehead St. (Pioneer),11,7-4,39,34,1,0,13,0,309,28.1
Northwestern St. (Southland),11,4-7,37,35,0,0,16,1,307,27.9
Brown (Ivy League),10,5-5,37,31,0,0,8,1,279,27.9
Indiana St. (MVFC),11,5-6,41,34,2,0,7,0,305,27.7
Western Caro. (SoCon),11,7-4,38,33,1,0,12,1,301,27.4
Sacred Heart (NEC),11,6-5,40,35,1,1,6,2,301,27.4
Bryant (NEC),11,5-6,39,30,1,0,9,2,297,27.0
South Carolina St. (MEAC),11,7-4,38,36,0,0,10,0,294,26.7
Hampton (MEAC),11,6-5,39,36,0,0,6,0,288,26.2
Liberty (Big South),11,6-5,35,32,1,0,13,1,285,25.9
Wofford (SoCon),11,5-6,37,30,1,0,10,0,284,25.8
Texas Southern (SWAC),10,3-7,35,29,1,0,5,0,256,25.6
Alabama St. (SWAC),11,6-5,38,29,3,0,5,1,280,25.5
Colgate (Patriot),14,9-5,49,43,2,0,5,0,356,25.4
Southeast Mo. St. (OVC),11,4-7,36,32,2,0,9,0,279,25.4
Western Ill. (MVFC),13,7-6,43,36,0,0,11,0,327,25.2
Dayton (Pioneer),12,10-2,35,33,1,0,17,0,296,24.7
Tennessee St. (OVC),10,4-6,32,26,1,0,8,1,246,24.6
Campbell (Pioneer),11,5-6,36,31,1,0,7,0,270,24.5
New Hampshire (CAA),12,7-5,37,26,3,0,11,0,287,23.9
Towson (CAA),11,7-4,33,25,2,0,11,0,260,23.6
Eastern Ill. (OVC),12,7-5,36,31,1,1,10,1,283,23.6
Yale (Ivy League),10,6-4,29,19,2,0,12,1,235,23.5
Tennessee Tech (OVC),11,4-7,32,31,1,1,9,0,254,23.1
Drake (Pioneer),11,5-6,32,28,1,0,10,1,254,23.1
VMI (SoCon),11,2-9,32,25,2,0,11,0,254,23.1
Jackson St. (SWAC),11,3-8,30,24,0,0,16,0,252,22.9
Marist (Pioneer),11,5-6,33,32,0,0,6,1,250,22.7
Weber St. (Big Sky),11,6-5,30,25,0,0,14,0,247,22.5
UC Davis (Big Sky),11,2-9,29,29,0,0,14,0,245,22.3
Idaho St. (Big Sky),11,2-9,34,23,3,0,3,0,242,22.0
Stetson (Pioneer),11,3-8,30,27,0,0,10,0,237,21.5
South Dakota (MVFC),11,5-6,27,27,0,0,14,0,231,21.0
Villanova (CAA),11,6-5,32,24,2,0,3,1,231,21.0
Alabama A&M (SWAC),11,3-8,31,24,3,0,4,0,228,20.7
Monmouth (Big South),11,5-6,29,26,0,0,8,1,226,20.5
Georgetown (Patriot),11,4-7,28,27,0,0,9,0,222,20.2
Southeastern La. (Southland),11,4-7,29,23,1,0,6,2,221,20.1
Sacramento St. (Big Sky),11,2-9,27,27,0,0,9,0,216,19.6
Ark.-Pine Bluff (SWAC),11,2-9,27,19,3,2,8,0,215,19.5
Morgan St. (MEAC),10,4-6,24,23,0,0,5,0,182,18.2
Nicholls (Southland),11,3-8,25,24,0,0,7,0,195,17.7
Furman (SoCon),11,4-7,24,20,1,0,9,0,193,17.5
Stony Brook (CAA),10,5-5,22,21,0,0,6,1,173,17.3
Central Conn. St. (NEC),11,4-7,25,21,1,0,5,1,190,17.3
Norfolk St. (MEAC),11,4-7,23,20,1,0,8,0,184,16.7
ETSU (FCS Independent),11,2-9,22,22,0,0,8,1,180,16.4
Valparaiso (Pioneer),10,1-9,20,18,0,0,7,0,159,15.9
Houston Christian (Southland),10,1-9,20,19,0,0,6,0,157,15.7
Bucknell (Patriot),11,4-7,22,16,2,0,6,1,172,15.6
Savannah St. (MEAC),10,1-9,18,11,0,0,11,1,154,15.4
Howard (MEAC),11,1-10,20,15,3,1,8,1,169,15.4
UAlbany (CAA),11,3-8,22,22,0,0,3,1,165,15.0
Delaware (CAA),11,4-7,19,16,2,0,10,0,164,14.9
Maine (CAA),11,3-8,19,14,0,0,12,0,164,14.9
Florida A&M (MEAC),11,1-10,20,20,0,0,7,0,161,14.6
Delaware St. (MEAC),11,1-10,23,12,1,0,2,0,158,14.4
Columbia (Ivy League),10,2-8,17,13,0,0,8,2,143,14.3
Wagner (NEC),11,1-10,19,16,0,0,9,0,157,14.3
Cornell (Ivy League),10,1-9,19,16,0,0,4,0,142,14.2
Robert Morris (NEC),11,4-7,20,19,0,0,5,0,154,14.0
Mississippi Val. (SWAC),11,1-10,21,14,0,0,4,0,152,13.8
Lafayette (Patriot),11,1-10,18,18,0,0,8,0,150,13.6
Elon (CAA),11,4-7,18,16,1,0,7,0,147,13.4
Rhode Island (CAA),11,1-10,17,16,0,0,9,0,145,13.2
Gardner-Webb (Big South),11,4-7,17,16,0,0,7,1,141,12.8
Davidson (Pioneer),11,2-9,17,15,0,0,7,0,138,12.5
Presbyterian (Big South),11,2-9,17,16,0,1,6,0,138,12.5
Austin Peay (OVC),11,0-11,18,10,0,0,5,0,133,12.1
Missouri St. (MVFC),11,1-10,14,13,0,0,3,1,108,9.8
Abilene Christian (Southland),11,3-8,38,32,3,0,2,0,272,24.7
UIW (Southland),11,6-5,29,24,1,0,8,1,226,20.5
