Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Cal Poly (Big Sky),11,4-7,780,4260,5.46,38,387.3
The Citadel (SoCon),13,9-4,791,4510,5.70,41,346.9
Jacksonville St. (OVC),15,13-2,725,4511,6.22,53,300.7
Wofford (SoCon),11,5-6,633,3300,5.21,33,300.0
Alcorn (SWAC),13,9-4,573,3814,6.66,44,293.4
Kennesaw St. (Big South),11,6-5,604,3223,5.34,27,293.0
James Madison (CAA),12,9-3,593,3285,5.54,36,273.8
Lamar University (Southland),11,5-6,443,2935,6.63,29,266.8
Sam Houston (Southland),15,11-4,727,3817,5.25,43,254.5
Portland St. (Big Sky),12,9-3,598,3007,5.03,33,250.6
Chattanooga (SoCon),13,9-4,600,3145,5.24,28,241.9
North Dakota (Big Sky),11,7-4,510,2625,5.15,23,238.6
North Dakota St. (MVFC),15,13-2,712,3551,4.99,33,236.7
Illinois St. (MVFC),13,10-3,538,3044,5.66,39,234.2
UNI (MVFC),14,9-5,655,3266,4.99,32,233.3
McNeese (Southland),11,10-1,510,2566,5.03,25,233.3
Delaware (CAA),11,4-7,533,2413,4.53,15,219.4
Montana St. (Big Sky),11,5-6,458,2376,5.19,31,216.0
Charleston So. (Big South),13,10-3,581,2799,4.82,30,215.3
Mercer (SoCon),11,5-6,482,2338,4.85,23,212.5
Prairie View (SWAC),10,8-2,436,2105,4.83,36,210.5
SFA (Southland),11,4-7,404,2287,5.66,18,207.9
Colgate (Patriot),14,9-5,627,2889,4.61,36,206.4
Youngstown St. (MVFC),11,5-6,471,2198,4.67,21,199.8
Southern Ill. (MVFC),11,3-8,453,2196,4.85,20,199.6
Central Ark. (Southland),11,7-4,509,2185,4.29,22,198.6
William & Mary (CAA),13,9-4,524,2538,4.84,27,195.2
N.C. A&T (MEAC),12,10-2,529,2326,4.40,24,193.8
Northwestern St. (Southland),11,4-7,481,2130,4.43,21,193.6
Bethune-Cookman (MEAC),11,9-2,480,2110,4.40,24,191.8
Richmond (CAA),14,10-4,554,2673,4.82,39,190.9
Southeastern La. (Southland),11,4-7,476,2088,4.39,16,189.8
Coastal Carolina (Big South),12,9-3,446,2276,5.10,28,189.7
Lehigh (Patriot),11,6-5,464,2070,4.46,23,188.2
Southern U. (SWAC),11,6-5,457,2054,4.49,31,186.7
