Team,Games,Win-Loss,Penalties,Penalty Yards,Penalty Yards Per Game
Mercer (SoCon),11,5-6,36,313,28.45
VMI (SoCon),11,2-9,44,370,33.64
UC Davis (Big Sky),11,2-9,45,382,34.73
William & Mary (CAA),13,9-4,56,487,37.46
Samford (SoCon),11,6-5,48,435,39.55
Idaho St. (Big Sky),11,2-9,54,439,39.91
Missouri St. (MVFC),11,1-10,45,439,39.91
Wofford (SoCon),11,5-6,48,440,40.00
Rhode Island (CAA),11,1-10,50,449,40.82
Elon (CAA),11,4-7,55,452,41.09
ETSU (FCS Independent),11,2-9,57,454,41.27
Lafayette (Patriot),11,1-10,54,455,41.36
Richmond (CAA),14,10-4,63,582,41.57
Illinois St. (MVFC),13,10-3,60,551,42.38
Colgate (Patriot),14,9-5,67,598,42.71
Tennessee Tech (OVC),11,4-7,55,477,43.36
Youngstown St. (MVFC),11,5-6,49,481,43.73
Towson (CAA),11,7-4,59,486,44.18
New Hampshire (CAA),12,7-5,66,534,44.50
Monmouth (Big South),11,5-6,57,491,44.64
Delaware (CAA),11,4-7,55,491,44.64
Austin Peay (OVC),11,0-11,63,493,44.82
North Dakota St. (MVFC),15,13-2,77,686,45.73
Lehigh (Patriot),11,6-5,57,507,46.09
Charleston So. (Big South),13,10-3,78,609,46.85
Cal Poly (Big Sky),11,4-7,57,523,47.55
Davidson (Pioneer),11,2-9,61,528,48.00
South Dakota St. (MVFC),12,8-4,70,581,48.42
Furman (SoCon),11,4-7,59,533,48.45
Penn (Ivy League),10,7-3,57,488,48.80
Portland St. (Big Sky),12,9-3,66,588,49.00
Gardner-Webb (Big South),11,4-7,57,540,49.09
Chattanooga (SoCon),13,9-4,66,640,49.23
Northwestern St. (Southland),11,4-7,60,543,49.36
The Citadel (SoCon),13,9-4,78,643,49.46
Holy Cross (Patriot),11,6-5,65,548,49.82
North Dakota (Big Sky),11,7-4,63,550,50.00
Georgetown (Patriot),11,4-7,53,553,50.27
Sacramento St. (Big Sky),11,2-9,58,553,50.27
Maine (CAA),11,3-8,63,561,51.00
Dayton (Pioneer),12,10-2,63,613,51.08
Montana (Big Sky),13,8-5,74,665,51.15
Houston Christian (Southland),10,1-9,59,513,51.30
UAlbany (CAA),11,3-8,60,566,51.45
Morehead St. (Pioneer),11,7-4,72,567,51.55
Sam Houston (Southland),15,11-4,84,775,51.67
San Diego (Pioneer),11,9-2,60,569,51.73
Northern Colo. (Big Sky),11,6-5,68,575,52.27
Alabama A&M (SWAC),11,3-8,63,577,52.45
Princeton (Ivy League),10,5-5,63,526,52.60
McNeese (Southland),11,10-1,67,581,52.82
UT Martin (OVC),11,7-4,71,581,52.82
Coastal Carolina (Big South),12,9-3,68,638,53.17
Western Ill. (MVFC),13,7-6,74,693,53.31
Bucknell (Patriot),11,4-7,71,587,53.36
Villanova (CAA),11,6-5,68,590,53.64
South Dakota (MVFC),11,5-6,68,595,54.09
Brown (Ivy League),10,5-5,64,544,54.40
Valparaiso (Pioneer),10,1-9,53,546,54.60
Presbyterian (Big South),11,2-9,66,609,55.36
Norfolk St. (MEAC),11,4-7,67,609,55.36
Duquesne (NEC),12,8-4,77,669,55.75
Central Ark. (Southland),11,7-4,67,618,56.18
N.C. Central (MEAC),11,8-3,79,620,56.36
UNI (MVFC),14,9-5,87,790,56.43
Western Caro. (SoCon),11,7-4,66,621,56.45
SFA (Southland),11,4-7,63,627,57.00
Liberty (Big South),11,6-5,70,628,57.09
Southeast Mo. St. (OVC),11,4-7,66,634,57.64
N.C. A&T (MEAC),12,10-2,76,692,57.67
Drake (Pioneer),11,5-6,66,637,57.91
Murray St. (OVC),11,3-8,63,639,58.09
Fordham (Patriot),12,9-3,85,707,58.92
Butler (Pioneer),11,6-5,66,661,60.09
Wagner (NEC),11,1-10,71,662,60.18
Howard (MEAC),11,1-10,77,663,60.27
Southern Ill. (MVFC),11,3-8,67,667,60.64
Campbell (Pioneer),11,5-6,77,667,60.64
Southern Utah (Big Sky),12,8-4,78,732,61.00
Grambling (SWAC),12,9-3,89,734,61.17
Jacksonville St. (OVC),15,13-2,101,919,61.27
Kennesaw St. (Big South),11,6-5,72,675,61.36
Alabama St. (SWAC),11,6-5,81,675,61.36
Columbia (Ivy League),10,2-8,65,619,61.90
Sacred Heart (NEC),11,6-5,79,682,62.00
Nicholls (Southland),11,3-8,74,684,62.18
Eastern Ky. (OVC),11,6-5,70,691,62.82
Eastern Wash. (Big Sky),11,6-5,81,692,62.91
Harvard (Ivy League),10,9-1,62,630,63.00
Northern Ariz. (Big Sky),11,7-4,68,702,63.82
Southern U. (SWAC),11,6-5,91,708,64.36
Weber St. (Big Sky),11,6-5,69,709,64.45
Central Conn. St. (NEC),11,4-7,75,712,64.73
Stony Brook (CAA),10,5-5,75,652,65.20
Montana St. (Big Sky),11,5-6,82,722,65.64
Cornell (Ivy League),10,1-9,75,659,65.90
Eastern Ill. (OVC),12,7-5,98,816,68.00
Indiana St. (MVFC),11,5-6,79,748,68.00
Southeastern La. (Southland),11,4-7,91,755,68.64
Delaware St. (MEAC),11,1-10,91,762,69.27
Ark.-Pine Bluff (SWAC),11,2-9,96,778,70.73
Robert Morris (NEC),11,4-7,76,786,71.45
Mississippi Val. (SWAC),11,1-10,95,794,72.18
Tennessee St. (OVC),10,4-6,86,723,72.30
Florida A&M (MEAC),11,1-10,74,805,73.18
James Madison (CAA),12,9-3,90,889,74.08
Lamar University (Southland),11,5-6,94,822,74.73
Dartmouth (Ivy League),10,9-1,91,763,76.30
Stetson (Pioneer),11,3-8,85,840,76.36
Marist (Pioneer),11,5-6,85,840,76.36
Saint Francis (PA) (NEC),10,6-4,80,769,76.90
Prairie View (SWAC),10,8-2,90,780,78.00
Jacksonville (Pioneer),11,9-2,101,859,78.09
Jackson St. (SWAC),11,3-8,95,869,79.00
Bryant (NEC),11,5-6,96,870,79.09
Alcorn (SWAC),13,9-4,118,1036,79.69
Yale (Ivy League),10,6-4,87,821,82.10
Texas Southern (SWAC),10,3-7,72,833,83.30
Hampton (MEAC),11,6-5,101,927,84.27
Morgan St. (MEAC),10,4-6,96,861,86.10
Savannah St. (MEAC),10,1-9,96,867,86.70
South Carolina St. (MEAC),11,7-4,115,1031,93.73
Bethune-Cookman (MEAC),11,9-2,107,1116,101.45
Abilene Christian (Southland),11,3-8,50,420,38.18
UIW (Southland),11,6-5,53,463,42.09
