Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
James Madison (CAA),12,9-3,176,95,0.540
Lehigh (Patriot),11,6-5,165,87,0.527
Chattanooga (SoCon),13,9-4,180,92,0.511
Kennesaw St. (Big South),11,6-5,158,79,0.500
The Citadel (SoCon),13,9-4,180,89,0.494
Harvard (Ivy League),10,9-1,141,69,0.489
William & Mary (CAA),13,9-4,176,85,0.483
Richmond (CAA),14,10-4,173,82,0.474
North Dakota St. (MVFC),15,13-2,214,101,0.472
Holy Cross (Patriot),11,6-5,162,76,0.469
Villanova (CAA),11,6-5,144,66,0.458
Portland St. (Big Sky),12,9-3,179,82,0.458
San Diego (Pioneer),11,9-2,166,76,0.458
Sam Houston (Southland),15,11-4,243,111,0.457
Western Caro. (SoCon),11,7-4,160,73,0.456
UT Martin (OVC),11,7-4,171,78,0.456
Fordham (Patriot),12,9-3,158,72,0.456
Penn (Ivy League),10,7-3,130,59,0.454
Cal Poly (Big Sky),11,4-7,183,83,0.454
Southern Ill. (MVFC),11,3-8,172,78,0.453
Princeton (Ivy League),10,5-5,150,68,0.453
Towson (CAA),11,7-4,157,71,0.452
Duquesne (NEC),12,8-4,182,82,0.451
Montana St. (Big Sky),11,5-6,163,73,0.448
Eastern Wash. (Big Sky),11,6-5,155,69,0.445
Prairie View (SWAC),10,8-2,142,63,0.444
Jacksonville St. (OVC),15,13-2,230,102,0.443
Brown (Ivy League),10,5-5,152,67,0.441
Bethune-Cookman (MEAC),11,9-2,144,63,0.438
Butler (Pioneer),11,6-5,174,76,0.437
Morehead St. (Pioneer),11,7-4,193,84,0.435
Colgate (Patriot),14,9-5,207,90,0.435
Coastal Carolina (Big South),12,9-3,157,68,0.433
Mercer (SoCon),11,5-6,157,67,0.427
Samford (SoCon),11,6-5,165,70,0.424
Alcorn (SWAC),13,9-4,165,70,0.424
Illinois St. (MVFC),13,10-3,173,73,0.422
SFA (Southland),11,4-7,170,71,0.418
Western Ill. (MVFC),13,7-6,214,89,0.416
Southern U. (SWAC),11,6-5,143,59,0.413
Eastern Ky. (OVC),11,6-5,182,75,0.412
Sacred Heart (NEC),11,6-5,175,72,0.411
Delaware (CAA),11,4-7,168,69,0.411
Northwestern St. (Southland),11,4-7,161,66,0.410
Central Ark. (Southland),11,7-4,181,74,0.409
Northern Ariz. (Big Sky),11,7-4,162,66,0.407
N.C. A&T (MEAC),12,10-2,188,76,0.404
Liberty (Big South),11,6-5,166,67,0.404
Georgetown (Patriot),11,4-7,166,67,0.404
Morgan St. (MEAC),10,4-6,152,61,0.401
VMI (SoCon),11,2-9,179,71,0.397
South Dakota (MVFC),11,5-6,174,69,0.397
North Dakota (Big Sky),11,7-4,154,61,0.396
Northern Colo. (Big Sky),11,6-5,144,57,0.396
Campbell (Pioneer),11,5-6,140,55,0.393
Dartmouth (Ivy League),10,9-1,140,55,0.393
Youngstown St. (MVFC),11,5-6,166,65,0.392
Wofford (SoCon),11,5-6,151,59,0.391
Bucknell (Patriot),11,4-7,173,67,0.387
Grambling (SWAC),12,9-3,168,65,0.387
Tennessee St. (OVC),10,4-6,150,58,0.387
Charleston So. (Big South),13,10-3,172,66,0.384
Murray St. (OVC),11,3-8,193,74,0.383
Saint Francis (PA) (NEC),10,6-4,128,49,0.383
New Hampshire (CAA),12,7-5,183,70,0.383
UC Davis (Big Sky),11,2-9,165,63,0.382
Furman (SoCon),11,4-7,163,62,0.380
Alabama St. (SWAC),11,6-5,163,62,0.380
South Carolina St. (MEAC),11,7-4,171,65,0.380
Yale (Ivy League),10,6-4,168,63,0.375
Drake (Pioneer),11,5-6,187,70,0.374
Southeast Mo. St. (OVC),11,4-7,163,61,0.374
McNeese (Southland),11,10-1,168,62,0.369
South Dakota St. (MVFC),12,8-4,174,64,0.368
Jacksonville (Pioneer),11,9-2,162,59,0.364
ETSU (FCS Independent),11,2-9,168,61,0.363
Lamar University (Southland),11,5-6,133,48,0.361
Columbia (Ivy League),10,2-8,161,57,0.354
Hampton (MEAC),11,6-5,150,53,0.353
Montana (Big Sky),13,8-5,235,83,0.353
Dayton (Pioneer),12,10-2,199,70,0.352
Sacramento St. (Big Sky),11,2-9,164,57,0.348
Marist (Pioneer),11,5-6,153,53,0.346
Cornell (Ivy League),10,1-9,133,46,0.346
Weber St. (Big Sky),11,6-5,168,58,0.345
Nicholls (Southland),11,3-8,163,56,0.344
UNI (MVFC),14,9-5,198,68,0.343
Southeastern La. (Southland),11,4-7,166,57,0.343
Stetson (Pioneer),11,3-8,169,58,0.343
UAlbany (CAA),11,3-8,156,53,0.340
Jackson St. (SWAC),11,3-8,168,57,0.339
Indiana St. (MVFC),11,5-6,157,53,0.338
Maine (CAA),11,3-8,169,57,0.337
Lafayette (Patriot),11,1-10,155,51,0.329
Bryant (NEC),11,5-6,151,49,0.325
Monmouth (Big South),11,5-6,162,52,0.321
Idaho St. (Big Sky),11,2-9,175,56,0.320
Southern Utah (Big Sky),12,8-4,188,60,0.319
Stony Brook (CAA),10,5-5,168,53,0.315
Central Conn. St. (NEC),11,4-7,149,47,0.315
Norfolk St. (MEAC),11,4-7,160,49,0.306
Eastern Ill. (OVC),12,7-5,178,54,0.303
Tennessee Tech (OVC),11,4-7,155,47,0.303
Alabama A&M (SWAC),11,3-8,173,52,0.301
Valparaiso (Pioneer),10,1-9,161,48,0.298
Wagner (NEC),11,1-10,141,41,0.291
Robert Morris (NEC),11,4-7,168,48,0.286
N.C. Central (MEAC),11,8-3,151,43,0.285
Elon (CAA),11,4-7,155,44,0.284
Mississippi Val. (SWAC),11,1-10,162,45,0.278
Houston Christian (Southland),10,1-9,142,39,0.275
Texas Southern (SWAC),10,3-7,122,33,0.270
Delaware St. (MEAC),11,1-10,150,40,0.267
Ark.-Pine Bluff (SWAC),11,2-9,162,43,0.265
Davidson (Pioneer),11,2-9,166,44,0.265
Rhode Island (CAA),11,1-10,157,40,0.255
Howard (MEAC),11,1-10,158,40,0.253
Gardner-Webb (Big South),11,4-7,167,42,0.251
Florida A&M (MEAC),11,1-10,169,42,0.249
Presbyterian (Big South),11,2-9,153,38,0.248
Austin Peay (OVC),11,0-11,168,41,0.244
Missouri St. (MVFC),11,1-10,171,41,0.240
Savannah St. (MEAC),10,1-9,150,33,0.220
Abilene Christian (Southland),11,3-8,162,67,0.414
UIW (Southland),11,6-5,167,60,0.359
