Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
North Dakota St. (MVFC),15,13-2,549:39,36:38
UC Davis (Big Sky),11,2-9,380:49,34:37
McNeese (Southland),11,10-1,372:05,33:49
Stony Brook (CAA),10,5-5,335:58,33:35
Columbia (Ivy League),10,2-8,335:13,33:31
UT Martin (OVC),11,7-4,368:10,33:28
San Diego (Pioneer),11,9-2,367:48,33:26
Wofford (SoCon),11,5-6,367:41,33:25
Prairie View (SWAC),10,8-2,332:32,33:15
Charleston So. (Big South),13,10-3,431:44,33:12
Chattanooga (SoCon),13,9-4,431:33,33:11
Kennesaw St. (Big South),11,6-5,364:19,33:07
Delaware (CAA),11,4-7,363:53,33:04
Central Ark. (Southland),11,7-4,361:02,32:49
Butler (Pioneer),11,6-5,360:35,32:46
Cal Poly (Big Sky),11,4-7,358:46,32:36
Liberty (Big South),11,6-5,358:02,32:32
Richmond (CAA),14,10-4,455:23,32:31
Northwestern St. (Southland),11,4-7,356:55,32:26
Tennessee St. (OVC),10,4-6,324:09,32:24
Towson (CAA),11,7-4,355:07,32:17
Colgate (Patriot),14,9-5,451:30,32:15
Youngstown St. (MVFC),11,5-6,353:32,32:08
Southern U. (SWAC),11,6-5,351:48,31:58
The Citadel (SoCon),13,9-4,415:21,31:57
Campbell (Pioneer),11,5-6,351:17,31:56
North Dakota (Big Sky),11,7-4,350:55,31:54
Weber St. (Big Sky),11,6-5,350:13,31:50
South Dakota St. (MVFC),12,8-4,381:56,31:49
Portland St. (Big Sky),12,9-3,381:46,31:48
Morgan St. (MEAC),10,4-6,318:06,31:48
Mercer (SoCon),11,5-6,349:34,31:46
Saint Francis (PA) (NEC),10,6-4,317:30,31:45
N.C. A&T (MEAC),12,10-2,380:39,31:43
ETSU (FCS Independent),11,2-9,348:53,31:43
Bucknell (Patriot),11,4-7,348:11,31:39
Lehigh (Patriot),11,6-5,347:07,31:33
Jacksonville St. (OVC),15,13-2,470:30,31:22
Montana St. (Big Sky),11,5-6,343:28,31:13
Sacramento St. (Big Sky),11,2-9,343:24,31:13
Bryant (NEC),11,5-6,342:57,31:10
Harvard (Ivy League),10,9-1,311:13,31:07
Furman (SoCon),11,4-7,341:58,31:05
William & Mary (CAA),13,9-4,404:04,31:04
Alcorn (SWAC),13,9-4,403:29,31:02
Southeastern La. (Southland),11,4-7,340:02,30:54
Sacred Heart (NEC),11,6-5,339:23,30:51
Bethune-Cookman (MEAC),11,9-2,339:11,30:50
Mississippi Val. (SWAC),11,1-10,339:05,30:49
Valparaiso (Pioneer),10,1-9,307:48,30:46
Duquesne (NEC),12,8-4,369:18,30:46
South Dakota (MVFC),11,5-6,337:32,30:41
Gardner-Webb (Big South),11,4-7,336:14,30:34
Stetson (Pioneer),11,3-8,334:56,30:26
Cornell (Ivy League),10,1-9,303:59,30:23
Villanova (CAA),11,6-5,331:16,30:06
UNI (MVFC),14,9-5,421:22,30:05
Ark.-Pine Bluff (SWAC),11,2-9,329:55,29:59
Austin Peay (OVC),11,0-11,329:50,29:59
Drake (Pioneer),11,5-6,329:47,29:58
Illinois St. (MVFC),13,10-3,389:25,29:57
Hampton (MEAC),11,6-5,328:56,29:54
Dayton (Pioneer),12,10-2,358:46,29:53
Southeast Mo. St. (OVC),11,4-7,328:18,29:50
Penn (Ivy League),10,7-3,297:44,29:46
Dartmouth (Ivy League),10,9-1,296:24,29:38
Fordham (Patriot),12,9-3,355:37,29:38
SFA (Southland),11,4-7,325:32,29:35
Savannah St. (MEAC),10,1-9,295:48,29:34
Wagner (NEC),11,1-10,324:06,29:27
Maine (CAA),11,3-8,324:05,29:27
Northern Ariz. (Big Sky),11,7-4,323:11,29:22
Monmouth (Big South),11,5-6,322:53,29:21
Yale (Ivy League),10,6-4,293:01,29:18
Jackson St. (SWAC),11,3-8,322:01,29:16
Presbyterian (Big South),11,2-9,320:12,29:06
Lafayette (Patriot),11,1-10,320:09,29:06
Norfolk St. (MEAC),11,4-7,319:29,29:02
Sam Houston (Southland),15,11-4,435:37,29:02
Georgetown (Patriot),11,4-7,318:50,28:59
Nicholls (Southland),11,3-8,318:49,28:59
Texas Southern (SWAC),10,3-7,289:28,28:56
Morehead St. (Pioneer),11,7-4,316:44,28:47
South Carolina St. (MEAC),11,7-4,316:27,28:46
Brown (Ivy League),10,5-5,286:27,28:38
N.C. Central (MEAC),11,8-3,314:27,28:35
Indiana St. (MVFC),11,5-6,313:52,28:32
Alabama A&M (SWAC),11,3-8,313:31,28:30
Southern Ill. (MVFC),11,3-8,312:32,28:24
Eastern Ill. (OVC),12,7-5,340:47,28:23
Houston Christian (Southland),10,1-9,282:50,28:17
Alabama St. (SWAC),11,6-5,310:36,28:14
New Hampshire (CAA),12,7-5,338:39,28:13
UAlbany (CAA),11,3-8,310:25,28:13
VMI (SoCon),11,2-9,309:52,28:10
Eastern Wash. (Big Sky),11,6-5,308:19,28:01
Eastern Ky. (OVC),11,6-5,307:40,27:58
Western Ill. (MVFC),13,7-6,362:25,27:52
Murray St. (OVC),11,3-8,306:10,27:50
Davidson (Pioneer),11,2-9,306:02,27:49
Holy Cross (Patriot),11,6-5,305:49,27:48
Howard (MEAC),11,1-10,305:37,27:47
Jacksonville (Pioneer),11,9-2,303:16,27:34
Delaware St. (MEAC),11,1-10,302:02,27:27
Robert Morris (NEC),11,4-7,301:49,27:26
Lamar University (Southland),11,5-6,301:04,27:22
Coastal Carolina (Big South),12,9-3,327:10,27:15
Tennessee Tech (OVC),11,4-7,299:06,27:11
Princeton (Ivy League),10,5-5,271:37,27:09
Marist (Pioneer),11,5-6,298:41,27:09
Central Conn. St. (NEC),11,4-7,298:02,27:05
Rhode Island (CAA),11,1-10,297:28,27:02
Idaho St. (Big Sky),11,2-9,296:55,26:59
Missouri St. (MVFC),11,1-10,294:54,26:48
Florida A&M (MEAC),11,1-10,289:54,26:21
James Madison (CAA),12,9-3,315:23,26:16
Elon (CAA),11,4-7,287:52,26:10
Southern Utah (Big Sky),12,8-4,313:34,26:07
Western Caro. (SoCon),11,7-4,286:56,26:05
Montana (Big Sky),13,8-5,338:50,26:03
Grambling (SWAC),12,9-3,307:20,25:36
Samford (SoCon),11,6-5,280:41,25:31
Northern Colo. (Big Sky),11,6-5,271:16,24:39
Abilene Christian (Southland),11,3-8,335:38,30:30
UIW (Southland),11,6-5,335:09,30:28
