Team,Games,Win-Loss,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return
Coastal Carolina (Big South),12,9-3,3,0,0,0.00
Harvard (Ivy League),10,9-1,11,10,0,0.91
Youngstown St. (MVFC),11,5-6,12,15,0,1.25
Yale (Ivy League),10,6-4,13,24,0,1.85
Presbyterian (Big South),11,2-9,16,35,0,2.19
The Citadel (SoCon),13,9-4,10,31,0,3.10
Wofford (SoCon),11,5-6,18,60,0,3.33
Dartmouth (Ivy League),10,9-1,11,39,0,3.55
Brown (Ivy League),10,5-5,14,50,0,3.57
Fordham (Patriot),12,9-3,8,29,0,3.63
Jacksonville (Pioneer),11,9-2,22,80,0,3.64
Butler (Pioneer),11,6-5,23,86,0,3.74
Stony Brook (CAA),10,5-5,6,23,0,3.83
Grambling (SWAC),12,9-3,11,43,0,3.91
Norfolk St. (MEAC),11,4-7,20,81,0,4.05
Central Ark. (Southland),11,7-4,19,77,0,4.05
Cal Poly (Big Sky),11,4-7,12,55,0,4.58
Montana (Big Sky),13,8-5,22,105,0,4.77
Sacramento St. (Big Sky),11,2-9,20,100,0,5.00
McNeese (Southland),11,10-1,16,80,0,5.00
New Hampshire (CAA),12,7-5,12,62,0,5.17
Illinois St. (MVFC),13,10-3,12,62,0,5.17
Portland St. (Big Sky),12,9-3,18,95,0,5.28
Bryant (NEC),11,5-6,11,59,0,5.36
Davidson (Pioneer),11,2-9,29,156,0,5.38
Nicholls (Southland),11,3-8,17,95,0,5.59
Duquesne (NEC),12,8-4,22,123,0,5.59
Sacred Heart (NEC),11,6-5,15,91,0,6.07
Morehead St. (Pioneer),11,7-4,21,129,0,6.14
Lehigh (Patriot),11,6-5,8,51,0,6.38
San Diego (Pioneer),11,9-2,11,72,0,6.55
Colgate (Patriot),14,9-5,25,165,0,6.60
Maine (CAA),11,3-8,20,132,0,6.60
Chattanooga (SoCon),13,9-4,10,66,0,6.60
VMI (SoCon),11,2-9,28,185,1,6.61
Campbell (Pioneer),11,5-6,10,68,0,6.80
South Dakota (MVFC),11,5-6,25,175,0,7.00
Jacksonville St. (OVC),15,13-2,20,143,0,7.15
Holy Cross (Patriot),11,6-5,13,93,0,7.15
Mississippi Val. (SWAC),11,1-10,24,172,1,7.17
Southern U. (SWAC),11,6-5,12,86,1,7.17
South Dakota St. (MVFC),12,8-4,17,124,0,7.29
Murray St. (OVC),11,3-8,9,66,0,7.33
Southeastern La. (Southland),11,4-7,14,104,0,7.43
Bucknell (Patriot),11,4-7,33,248,0,7.52
Delaware (CAA),11,4-7,20,152,0,7.60
James Madison (CAA),12,9-3,15,114,0,7.60
Sam Houston (Southland),15,11-4,18,137,0,7.61
Villanova (CAA),11,6-5,9,69,0,7.67
