Team,Games,Win-Loss,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs
Youngstown St. (MVFC),11,5-6,83,47,15,145
Stony Brook (CAA),10,5-5,57,68,20,145
Columbia (Ivy League),10,2-8,55,75,18,148
Dartmouth (Ivy League),10,9-1,53,91,14,158
McNeese (Southland),11,10-1,54,94,15,163
Gardner-Webb (Big South),11,4-7,88,62,15,165
Harvard (Ivy League),10,9-1,47,104,17,168
San Diego (Pioneer),11,9-2,54,99,18,171
South Carolina St. (MEAC),11,7-4,78,70,23,171
Kennesaw St. (Big South),11,6-5,96,66,12,174
Saint Francis (PA) (NEC),10,6-4,84,74,17,175
N.C. A&T (MEAC),12,10-2,64,99,16,179
Campbell (Pioneer),11,5-6,66,89,26,181
Maine (CAA),11,3-8,65,100,17,182
Morgan St. (MEAC),10,4-6,105,58,21,184
Butler (Pioneer),11,6-5,56,109,22,187
Bucknell (Patriot),11,4-7,85,97,8,190
Prairie View (SWAC),10,8-2,80,93,17,190
Towson (CAA),11,7-4,79,102,10,191
Charleston So. (Big South),13,10-3,99,80,12,191
Tennessee St. (OVC),10,4-6,88,86,17,191
N.C. Central (MEAC),11,8-3,77,99,16,192
Villanova (CAA),11,6-5,85,91,16,192
North Dakota St. (MVFC),15,13-2,75,98,20,193
Sacred Heart (NEC),11,6-5,63,106,24,193
South Dakota (MVFC),11,5-6,101,80,12,193
Hampton (MEAC),11,6-5,95,83,18,196
Jacksonville (Pioneer),11,9-2,74,102,20,196
Delaware (CAA),11,4-7,69,107,21,197
Drake (Pioneer),11,5-6,66,117,15,198
Texas Southern (SWAC),10,3-7,96,82,20,198
North Dakota (Big Sky),11,7-4,71,116,13,200
Presbyterian (Big South),11,2-9,115,68,18,201
Southeastern La. (Southland),11,4-7,84,91,26,201
Robert Morris (NEC),11,4-7,89,85,30,204
Central Ark. (Southland),11,7-4,79,104,21,204
Mercer (SoCon),11,5-6,95,102,7,204
Liberty (Big South),11,6-5,82,103,19,204
UT Martin (OVC),11,7-4,92,99,14,205
Bryant (NEC),11,5-6,71,109,25,205
Duquesne (NEC),12,8-4,88,102,16,206
Alcorn (SWAC),13,9-4,106,70,30,206
Valparaiso (Pioneer),10,1-9,88,106,12,206
Alabama St. (SWAC),11,6-5,83,111,13,207
Weber St. (Big Sky),11,6-5,91,98,19,208
Eastern Ky. (OVC),11,6-5,69,118,23,210
Bethune-Cookman (MEAC),11,9-2,96,90,26,212
Southern U. (SWAC),11,6-5,93,104,15,212
Stetson (Pioneer),11,3-8,82,104,28,214
Monmouth (Big South),11,5-6,93,113,11,217
Marist (Pioneer),11,5-6,82,115,20,217
Princeton (Ivy League),10,5-5,81,123,14,218
ETSU (FCS Independent),11,2-9,102,105,12,219
Furman (SoCon),11,4-7,117,90,12,219
Cornell (Ivy League),10,1-9,106,104,10,220
