Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
Youngstown St. (MVFC),11,5-6,83,202,1284,8,6.36,15.47,116.7
Alcorn (SWAC),13,9-4,138,301,1575,8,5.23,11.41,121.2
South Carolina St. (MEAC),11,7-4,145,314,1578,10,5.03,10.88,143.5
Charleston So. (Big South),13,10-3,178,306,1884,8,6.16,10.58,144.9
Stony Brook (CAA),10,5-5,142,257,1455,8,5.66,10.25,145.5
Kennesaw St. (Big South),11,6-5,128,227,1625,16,7.16,12.70,147.7
Gardner-Webb (Big South),11,4-7,145,251,1667,13,6.64,11.50,151.5
Saint Francis (PA) (NEC),10,6-4,133,268,1630,6,6.08,12.26,163.0
Morgan St. (MEAC),10,4-6,128,254,1640,11,6.46,12.81,164.0
Presbyterian (Big South),11,2-9,137,250,1817,12,7.27,13.26,165.2
North Dakota St. (MVFC),15,13-2,211,433,2505,14,5.79,11.87,167.0
Hampton (MEAC),11,6-5,177,339,1840,9,5.43,10.40,167.3
Villanova (CAA),11,6-5,154,278,1885,9,6.78,12.24,171.4
Robert Morris (NEC),11,4-7,163,325,1892,15,5.82,11.61,172.0
Campbell (Pioneer),11,5-6,168,339,1934,8,5.71,11.51,175.8
Chattanooga (SoCon),13,9-4,206,333,2311,18,6.94,11.22,177.8
Nicholls (Southland),11,3-8,169,288,1960,14,6.81,11.60,178.2
Jacksonville St. (OVC),15,13-2,231,460,2691,17,5.85,11.65,179.4
N.C. A&T (MEAC),12,10-2,194,370,2176,15,5.88,11.22,181.3
Furman (SoCon),11,4-7,186,303,2005,11,6.62,10.78,182.3
South Dakota (MVFC),11,5-6,153,297,2032,13,6.84,13.28,184.7
Bethune-Cookman (MEAC),11,9-2,192,353,2035,16,5.76,10.60,185.0
Delaware St. (MEAC),11,1-10,167,291,2046,21,7.03,12.25,186.0
Elon (CAA),11,4-7,202,342,2048,12,5.99,10.14,186.2
Norfolk St. (MEAC),11,4-7,181,310,2060,18,6.65,11.38,187.3
Columbia (Ivy League),10,2-8,155,274,1877,15,6.85,12.11,187.7
Idaho St. (Big Sky),11,2-9,181,300,2065,24,6.88,11.41,187.7
Eastern Ill. (OVC),12,7-5,185,369,2265,13,6.14,12.24,188.8
Montana (Big Sky),13,8-5,184,368,2474,21,6.72,13.45,190.3
Southern Utah (Big Sky),12,8-4,200,382,2284,12,5.98,11.42,190.3
Dartmouth (Ivy League),10,9-1,220,393,1912,6,4.87,8.69,191.2
New Hampshire (CAA),12,7-5,198,346,2296,9,6.64,11.60,191.3
Portland St. (Big Sky),12,9-3,200,382,2304,11,6.03,11.52,192.0
Southeastern La. (Southland),11,4-7,183,341,2114,10,6.20,11.55,192.2
Texas Southern (SWAC),10,3-7,157,267,1924,17,7.21,12.25,192.4
Towson (CAA),11,7-4,209,323,2118,18,6.56,10.13,192.5
South Dakota St. (MVFC),12,8-4,206,396,2373,12,5.99,11.52,197.8
Samford (SoCon),11,6-5,185,339,2176,11,6.42,11.76,197.8
Jacksonville (Pioneer),11,9-2,198,380,2187,17,5.76,11.05,198.8
The Citadel (SoCon),13,9-4,214,368,2586,10,7.03,12.08,198.9
Bucknell (Patriot),11,4-7,188,327,2196,15,6.72,11.68,199.6
Jackson St. (SWAC),11,3-8,153,301,2203,20,7.32,14.40,200.3
Mississippi Val. (SWAC),11,1-10,149,263,2208,21,8.40,14.82,200.7
Weber St. (Big Sky),11,6-5,194,346,2224,20,6.43,11.46,202.2
William & Mary (CAA),13,9-4,235,396,2634,15,6.65,11.21,202.6
Duquesne (NEC),12,8-4,172,335,2434,17,7.27,14.15,202.8
Western Ill. (MVFC),13,7-6,233,405,2646,15,6.53,11.36,203.5
Howard (MEAC),11,1-10,176,304,2261,19,7.44,12.85,205.5
Delaware (CAA),11,4-7,188,335,2262,12,6.75,12.03,205.6
James Madison (CAA),12,9-3,204,377,2471,12,6.55,12.11,205.9
Maine (CAA),11,3-8,190,344,2266,12,6.59,11.93,206.0
Indiana St. (MVFC),11,5-6,205,342,2286,14,6.68,11.15,207.8
UNI (MVFC),14,9-5,264,422,2911,19,6.90,11.03,207.9
Tennessee St. (OVC),10,4-6,185,316,2088,17,6.61,11.29,208.8
Rhode Island (CAA),11,1-10,187,303,2311,20,7.63,12.36,210.1
Northwestern St. (Southland),11,4-7,156,267,2312,19,8.66,14.82,210.2
Monmouth (Big South),11,5-6,186,319,2324,14,7.29,12.49,211.3
UC Davis (Big Sky),11,2-9,184,321,2329,21,7.26,12.66,211.7
Mercer (SoCon),11,5-6,186,310,2330,10,7.52,12.53,211.8
McNeese (Southland),11,10-1,191,368,2341,11,6.36,12.26,212.8
Western Caro. (SoCon),11,7-4,196,311,2344,14,7.54,11.96,213.1
UT Martin (OVC),11,7-4,172,335,2363,25,7.05,13.74,214.8
Lamar University (Southland),11,5-6,178,324,2365,13,7.30,13.29,215.0
Sam Houston (Southland),15,11-4,249,480,3226,29,6.72,12.96,215.1
Richmond (CAA),14,10-4,246,449,3012,24,6.71,12.24,215.1
Coastal Carolina (Big South),12,9-3,193,345,2620,12,7.59,13.58,218.3
Eastern Wash. (Big Sky),11,6-5,209,338,2402,22,7.11,11.49,218.4
UAlbany (CAA),11,3-8,221,343,2404,20,7.01,10.88,218.5
Bryant (NEC),11,5-6,203,345,2422,13,7.02,11.93,220.2
San Diego (Pioneer),11,9-2,197,382,2424,14,6.35,12.30,220.4
Dayton (Pioneer),12,10-2,220,424,2659,15,6.27,12.09,221.6
Marist (Pioneer),11,5-6,217,419,2440,11,5.82,11.24,221.8
Davidson (Pioneer),11,2-9,190,316,2444,22,7.73,12.86,222.2
Wagner (NEC),11,1-10,179,294,2444,23,8.31,13.65,222.2
Valparaiso (Pioneer),10,1-9,195,331,2224,22,6.72,11.41,222.4
Holy Cross (Patriot),11,6-5,219,363,2447,14,6.74,11.17,222.5
Alabama St. (SWAC),11,6-5,215,375,2451,16,6.54,11.40,222.8
Eastern Ky. (OVC),11,6-5,241,403,2460,16,6.10,10.21,223.6
Montana St. (Big Sky),11,5-6,175,308,2476,26,8.04,14.15,225.1
Southern U. (SWAC),11,6-5,187,316,2476,27,7.84,13.24,225.1
Houston Christian (Southland),10,1-9,182,269,2268,23,8.43,12.46,226.8
Southern Ill. (MVFC),11,3-8,183,323,2503,18,7.75,13.68,227.5
Drake (Pioneer),11,5-6,223,384,2503,19,6.52,11.22,227.5
Stetson (Pioneer),11,3-8,185,316,2512,28,7.95,13.58,228.4
Illinois St. (MVFC),13,10-3,240,439,2970,19,6.77,12.38,228.5
N.C. Central (MEAC),11,8-3,205,357,2519,12,7.06,12.29,229.0
ETSU (FCS Independent),11,2-9,207,310,2521,22,8.13,12.18,229.2
Morehead St. (Pioneer),11,7-4,220,394,2523,17,6.40,11.47,229.4
Cornell (Ivy League),10,1-9,178,312,2297,20,7.36,12.90,229.7
Liberty (Big South),11,6-5,179,302,2527,15,8.37,14.12,229.7
Wofford (SoCon),11,5-6,231,351,2552,14,7.27,11.05,232.0
Georgetown (Patriot),11,4-7,239,389,2557,11,6.57,10.70,232.5
Savannah St. (MEAC),10,1-9,167,302,2346,26,7.77,14.05,234.6
Butler (Pioneer),11,6-5,206,361,2589,16,7.17,12.57,235.4
Austin Peay (OVC),11,0-11,232,369,2615,17,7.09,11.27,237.7
VMI (SoCon),11,2-9,224,364,2620,17,7.20,11.70,238.2
Sacred Heart (NEC),11,6-5,181,346,2626,10,7.59,14.51,238.7
Florida A&M (MEAC),11,1-10,200,336,2628,21,7.82,13.14,238.9
Central Conn. St. (NEC),11,4-7,217,377,2635,13,6.99,12.14,239.5
Harvard (Ivy League),10,9-1,218,395,2405,10,6.09,11.03,240.5
Southeast Mo. St. (OVC),11,4-7,206,339,2663,19,7.86,12.93,242.1
Alabama A&M (SWAC),11,3-8,210,358,2705,24,7.56,12.88,245.9
Lafayette (Patriot),11,1-10,197,310,2712,28,8.75,13.77,246.5
Brown (Ivy League),10,5-5,213,367,2472,20,6.74,11.61,247.2
Missouri St. (MVFC),11,1-10,209,306,2725,32,8.91,13.04,247.7
SFA (Southland),11,4-7,189,314,2726,20,8.68,14.42,247.8
Colgate (Patriot),14,9-5,326,500,3473,22,6.95,10.65,248.1
Lehigh (Patriot),11,6-5,217,354,2749,24,7.77,12.67,249.9
Ark.-Pine Bluff (SWAC),11,2-9,210,334,2756,29,8.25,13.12,250.5
Tennessee Tech (OVC),11,4-7,247,392,2772,22,7.07,11.22,252.0
Central Ark. (Southland),11,7-4,213,388,2800,19,7.22,13.15,254.5
Fordham (Patriot),12,9-3,255,434,3080,22,7.10,12.08,256.7
Yale (Ivy League),10,6-4,216,386,2569,20,6.66,11.89,256.9
North Dakota (Big Sky),11,7-4,217,348,2856,28,8.21,13.16,259.6
Prairie View (SWAC),10,8-2,161,320,2640,24,8.25,16.40,264.0
