Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Dartmouth (Ivy League),10,9-1,13,8,0,0,5,0,101,10.1
Harvard (Ivy League),10,9-1,17,13,0,0,5,0,130,13.0
McNeese (Southland),11,10-1,18,16,0,0,7,0,145,13.2
South Carolina St. (MEAC),11,7-4,21,17,1,0,6,2,167,15.2
North Dakota St. (MVFC),15,13-2,28,24,1,0,12,0,230,15.3
Stony Brook (CAA),10,5-5,20,17,0,0,6,1,157,15.7
N.C. A&T (MEAC),12,10-2,27,24,1,0,6,0,206,17.2
South Dakota St. (MVFC),12,8-4,25,23,0,0,11,1,208,17.3
Campbell (Pioneer),11,5-6,22,18,2,1,13,0,195,17.7
San Diego (Pioneer),11,9-2,24,21,0,0,11,0,198,18.0
Villanova (CAA),11,6-5,26,20,1,0,8,0,202,18.4
Bucknell (Patriot),11,4-7,27,23,0,0,7,0,206,18.7
Dayton (Pioneer),12,10-2,31,25,0,0,6,0,229,19.1
Jacksonville (Pioneer),11,9-2,27,25,0,0,7,1,210,19.1
Duquesne (NEC),12,8-4,30,27,0,0,8,0,231,19.3
UNI (MVFC),14,9-5,37,35,0,0,5,1,274,19.6
Columbia (Ivy League),10,2-8,26,24,0,0,6,0,198,19.8
Jacksonville St. (OVC),15,13-2,36,35,0,0,16,0,299,19.9
Coastal Carolina (Big South),12,9-3,32,26,1,0,7,0,241,20.1
Presbyterian (Big South),11,2-9,28,23,0,0,10,1,223,20.3
Marist (Pioneer),11,5-6,27,22,2,0,12,0,224,20.4
Delaware (CAA),11,4-7,24,22,1,0,19,0,225,20.5
Gardner-Webb (Big South),11,4-7,25,21,2,0,16,2,227,20.6
Southern Utah (Big Sky),12,8-4,30,28,0,2,12,1,250,20.8
Saint Francis (PA) (NEC),10,6-4,27,25,0,0,6,2,209,20.9
N.C. Central (MEAC),11,8-3,29,24,0,0,11,1,233,21.2
Hampton (MEAC),11,6-5,27,23,3,0,14,0,233,21.2
Kennesaw St. (Big South),11,6-5,30,27,1,0,8,0,233,21.2
Illinois St. (MVFC),13,10-3,35,24,2,0,12,1,276,21.2
Towson (CAA),11,7-4,31,30,0,0,6,1,236,21.5
Maine (CAA),11,3-8,30,24,0,0,11,0,237,21.5
Mercer (SoCon),11,5-6,32,29,1,0,5,0,238,21.6
Robert Morris (NEC),11,4-7,28,25,0,0,15,0,238,21.6
Charleston So. (Big South),13,10-3,36,32,2,0,10,0,282,21.7
The Citadel (SoCon),13,9-4,35,27,2,0,14,0,283,21.8
Southeastern La. (Southland),11,4-7,31,30,0,0,8,0,240,21.8
New Hampshire (CAA),12,7-5,36,25,4,0,5,0,264,22.0
Portland St. (Big Sky),12,9-3,35,31,0,0,9,0,268,22.3
Chattanooga (SoCon),13,9-4,39,31,1,0,8,0,291,22.4
Holy Cross (Patriot),11,6-5,33,26,1,0,7,1,249,22.6
William & Mary (CAA),13,9-4,40,31,3,0,6,0,295,22.7
Alcorn (SWAC),13,9-4,40,35,1,0,6,0,295,22.7
Sacred Heart (NEC),11,6-5,30,26,0,0,14,1,250,22.7
Bryant (NEC),11,5-6,31,27,2,0,11,0,250,22.7
Youngstown St. (MVFC),11,5-6,32,30,1,0,10,0,254,23.1
Princeton (Ivy League),10,5-5,30,26,1,0,9,1,237,23.7
Drake (Pioneer),11,5-6,34,32,0,0,9,0,263,23.9
Butler (Pioneer),11,6-5,34,34,0,0,9,0,265,24.1
Yale (Ivy League),10,6-4,33,30,0,1,4,0,242,24.2
Weber St. (Big Sky),11,6-5,33,33,0,0,13,0,270,24.5
Richmond (CAA),14,10-4,44,38,0,0,14,0,344,24.6
Montana (Big Sky),13,8-5,42,34,2,0,10,0,320,24.6
Eastern Ky. (OVC),11,6-5,35,32,1,0,9,0,271,24.6
Elon (CAA),11,4-7,35,30,0,0,11,0,273,24.8
Alabama St. (SWAC),11,6-5,36,30,0,0,9,0,273,24.8
Bethune-Cookman (MEAC),11,9-2,35,31,1,0,10,1,275,25.0
Central Ark. (Southland),11,7-4,35,32,1,0,11,0,277,25.2
Monmouth (Big South),11,5-6,33,25,2,0,16,1,277,25.2
Morehead St. (Pioneer),11,7-4,37,31,2,0,7,0,278,25.3
Morgan St. (MEAC),10,4-6,31,30,0,0,12,1,254,25.4
South Dakota (MVFC),11,5-6,35,31,0,0,13,0,280,25.5
North Dakota (Big Sky),11,7-4,37,30,1,0,9,1,283,25.7
Central Conn. St. (NEC),11,4-7,34,30,2,0,15,0,283,25.7
Eastern Ill. (OVC),12,7-5,38,32,0,0,19,1,319,26.6
Samford (SoCon),11,6-5,37,34,0,0,12,1,294,26.7
Penn (Ivy League),10,7-3,36,31,0,0,7,0,268,26.8
Georgetown (Patriot),11,4-7,38,35,0,0,11,0,296,26.9
Liberty (Big South),11,6-5,37,31,1,0,13,1,296,26.9
Southeast Mo. St. (OVC),11,4-7,39,33,1,0,10,0,299,27.2
Western Caro. (SoCon),11,7-4,39,37,0,0,11,0,304,27.6
Wofford (SoCon),11,5-6,38,36,1,0,13,0,305,27.7
Sam Houston (Southland),15,11-4,57,52,0,0,9,0,421,28.1
Tennessee St. (OVC),10,4-6,36,30,2,2,9,0,281,28.1
Norfolk St. (MEAC),11,4-7,40,40,0,0,10,1,312,28.4
UAlbany (CAA),11,3-8,41,36,0,0,11,0,315,28.6
Colgate (Patriot),14,9-5,50,45,1,0,18,0,401,28.6
James Madison (CAA),12,9-3,46,39,3,1,7,0,344,28.7
Furman (SoCon),11,4-7,40,38,1,0,12,1,318,28.9
Western Ill. (MVFC),13,7-6,48,41,2,1,17,0,386,29.7
Cornell (Ivy League),10,1-9,39,34,0,0,9,1,297,29.7
Rhode Island (CAA),11,1-10,44,40,0,0,7,2,329,29.9
Lamar University (Southland),11,5-6,43,37,2,0,11,1,334,30.4
Fordham (Patriot),12,9-3,48,39,4,0,10,1,367,30.6
Indiana St. (MVFC),11,5-6,46,41,3,0,7,1,346,31.5
Stetson (Pioneer),11,3-8,47,40,0,0,8,0,346,31.5
Nicholls (Southland),11,3-8,46,45,0,0,10,3,357,32.5
Brown (Ivy League),10,5-5,43,38,1,0,9,2,329,32.9
SFA (Southland),11,4-7,47,42,1,0,12,0,362,32.9
Prairie View (SWAC),10,8-2,47,35,3,1,2,0,331,33.1
Grambling (SWAC),12,9-3,56,45,2,0,5,0,400,33.3
Sacramento St. (Big Sky),11,2-9,49,44,0,0,10,0,368,33.5
Southern U. (SWAC),11,6-5,50,38,4,1,7,0,369,33.5
Florida A&M (MEAC),11,1-10,48,43,0,0,12,1,369,33.5
UT Martin (OVC),11,7-4,51,48,1,0,4,1,370,33.6
Texas Southern (SWAC),10,3-7,44,42,0,0,10,1,338,33.8
UC Davis (Big Sky),11,2-9,50,46,0,0,10,0,376,34.2
Montana St. (Big Sky),11,5-6,51,45,1,0,8,0,377,34.3
Northern Colo. (Big Sky),11,6-5,48,44,2,0,14,0,378,34.4
Jackson St. (SWAC),11,3-8,52,47,2,0,5,0,378,34.4
Delaware St. (MEAC),11,1-10,50,41,3,1,9,2,380,34.5
Southern Ill. (MVFC),11,3-8,49,45,0,0,14,0,381,34.6
Northern Ariz. (Big Sky),11,7-4,52,45,3,0,6,1,383,34.8
VMI (SoCon),11,2-9,49,44,1,0,15,0,385,35.0
Lafayette (Patriot),11,1-10,51,50,0,0,10,0,386,35.1
Alabama A&M (SWAC),11,3-8,52,40,1,0,11,0,387,35.2
Lehigh (Patriot),11,6-5,52,50,0,0,8,1,388,35.3
Davidson (Pioneer),11,2-9,52,49,2,0,8,0,389,35.4
Cal Poly (Big Sky),11,4-7,52,45,2,0,9,1,390,35.5
Tennessee Tech (OVC),11,4-7,51,43,1,0,14,1,395,35.9
Wagner (NEC),11,1-10,53,50,0,0,9,1,397,36.1
Howard (MEAC),11,1-10,57,49,1,0,5,0,408,37.1
Murray St. (OVC),11,3-8,55,44,1,0,11,0,409,37.2
ETSU (FCS Independent),11,2-9,58,52,1,0,4,1,416,37.8
Ark.-Pine Bluff (SWAC),11,2-9,59,51,0,0,5,1,422,38.4
Austin Peay (OVC),11,0-11,55,51,0,0,16,0,429,39.0
Eastern Wash. (Big Sky),11,6-5,58,51,0,0,12,0,435,39.5
Northwestern St. (Southland),11,4-7,60,51,3,0,6,0,435,39.5
Houston Christian (Southland),10,1-9,54,50,0,0,6,2,396,39.6
Idaho St. (Big Sky),11,2-9,59,57,0,0,13,0,450,40.9
Valparaiso (Pioneer),10,1-9,56,55,1,0,13,0,432,43.2
Savannah St. (MEAC),10,1-9,58,56,0,0,10,1,436,43.6
Mississippi Val. (SWAC),11,1-10,65,58,1,0,11,0,483,43.9
Missouri St. (MVFC),11,1-10,71,67,0,0,14,0,535,48.6
UIW (Southland),11,6-5,36,36,0,0,12,3,294,26.7
Abilene Christian (Southland),11,3-8,45,35,1,0,17,0,358,32.5
