Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Dartmouth (Ivy League),10,9-1,27,5,4,5,14,0.519
South Carolina St. (MEAC),11,7-4,26,5,5,4,14,0.538
McNeese (Southland),11,10-1,16,3,3,3,9,0.563
Villanova (CAA),11,6-5,31,7,5,6,18,0.581
Harvard (Ivy League),10,9-1,22,6,4,4,14,0.636
Bucknell (Patriot),11,4-7,33,8,10,3,21,0.636
Stony Brook (CAA),10,5-5,25,7,4,5,16,0.640
N.C. Central (MEAC),11,8-3,40,12,6,8,26,0.650
UNI (MVFC),14,9-5,45,12,14,4,30,0.667
Grambling (SWAC),12,9-3,64,17,22,4,43,0.672
Eastern Ill. (OVC),12,7-5,52,15,5,15,35,0.673
Hampton (MEAC),11,6-5,43,12,7,10,29,0.674
Duquesne (NEC),12,8-4,31,10,6,5,21,0.677
Princeton (Ivy League),10,5-5,44,13,8,9,30,0.682
Marist (Pioneer),11,5-6,44,13,6,11,30,0.682
Jacksonville (Pioneer),11,9-2,38,8,12,6,26,0.684
N.C. A&T (MEAC),12,10-2,35,8,11,5,24,0.686
South Dakota St. (MVFC),12,8-4,32,9,8,5,22,0.688
Gardner-Webb (Big South),11,4-7,29,7,2,11,20,0.690
Dayton (Pioneer),12,10-2,26,9,4,5,18,0.692
Nicholls (Southland),11,3-8,56,26,6,7,39,0.696
Saint Francis (PA) (NEC),10,6-4,33,14,3,6,23,0.697
Davidson (Pioneer),11,2-9,50,22,7,6,35,0.700
Montana (Big Sky),13,8-5,37,10,10,6,26,0.703
Presbyterian (Big South),11,2-9,37,12,6,8,26,0.703
Robert Morris (NEC),11,4-7,44,10,9,12,31,0.705
Southern Ill. (MVFC),11,3-8,48,16,9,9,34,0.708
Butler (Pioneer),11,6-5,31,11,4,7,22,0.710
Drake (Pioneer),11,5-6,38,11,10,6,27,0.711
Alcorn (SWAC),13,9-4,35,18,4,3,25,0.714
Bethune-Cookman (MEAC),11,9-2,42,11,13,6,30,0.714
Central Conn. St. (NEC),11,4-7,49,14,9,12,35,0.714
Penn (Ivy League),10,7-3,39,16,10,2,28,0.718
Sacred Heart (NEC),11,6-5,36,11,4,11,26,0.722
Weber St. (Big Sky),11,6-5,29,6,7,8,21,0.724
Southern Utah (Big Sky),12,8-4,40,14,6,9,29,0.725
Columbia (Ivy League),10,2-8,22,6,7,3,16,0.727
Mercer (SoCon),11,5-6,33,17,5,2,24,0.727
Holy Cross (Patriot),11,6-5,38,15,7,6,28,0.737
Fordham (Patriot),12,9-3,56,23,11,8,42,0.750
Bryant (NEC),11,5-6,37,13,7,8,28,0.757
Charleston So. (Big South),13,10-3,33,16,3,6,25,0.758
Portland St. (Big Sky),12,9-3,33,13,5,7,25,0.758
Brown (Ivy League),10,5-5,50,16,13,9,38,0.760
New Hampshire (CAA),12,7-5,38,21,4,4,29,0.763
Western Ill. (MVFC),13,7-6,55,23,8,11,42,0.764
Prairie View (SWAC),10,8-2,34,15,9,2,26,0.765
San Diego (Pioneer),11,9-2,30,6,8,9,23,0.767
