Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
Lamar University (Southland),11,5-6,5,37,0.45
The Citadel (SoCon),13,9-4,8,51,0.62
Wofford (SoCon),11,5-6,8,58,0.73
Mercer (SoCon),11,5-6,8,64,0.73
Eastern Ill. (OVC),12,7-5,9,65,0.75
Kennesaw St. (Big South),11,6-5,9,47,0.82
Brown (Ivy League),10,5-5,9,82,0.90
UT Martin (OVC),11,7-4,10,57,0.91
South Carolina St. (MEAC),11,7-4,10,44,0.91
Colgate (Patriot),14,9-5,13,64,0.93
Morehead St. (Pioneer),11,7-4,11,86,1.00
N.C. Central (MEAC),11,8-3,11,71,1.00
Cal Poly (Big Sky),11,4-7,11,48,1.00
Western Caro. (SoCon),11,7-4,11,45,1.00
Harvard (Ivy League),10,9-1,10,56,1.00
Southern U. (SWAC),11,6-5,11,58,1.00
North Dakota St. (MVFC),15,13-2,16,91,1.07
William & Mary (CAA),13,9-4,14,116,1.08
Charleston So. (Big South),13,10-3,14,89,1.08
Southern Ill. (MVFC),11,3-8,12,65,1.09
Bryant (NEC),11,5-6,12,103,1.09
Alcorn (SWAC),13,9-4,15,96,1.15
Montana St. (Big Sky),11,5-6,13,80,1.18
Penn (Ivy League),10,7-3,12,72,1.20
Chattanooga (SoCon),13,9-4,16,103,1.23
Jacksonville St. (OVC),15,13-2,19,108,1.27
Youngstown St. (MVFC),11,5-6,14,76,1.27
Duquesne (NEC),12,8-4,16,90,1.33
McNeese (Southland),11,10-1,15,99,1.36
Alabama St. (SWAC),11,6-5,15,101,1.36
Western Ill. (MVFC),13,7-6,18,103,1.38
Sam Houston (Southland),15,11-4,21,126,1.40
Coastal Carolina (Big South),12,9-3,17,89,1.42
Eastern Ky. (OVC),11,6-5,16,89,1.45
Liberty (Big South),11,6-5,16,111,1.45
San Diego (Pioneer),11,9-2,16,95,1.45
Central Ark. (Southland),11,7-4,16,107,1.45
Princeton (Ivy League),10,5-5,15,97,1.50
Richmond (CAA),14,10-4,21,142,1.50
James Madison (CAA),12,9-3,18,94,1.50
Monmouth (Big South),11,5-6,17,104,1.55
Butler (Pioneer),11,6-5,17,94,1.55
Weber St. (Big Sky),11,6-5,17,88,1.55
Maine (CAA),11,3-8,18,116,1.64
Campbell (Pioneer),11,5-6,18,140,1.64
Delaware (CAA),11,4-7,18,88,1.64
Grambling (SWAC),12,9-3,20,123,1.67
Tennessee St. (OVC),10,4-6,17,97,1.70
Prairie View (SWAC),10,8-2,17,115,1.70
Holy Cross (Patriot),11,6-5,19,120,1.73
Portland St. (Big Sky),12,9-3,21,137,1.75
Illinois St. (MVFC),13,10-3,23,167,1.77
Southeast Mo. St. (OVC),11,4-7,20,127,1.82
Missouri St. (MVFC),11,1-10,20,128,1.82
UAlbany (CAA),11,3-8,20,109,1.82
Towson (CAA),11,7-4,20,119,1.82
Idaho St. (Big Sky),11,2-9,20,116,1.82
Southeastern La. (Southland),11,4-7,21,127,1.91
North Dakota (Big Sky),11,7-4,21,141,1.91
N.C. A&T (MEAC),12,10-2,23,137,1.92
Gardner-Webb (Big South),11,4-7,22,147,2.00
Samford (SoCon),11,6-5,22,112,2.00
UC Davis (Big Sky),11,2-9,22,157,2.00
South Dakota (MVFC),11,5-6,23,163,2.09
Ark.-Pine Bluff (SWAC),11,2-9,23,146,2.09
Northern Colo. (Big Sky),11,6-5,23,153,2.09
Eastern Wash. (Big Sky),11,6-5,23,111,2.09
Hampton (MEAC),11,6-5,23,177,2.09
SFA (Southland),11,4-7,23,161,2.09
New Hampshire (CAA),12,7-5,26,174,2.17
Georgetown (Patriot),11,4-7,24,182,2.18
Morgan St. (MEAC),10,4-6,22,112,2.20
Florida A&M (MEAC),11,1-10,25,158,2.27
Bethune-Cookman (MEAC),11,9-2,25,160,2.27
Presbyterian (Big South),11,2-9,25,176,2.27
Austin Peay (OVC),11,0-11,25,170,2.27
Stony Brook (CAA),10,5-5,23,182,2.30
Southern Utah (Big Sky),12,8-4,28,177,2.33
Sacramento St. (Big Sky),11,2-9,26,190,2.36
Northwestern St. (Southland),11,4-7,26,148,2.36
Savannah St. (MEAC),10,1-9,24,172,2.40
Columbia (Ivy League),10,2-8,24,152,2.40
Sacred Heart (NEC),11,6-5,27,198,2.45
Jacksonville (Pioneer),11,9-2,27,161,2.45
Furman (SoCon),11,4-7,27,169,2.45
Davidson (Pioneer),11,2-9,27,178,2.45
Montana (Big Sky),13,8-5,32,193,2.46
South Dakota St. (MVFC),12,8-4,30,164,2.50
Yale (Ivy League),10,6-4,25,169,2.50
Jackson St. (SWAC),11,3-8,28,162,2.55
Rhode Island (CAA),11,1-10,28,185,2.55
Nicholls (Southland),11,3-8,28,171,2.55
Elon (CAA),11,4-7,28,191,2.55
Valparaiso (Pioneer),10,1-9,26,201,2.60
Saint Francis (PA) (NEC),10,6-4,26,195,2.60
Lehigh (Patriot),11,6-5,29,149,2.64
Robert Morris (NEC),11,4-7,29,178,2.64
Dartmouth (Ivy League),10,9-1,27,174,2.70
UNI (MVFC),14,9-5,38,248,2.71
Northern Ariz. (Big Sky),11,7-4,30,162,2.73
Villanova (CAA),11,6-5,30,170,2.73
Houston Christian (Southland),10,1-9,28,185,2.80
Alabama A&M (SWAC),11,3-8,31,177,2.82
Cornell (Ivy League),10,1-9,29,187,2.90
Murray St. (OVC),11,3-8,33,200,3.00
VMI (SoCon),11,2-9,33,167,3.00
Bucknell (Patriot),11,4-7,34,282,3.09
ETSU (FCS Independent),11,2-9,35,258,3.18
Dayton (Pioneer),12,10-2,39,290,3.25
Wagner (NEC),11,1-10,36,224,3.27
Marist (Pioneer),11,5-6,37,267,3.36
Stetson (Pioneer),11,3-8,37,218,3.36
Norfolk St. (MEAC),11,4-7,37,251,3.36
Lafayette (Patriot),11,1-10,38,278,3.45
Central Conn. St. (NEC),11,4-7,39,281,3.55
Tennessee Tech (OVC),11,4-7,39,291,3.55
Fordham (Patriot),12,9-3,43,209,3.58
Drake (Pioneer),11,5-6,40,261,3.64
Texas Southern (SWAC),10,3-7,38,282,3.80
Delaware St. (MEAC),11,1-10,42,268,3.82
Indiana St. (MVFC),11,5-6,43,279,3.91
Mississippi Val. (SWAC),11,1-10,44,254,4.00
Howard (MEAC),11,1-10,44,290,4.00
UIW (Southland),11,6-5,24,130,2.18
Abilene Christian (Southland),11,3-8,41,246,3.73
