Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Princeton (Ivy League),10,8-2,8,16,24,3,5,8,16,1.60
Holy Cross (Patriot),13,12-1,10,13,23,1,5,6,17,1.31
Montana St. (Big Sky),14,12-2,15,13,28,4,8,12,16,1.14
UC Davis (Big Sky),11,6-5,8,13,21,2,7,9,12,1.09
UT Martin (OVC),11,7-4,11,17,28,5,11,16,12,1.09
South Dakota St. (MVFC),15,14-1,8,18,26,5,5,10,16,1.07
Southern Utah (WAC),11,5-6,10,14,24,6,8,14,10,0.91
Youngstown St. (MVFC),11,7-4,9,10,19,6,3,9,10,0.91
Idaho (Big Sky),12,7-5,5,16,21,3,8,11,10,0.83
Southeastern La. (Southland),13,9-4,8,16,24,6,8,14,10,0.77
Saint Francis (PA) (NEC),12,9-3,12,11,23,8,6,14,9,0.75
North Dakota St. (MVFC),15,12-3,9,16,25,8,6,14,11,0.73
Samford (SoCon),13,11-2,10,11,21,8,4,12,9,0.69
Bucknell (Patriot),11,3-8,7,15,22,5,10,15,7,0.64
Chattanooga (SoCon),11,7-4,11,11,22,4,11,15,7,0.64
Dayton (Pioneer),11,8-3,7,10,17,1,9,10,7,0.64
Tennessee St. (OVC),11,4-7,11,9,20,5,8,13,7,0.64
Furman (SoCon),13,10-3,11,18,29,12,9,21,8,0.62
Richmond (CAA),13,9-4,7,14,21,8,5,13,8,0.62
Stetson (Pioneer),10,4-6,8,16,24,8,10,18,6,0.60
Elon (CAA),12,8-4,13,8,21,10,4,14,7,0.58
Eastern Wash. (Big Sky),11,3-8,9,13,22,6,10,16,6,0.55
Texas Southern (SWAC),11,5-6,6,16,22,10,6,16,6,0.55
William & Mary (CAA),13,11-2,15,10,25,11,7,18,7,0.54
Southeast Mo. St. (OVC),12,9-3,5,11,16,3,7,10,6,0.50
Kennesaw St. (ASUN),11,5-6,11,15,26,14,7,21,5,0.45
Sam Houston (WAC),9,5-4,10,11,21,7,10,17,4,0.44
UIW (Southland),14,12-2,10,14,24,9,9,18,6,0.43
N.C. Central (MEAC),12,10-2,8,11,19,4,10,14,5,0.42
Jackson St. (SWAC),13,12-1,14,12,26,14,7,21,5,0.38
Ark.-Pine Bluff (SWAC),11,3-8,11,10,21,5,12,17,4,0.36
Missouri St. (MVFC),11,5-6,9,6,15,5,6,11,4,0.36
Prairie View (SWAC),11,6-5,10,11,21,10,7,17,4,0.36
Rhode Island (CAA),11,7-4,9,10,19,8,7,15,4,0.36
UNI (MVFC),11,6-5,6,10,16,5,7,12,4,0.36
San Diego (Pioneer),10,5-5,7,8,15,5,7,12,3,0.30
Campbell (Big South),11,5-6,7,11,18,4,11,15,3,0.27
Delaware St. (MEAC),11,5-6,9,9,18,11,4,15,3,0.27
ETSU (SoCon),11,3-8,9,12,21,3,15,18,3,0.27
Jacksonville St. (ASUN),11,9-2,15,8,23,9,11,20,3,0.27
Lafayette (Patriot),11,4-7,9,7,16,5,8,13,3,0.27
SFA (ASUN),11,6-5,8,11,19,11,5,16,3,0.27
Wofford (SoCon),11,3-8,10,5,15,4,8,12,3,0.27
Penn (Ivy League),10,8-2,3,8,11,2,7,9,2,0.20
Abilene Christian (WAC),11,7-4,8,7,15,3,10,13,2,0.18
Colgate (Patriot),11,3-8,8,7,15,5,8,13,2,0.18
