Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Columbia (Ivy League),10,6-4,4,20,0.200
Sacred Heart (NEC),11,5-6,4,19,0.211
Murray St. (OVC),11,2-9,6,22,0.273
Penn (Ivy League),10,8-2,8,28,0.286
Elon (CAA),12,8-4,5,17,0.294
Alabama St. (SWAC),11,6-5,6,20,0.300
Valparaiso (Pioneer),12,5-7,6,20,0.300
Lamar University (Southland),11,1-10,5,16,0.312
Ark.-Pine Bluff (SWAC),11,3-8,6,19,0.316
Brown (Ivy League),10,3-7,7,22,0.318
Holy Cross (Patriot),13,12-1,10,31,0.323
Central Ark. (ASUN),11,5-6,9,27,0.333
Duquesne (NEC),11,4-7,7,21,0.333
New Hampshire (CAA),13,9-4,8,24,0.333
Richmond (CAA),13,9-4,6,18,0.333
Texas Southern (SWAC),11,5-6,8,24,0.333
Western Caro. (SoCon),11,6-5,7,21,0.333
Dayton (Pioneer),11,8-3,8,23,0.348
Prairie View (SWAC),11,6-5,8,23,0.348
Monmouth (CAA),11,5-6,7,20,0.350
Yale (Ivy League),10,8-2,7,20,0.350
Delaware St. (MEAC),11,5-6,8,22,0.364
Southern U. (SWAC),12,7-5,8,22,0.364
Stony Brook (CAA),11,2-9,4,11,0.364
Florida A&M (SWAC),11,9-2,6,16,0.375
N.C. Central (MEAC),12,10-2,9,24,0.375
Saint Francis (PA) (NEC),12,9-3,9,24,0.375
San Diego (Pioneer),10,5-5,12,32,0.375
Rhode Island (CAA),11,7-4,11,29,0.379
Tennessee Tech (OVC),11,4-7,8,21,0.381
Davidson (Pioneer),12,8-4,10,26,0.385
Stetson (Pioneer),10,4-6,10,26,0.385
Weber St. (Big Sky),13,10-3,12,31,0.387
LIU (NEC),11,4-7,7,18,0.389
Morgan St. (MEAC),11,4-7,9,23,0.391
Southern Utah (WAC),11,5-6,13,33,0.394
Dartmouth (Ivy League),10,3-7,8,20,0.400
Northern Colo. (Big Sky),11,3-8,8,20,0.400
Princeton (Ivy League),10,8-2,10,25,0.400
Sacramento St. (Big Sky),13,12-1,16,40,0.400
Charleston So. (Big South),10,2-8,11,27,0.407
Jackson St. (SWAC),13,12-1,14,34,0.412
Tennessee St. (OVC),11,4-7,10,24,0.417
Southeastern La. (Southland),13,9-4,13,31,0.419
Morehead St. (Pioneer),11,2-9,8,19,0.421
Furman (SoCon),13,10-3,14,33,0.424
Mississippi Val. (SWAC),11,2-9,9,21,0.429
Fordham (Patriot),12,9-3,13,30,0.433
Jacksonville St. (ASUN),11,9-2,14,32,0.438
Alcorn (SWAC),11,5-6,8,18,0.444
Colgate (Patriot),11,3-8,8,18,0.444
South Dakota (MVFC),11,3-8,8,18,0.444
Montana St. (Big Sky),14,12-2,17,38,0.447
Northwestern St. (Southland),11,4-7,13,29,0.448
UC Davis (Big Sky),11,6-5,9,20,0.450
UIW (Southland),14,12-2,14,31,0.452
Delaware (CAA),13,8-5,10,22,0.455
North Dakota (MVFC),12,7-5,6,13,0.462
South Carolina St. (MEAC),11,3-8,6,13,0.462
Southern Ill. (MVFC),11,5-6,12,26,0.462
Lafayette (Patriot),11,4-7,8,17,0.471
VMI (SoCon),11,1-10,8,17,0.471
Cal Poly (Big Sky),11,2-9,9,19,0.474
Cornell (Ivy League),10,5-5,9,19,0.474
Eastern Ky. (ASUN),12,7-5,9,19,0.474
The Citadel (SoCon),11,4-7,9,19,0.474
Abilene Christian (WAC),11,7-4,11,23,0.478
Drake (Pioneer),11,3-8,11,23,0.478
Austin Peay (ASUN),11,7-4,13,26,0.500
Bryant (Big South),11,4-7,10,20,0.500
Grambling (SWAC),11,3-8,14,28,0.500
Kennesaw St. (ASUN),11,5-6,4,8,0.500
Montana (Big Sky),13,8-5,13,26,0.500
Robert Morris (Big South),11,0-11,6,12,0.500
SFA (ASUN),11,6-5,7,14,0.500
Samford (SoCon),13,11-2,16,32,0.500
Southeast Mo. St. (OVC),12,9-3,12,24,0.500
UAlbany (CAA),11,3-8,10,20,0.500
Wofford (SoCon),11,3-8,6,12,0.500
Youngstown St. (MVFC),11,7-4,8,16,0.500
South Dakota St. (MVFC),15,14-1,18,35,0.514
Presbyterian (Pioneer),11,1-10,11,21,0.524
Bethune-Cookman (SWAC),11,2-9,10,19,0.526
Idaho (Big Sky),12,7-5,10,19,0.526
Lehigh (Patriot),11,2-9,10,19,0.526
Western Ill. (MVFC),11,0-11,8,15,0.533
Butler (Pioneer),11,7-4,15,28,0.536
Bucknell (Patriot),11,3-8,14,26,0.538
Gardner-Webb (Big South),13,7-6,14,26,0.538
Norfolk St. (MEAC),11,2-9,7,13,0.538
UT Martin (OVC),11,7-4,14,26,0.538
Missouri St. (MVFC),11,5-6,13,24,0.542
Portland St. (Big Sky),11,4-7,13,24,0.542
Marist (Pioneer),11,4-7,18,33,0.545
Towson (CAA),11,6-5,11,20,0.550
Mercer (SoCon),11,7-4,16,29,0.552
Alabama A&M (SWAC),11,4-7,10,18,0.556
Campbell (Big South),11,5-6,10,18,0.556
Hampton (CAA),11,4-7,10,18,0.556
Harvard (Ivy League),10,6-4,10,18,0.556
Northern Ariz. (Big Sky),11,3-8,14,25,0.560
Chattanooga (SoCon),11,7-4,9,16,0.562
North Dakota St. (MVFC),15,12-3,17,30,0.567
Villanova (CAA),11,6-5,15,26,0.577
Indiana St. (MVFC),11,2-9,11,19,0.579
William & Mary (CAA),13,11-2,14,24,0.583
ETSU (SoCon),11,3-8,10,17,0.588
Georgetown (Patriot),11,2-9,15,25,0.600
Idaho St. (Big Sky),11,1-10,14,23,0.609
McNeese (Southland),11,4-7,14,23,0.609
Nicholls (Southland),11,3-8,11,18,0.611
Sam Houston (WAC),9,5-4,11,18,0.611
N.C. A&T (Big South),11,7-4,8,13,0.615
Houston Christian (Southland),11,2-9,15,22,0.682
Wagner (NEC),11,1-10,14,20,0.700
Central Conn. St. (NEC),11,2-9,12,17,0.706
Howard (MEAC),11,5-6,12,17,0.706
UNI (MVFC),11,6-5,12,17,0.706
Eastern Ill. (OVC),11,2-9,8,11,0.727
Illinois St. (MVFC),11,6-5,15,20,0.750
North Ala. (ASUN),11,1-10,12,16,0.750
Eastern Wash. (Big Sky),11,3-8,16,21,0.762
Maine (CAA),11,2-9,10,13,0.769
