Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Davidson (Pioneer),12,8-4,720,3978,5.52,34,331.5
Montana St. (Big Sky),14,12-2,673,4366,6.49,49,311.9
William & Mary (CAA),13,11-2,581,3455,5.95,35,265.8
North Dakota St. (MVFC),15,12-3,656,3986,6.08,50,265.7
Jacksonville St. (ASUN),11,9-2,494,2761,5.59,37,251.0
Holy Cross (Patriot),13,12-1,573,3186,5.56,34,245.1
Sacramento St. (Big Sky),13,12-1,585,3163,5.41,36,243.3
The Citadel (SoCon),11,4-7,601,2568,4.27,15,233.5
Yale (Ivy League),10,8-2,430,2328,5.41,21,232.8
Kennesaw St. (ASUN),11,5-6,635,2554,4.02,28,232.2
Prairie View (SWAC),11,6-5,498,2534,5.09,28,230.4
Monmouth (CAA),11,5-6,439,2513,5.72,33,228.5
Southeast Mo. St. (OVC),12,9-3,444,2707,6.10,29,225.6
UIW (Southland),14,12-2,536,3011,5.62,30,215.1
Furman (SoCon),13,10-3,542,2767,5.11,29,212.8
N.C. Central (MEAC),12,10-2,461,2527,5.48,34,210.6
Youngstown St. (MVFC),11,7-4,421,2225,5.29,20,202.3
Southern U. (SWAC),12,7-5,480,2422,5.05,25,201.8
McNeese (Southland),11,4-7,421,2205,5.24,20,200.5
Dayton (Pioneer),11,8-3,501,2182,4.36,25,198.4
Southeastern La. (Southland),13,9-4,524,2566,4.90,34,197.4
Weber St. (Big Sky),13,10-3,571,2548,4.46,27,196.0
Fordham (Patriot),12,9-3,433,2342,5.41,21,195.2
UC Davis (Big Sky),11,6-5,397,2106,5.30,24,191.5
Villanova (CAA),11,6-5,410,2086,5.09,20,189.6
Austin Peay (ASUN),11,7-4,451,2082,4.62,20,189.3
Portland St. (Big Sky),11,4-7,451,2069,4.59,18,188.1
Mercer (SoCon),11,7-4,409,2066,5.05,19,187.8
North Ala. (ASUN),11,1-10,425,2031,4.78,22,184.6
South Dakota St. (MVFC),15,14-1,564,2769,4.91,36,184.6
N.C. A&T (Big South),11,7-4,402,2028,5.04,19,184.4
Western Caro. (SoCon),11,6-5,401,2027,5.05,13,184.3
Saint Francis (PA) (NEC),12,9-3,453,2187,4.83,21,182.2
Gardner-Webb (Big South),13,7-6,515,2323,4.51,34,178.7
Lamar University (Southland),11,1-10,453,1923,4.25,15,174.8
Texas Southern (SWAC),11,5-6,461,1919,4.16,19,174.5
Tennessee Tech (OVC),11,4-7,404,1913,4.74,14,173.9
Alcorn (SWAC),11,5-6,478,1912,4.00,16,173.8
UT Martin (OVC),11,7-4,347,1904,5.49,29,173.1
Montana (Big Sky),13,8-5,508,2220,4.37,28,170.8
Idaho (Big Sky),12,7-5,470,2048,4.36,22,170.7
ETSU (SoCon),11,3-8,394,1874,4.76,20,170.4
Central Ark. (ASUN),11,5-6,383,1872,4.89,17,170.2
Sacred Heart (NEC),11,5-6,454,1871,4.12,22,170.1
Rhode Island (CAA),11,7-4,368,1862,5.06,23,169.3
Howard (MEAC),11,5-6,413,1807,4.38,21,164.3
Sam Houston (WAC),9,5-4,329,1461,4.44,10,162.3
Butler (Pioneer),11,7-4,420,1781,4.24,17,161.9
Towson (CAA),11,6-5,425,1772,4.17,10,161.1
Chattanooga (SoCon),11,7-4,416,1763,4.24,21,160.3
Alabama A&M (SWAC),11,4-7,436,1759,4.03,16,159.9
