Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
N.C. Central (MEAC),12,10-2,154,86,0.558
Fordham (Patriot),12,9-3,166,87,0.524
UIW (Southland),14,12-2,184,96,0.522
UNI (MVFC),11,6-5,123,64,0.520
Eastern Ky. (ASUN),12,7-5,156,81,0.519
Davidson (Pioneer),12,8-4,168,85,0.506
North Dakota St. (MVFC),15,12-3,168,85,0.506
Bryant (Big South),11,4-7,148,74,0.500
Samford (SoCon),13,11-2,204,99,0.485
Sacramento St. (Big Sky),13,12-1,170,82,0.482
South Dakota St. (MVFC),15,14-1,185,89,0.481
Mercer (SoCon),11,7-4,144,68,0.472
Columbia (Ivy League),10,6-4,150,70,0.467
North Dakota (MVFC),12,7-5,149,69,0.463
Montana (Big Sky),13,8-5,182,84,0.462
Richmond (CAA),13,9-4,196,90,0.459
N.C. A&T (Big South),11,7-4,156,71,0.455
Princeton (Ivy League),10,8-2,141,64,0.454
Idaho (Big Sky),12,7-5,161,73,0.453
Gardner-Webb (Big South),13,7-6,173,78,0.451
Holy Cross (Patriot),13,12-1,163,73,0.448
Montana St. (Big Sky),14,12-2,169,75,0.444
Weber St. (Big Sky),13,10-3,192,85,0.443
Howard (MEAC),11,5-6,147,65,0.442
Southern U. (SWAC),12,7-5,161,71,0.441
UAlbany (CAA),11,3-8,148,65,0.439
Southern Ill. (MVFC),11,5-6,164,72,0.439
William & Mary (CAA),13,11-2,155,68,0.439
Furman (SoCon),13,10-3,198,86,0.434
Abilene Christian (WAC),11,7-4,166,72,0.434
Illinois St. (MVFC),11,6-5,160,69,0.431
Jacksonville St. (ASUN),11,9-2,137,59,0.431
Yale (Ivy League),10,8-2,142,61,0.430
Maine (CAA),11,2-9,166,71,0.428
Southeastern La. (Southland),13,9-4,190,81,0.426
Chattanooga (SoCon),11,7-4,141,60,0.426
Southeast Mo. St. (OVC),12,9-3,153,65,0.425
Penn (Ivy League),10,8-2,146,62,0.425
Dartmouth (Ivy League),10,3-7,130,55,0.423
Butler (Pioneer),11,7-4,147,62,0.422
Rhode Island (CAA),11,7-4,133,56,0.421
Austin Peay (ASUN),11,7-4,169,71,0.420
The Citadel (SoCon),11,4-7,165,69,0.418
Kennesaw St. (ASUN),11,5-6,187,78,0.417
Delaware (CAA),13,8-5,180,75,0.417
Dayton (Pioneer),11,8-3,150,62,0.413
Florida A&M (SWAC),11,9-2,155,64,0.413
Towson (CAA),11,6-5,155,64,0.413
Brown (Ivy League),10,3-7,177,73,0.412
Campbell (Big South),11,5-6,170,70,0.412
Jackson St. (SWAC),13,12-1,170,70,0.412
Monmouth (CAA),11,5-6,134,55,0.410
SFA (ASUN),11,6-5,162,66,0.407
Western Caro. (SoCon),11,6-5,145,59,0.407
UC Davis (Big Sky),11,6-5,148,60,0.405
Saint Francis (PA) (NEC),12,9-3,158,64,0.405
Georgetown (Patriot),11,2-9,151,61,0.404
New Hampshire (CAA),13,9-4,169,68,0.402
North Ala. (ASUN),11,1-10,147,59,0.401
Northern Ariz. (Big Sky),11,3-8,178,71,0.399
Eastern Wash. (Big Sky),11,3-8,163,65,0.399
Cornell (Ivy League),10,5-5,147,58,0.395
Bethune-Cookman (SWAC),11,2-9,150,59,0.393
Elon (CAA),12,8-4,168,66,0.393
Prairie View (SWAC),11,6-5,144,56,0.389
Alabama St. (SWAC),11,6-5,136,52,0.382
Sacred Heart (NEC),11,5-6,158,60,0.380
Duquesne (NEC),11,4-7,153,58,0.379
Central Conn. St. (NEC),11,2-9,151,57,0.377
McNeese (Southland),11,4-7,137,51,0.372
Lehigh (Patriot),11,2-9,159,59,0.371
Missouri St. (MVFC),11,5-6,138,51,0.370
Hampton (CAA),11,4-7,122,45,0.369
Nicholls (Southland),11,3-8,160,59,0.369
Idaho St. (Big Sky),11,1-10,171,63,0.368
Northwestern St. (Southland),11,4-7,196,72,0.367
Villanova (CAA),11,6-5,123,45,0.366
Portland St. (Big Sky),11,4-7,148,54,0.365
Harvard (Ivy League),10,6-4,130,47,0.362
Eastern Ill. (OVC),11,2-9,150,54,0.360
Norfolk St. (MEAC),11,2-9,139,50,0.360
Morehead St. (Pioneer),11,2-9,184,66,0.359
Youngstown St. (MVFC),11,7-4,138,49,0.355
Cal Poly (Big Sky),11,2-9,164,58,0.354
LIU (NEC),11,4-7,156,55,0.353
Northern Colo. (Big Sky),11,3-8,157,55,0.350
Stetson (Pioneer),10,4-6,143,50,0.350
Alcorn (SWAC),11,5-6,170,59,0.347
Drake (Pioneer),11,3-8,173,60,0.347
Delaware St. (MEAC),11,5-6,153,53,0.346
Colgate (Patriot),11,3-8,156,54,0.346
Marist (Pioneer),11,4-7,165,57,0.345
San Diego (Pioneer),10,5-5,131,45,0.344
Lamar University (Southland),11,1-10,172,59,0.343
Sam Houston (WAC),9,5-4,138,47,0.341
Wagner (NEC),11,1-10,165,56,0.339
Texas Southern (SWAC),11,5-6,148,50,0.338
Wofford (SoCon),11,3-8,155,52,0.335
Central Ark. (ASUN),11,5-6,141,47,0.333
Tennessee St. (OVC),11,4-7,165,55,0.333
Tennessee Tech (OVC),11,4-7,150,49,0.327
Ark.-Pine Bluff (SWAC),11,3-8,160,51,0.319
Valparaiso (Pioneer),12,5-7,154,49,0.318
South Dakota (MVFC),11,3-8,139,44,0.317
Indiana St. (MVFC),11,2-9,165,52,0.315
Mississippi Val. (SWAC),11,2-9,160,50,0.312
ETSU (SoCon),11,3-8,139,43,0.309
Presbyterian (Pioneer),11,1-10,152,47,0.309
Southern Utah (WAC),11,5-6,149,46,0.309
VMI (SoCon),11,1-10,163,49,0.301
UT Martin (OVC),11,7-4,131,39,0.298
Charleston So. (Big South),10,2-8,155,46,0.297
South Carolina St. (MEAC),11,3-8,152,45,0.296
Alabama A&M (SWAC),11,4-7,145,42,0.290
Houston Christian (Southland),11,2-9,177,51,0.288
Lafayette (Patriot),11,4-7,159,44,0.277
Grambling (SWAC),11,3-8,138,38,0.275
Bucknell (Patriot),11,3-8,167,45,0.269
Murray St. (OVC),11,2-9,162,43,0.265
Stony Brook (CAA),11,2-9,148,38,0.257
Western Ill. (MVFC),11,0-11,147,37,0.252
Morgan St. (MEAC),11,4-7,136,34,0.250
Robert Morris (Big South),11,0-11,172,42,0.244
Lindenwood (OVC),10,7-3,128,64,0.500
St. Thomas (MN) (Pioneer),11,10-1,139,67,0.482
Stonehill (NEC),9,4-5,119,52,0.437
Merrimack (NEC),11,8-3,155,62,0.400
Tarleton St. (WAC),11,6-5,145,57,0.393
Tex. A&M-Commerce (Southland),11,5-6,157,57,0.363
Utah Tech (WAC),11,4-7,155,42,0.271
