Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
Fordham (Patriot),12,9-3,940,7307,7.77,79,608.9
UIW (Southland),14,12-2,1035,8137,7.86,92,581.2
Sacramento St. (Big Sky),13,12-1,1018,6498,6.38,67,499.8
Montana St. (Big Sky),14,12-2,980,6931,7.07,70,495.1
UC Davis (Big Sky),11,6-5,793,5351,6.75,47,486.5
Western Caro. (SoCon),11,6-5,801,5339,6.67,43,485.4
Mercer (SoCon),11,7-4,747,5175,6.93,52,470.5
Southeast Mo. St. (OVC),12,9-3,833,5618,6.74,48,468.2
Monmouth (CAA),11,5-6,730,5079,6.96,54,461.7
Eastern Ky. (ASUN),12,7-5,820,5416,6.60,53,451.3
Holy Cross (Patriot),13,12-1,861,5842,6.79,62,449.4
Davidson (Pioneer),12,8-4,856,5392,6.30,49,449.3
William & Mary (CAA),13,11-2,828,5835,7.05,54,448.8
Jackson St. (SWAC),13,12-1,950,5797,6.10,59,445.9
N.C. Central (MEAC),12,10-2,789,5344,6.77,60,445.3
UNI (MVFC),11,6-5,713,4894,6.86,44,444.9
UT Martin (OVC),11,7-4,738,4867,6.59,47,442.5
Gardner-Webb (Big South),13,7-6,958,5740,5.99,55,441.5
Southeastern La. (Southland),13,9-4,936,5717,6.11,56,439.8
Samford (SoCon),13,11-2,981,5651,5.76,57,434.7
Central Ark. (ASUN),11,5-6,723,4776,6.61,39,434.2
Idaho (Big Sky),12,7-5,812,5192,6.39,51,432.7
Bryant (Big South),11,4-7,784,4728,6.03,45,429.8
Saint Francis (PA) (NEC),12,9-3,791,5146,6.51,51,428.8
Richmond (CAA),13,9-4,990,5513,5.57,46,424.1
Austin Peay (ASUN),11,7-4,813,4662,5.73,42,423.8
Jacksonville St. (ASUN),11,9-2,721,4660,6.46,48,423.6
SFA (ASUN),11,6-5,776,4647,5.99,41,422.5
Furman (SoCon),13,10-3,924,5485,5.94,49,421.9
Campbell (Big South),11,5-6,793,4584,5.78,39,416.7
Yale (Ivy League),10,8-2,674,4128,6.12,36,412.8
Chattanooga (SoCon),11,7-4,740,4501,6.08,38,409.2
Delaware (CAA),13,8-5,936,5314,5.68,48,408.8
Rhode Island (CAA),11,7-4,697,4451,6.39,42,404.6
Cal Poly (Big Sky),11,2-9,791,4433,5.60,32,403.0
Weber St. (Big Sky),13,10-3,945,5237,5.54,50,402.8
