Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Butler (Pioneer),11,7-4,37,15,11,10,36,0.973
South Dakota St. (MVFC),15,14-1,63,31,15,15,61,0.968
Maine (CAA),11,2-9,30,12,12,5,29,0.967
Saint Francis (PA) (NEC),12,9-3,57,16,21,16,53,0.930
Idaho (Big Sky),12,7-5,52,20,17,11,48,0.923
North Dakota (MVFC),12,7-5,47,21,15,7,43,0.915
UC Davis (Big Sky),11,6-5,50,18,12,15,45,0.900
Penn (Ivy League),10,8-2,38,12,13,9,34,0.895
UNI (MVFC),11,6-5,47,15,15,12,42,0.894
North Dakota St. (MVFC),15,12-3,55,36,4,9,49,0.891
Furman (SoCon),13,10-3,54,21,13,14,48,0.889
Jacksonville St. (ASUN),11,9-2,45,29,2,9,40,0.889
New Hampshire (CAA),13,9-4,45,13,18,9,40,0.889
Prairie View (SWAC),11,6-5,36,21,7,4,32,0.889
N.C. Central (MEAC),12,10-2,61,28,14,12,54,0.885
Southern Ill. (MVFC),11,5-6,43,17,11,10,38,0.884
Charleston So. (Big South),10,2-8,17,7,4,4,15,0.882
Eastern Ky. (ASUN),12,7-5,58,17,23,11,51,0.879
William & Mary (CAA),13,11-2,58,30,9,12,51,0.879
Towson (CAA),11,6-5,33,10,9,10,29,0.879
Sacramento St. (Big Sky),13,12-1,73,31,21,12,64,0.877
Richmond (CAA),13,9-4,56,14,20,15,49,0.875
Southeastern La. (Southland),13,9-4,64,30,13,13,56,0.875
North Ala. (ASUN),11,1-10,31,12,10,5,27,0.871
Missouri St. (MVFC),11,5-6,46,17,13,10,40,0.870
Duquesne (NEC),11,4-7,38,9,14,10,33,0.868
Abilene Christian (WAC),11,7-4,45,15,17,7,39,0.867
UAlbany (CAA),11,3-8,43,14,14,9,37,0.860
Harvard (Ivy League),10,6-4,35,11,9,10,30,0.857
LIU (NEC),11,4-7,35,11,6,13,30,0.857
Monmouth (CAA),11,5-6,42,20,10,6,36,0.857
Mercer (SoCon),11,7-4,47,13,18,9,40,0.851
Samford (SoCon),13,11-2,47,10,22,8,40,0.851
Central Ark. (ASUN),11,5-6,40,13,11,10,34,0.850
Grambling (SWAC),11,3-8,26,12,6,4,22,0.846
Campbell (Big South),11,5-6,45,18,7,13,38,0.844
Eastern Ill. (OVC),11,2-9,32,9,9,9,27,0.844
Weber St. (Big Sky),13,10-3,63,22,15,16,53,0.841
Holy Cross (Patriot),13,12-1,61,27,12,12,51,0.836
Montana St. (Big Sky),14,12-2,79,34,14,18,66,0.835
Morgan St. (MEAC),11,4-7,24,9,6,5,20,0.833
Yale (Ivy League),10,8-2,36,13,12,5,30,0.833
Youngstown St. (MVFC),11,7-4,36,15,8,7,30,0.833
UIW (Southland),14,12-2,76,23,32,8,63,0.829
Drake (Pioneer),11,3-8,35,7,13,9,29,0.829
Alcorn (SWAC),11,5-6,29,11,2,11,24,0.828
Kennesaw St. (ASUN),11,5-6,45,25,4,8,37,0.822
Wofford (SoCon),11,3-8,33,15,9,3,27,0.818
McNeese (Southland),11,4-7,27,13,2,7,22,0.815
Howard (MEAC),11,5-6,43,16,15,4,35,0.814
Southeast Mo. St. (OVC),12,9-3,59,18,18,12,48,0.814
Colgate (Patriot),11,3-8,32,13,4,9,26,0.812
N.C. A&T (Big South),11,7-4,37,14,9,7,30,0.811
Cornell (Ivy League),10,5-5,31,11,10,4,25,0.806
