Team,Games,Win-Loss,First Down Runs,First Down Passes,First Down Penalties,First Downs
Sam Houston (WAC),9,5-4,61,91,13,165
N.C. A&T (Big South),11,7-4,70,84,12,166
Dayton (Pioneer),11,8-3,53,108,12,173
Penn (Ivy League),10,8-2,64,93,19,176
San Diego (Pioneer),10,5-5,65,97,16,178
Howard (MEAC),11,5-6,87,80,14,181
Delaware St. (MEAC),11,5-6,67,90,26,183
Jackson St. (SWAC),13,12-1,82,72,29,183
Chattanooga (SoCon),11,7-4,76,96,13,185
Columbia (Ivy League),10,6-4,56,116,13,185
Harvard (Ivy League),10,6-4,62,102,21,185
Austin Peay (ASUN),11,7-4,75,85,26,186
Cornell (Ivy League),10,5-5,65,103,19,187
Yale (Ivy League),10,8-2,62,104,21,187
Mercer (SoCon),11,7-4,62,109,18,189
Princeton (Ivy League),10,8-2,66,107,16,189
Butler (Pioneer),11,7-4,87,94,11,192
Delaware (CAA),13,8-5,100,78,14,192
Abilene Christian (WAC),11,7-4,73,108,12,193
Illinois St. (MVFC),11,6-5,95,85,13,193
Alcorn (SWAC),11,5-6,86,91,18,195
Stetson (Pioneer),10,4-6,93,83,19,195
The Citadel (SoCon),11,4-7,89,92,16,197
Brown (Ivy League),10,3-7,91,95,12,198
South Carolina St. (MEAC),11,3-8,97,85,17,199
Dartmouth (Ivy League),10,3-7,102,88,14,204
Alabama St. (SWAC),11,6-5,88,99,19,206
Florida A&M (SWAC),11,9-2,83,97,28,208
UT Martin (OVC),11,7-4,81,105,22,208
Central Conn. St. (NEC),11,2-9,92,96,21,209
Davidson (Pioneer),12,8-4,83,106,20,209
Drake (Pioneer),11,3-8,93,100,16,209
Lafayette (Patriot),11,4-7,74,123,12,209
Duquesne (NEC),11,4-7,106,88,16,210
Youngstown St. (MVFC),11,7-4,72,116,22,210
Southern Ill. (MVFC),11,5-6,72,116,26,214
Southern U. (SWAC),12,7-5,78,111,26,215
Tennessee St. (OVC),11,4-7,92,104,19,215
Prairie View (SWAC),11,6-5,117,91,8,216
Sacred Heart (NEC),11,5-6,99,80,37,216
Elon (CAA),12,8-4,86,114,19,219
Morgan St. (MEAC),11,4-7,93,100,26,219
Jacksonville St. (ASUN),11,9-2,98,103,20,221
Marist (Pioneer),11,4-7,110,94,17,221
Charleston So. (Big South),10,2-8,91,115,16,222
Idaho (Big Sky),12,7-5,101,102,19,222
Richmond (CAA),13,9-4,84,114,24,222
Southern Utah (WAC),11,5-6,96,113,13,222
UNI (MVFC),11,6-5,89,116,17,222
Saint Francis (PA) (NEC),12,9-3,105,102,16,223
UAlbany (CAA),11,3-8,98,103,22,223
Lehigh (Patriot),11,2-9,86,122,16,224
South Dakota St. (MVFC),15,14-1,92,118,15,225
Alabama A&M (SWAC),11,4-7,90,106,31,227
Valparaiso (Pioneer),12,5-7,96,104,27,227
UC Davis (Big Sky),11,6-5,98,121,9,228
SFA (ASUN),11,6-5,101,104,24,229
Towson (CAA),11,6-5,95,111,23,229
Bryant (Big South),11,4-7,76,125,29,230
Kennesaw St. (ASUN),11,5-6,85,132,13,230
N.C. Central (MEAC),12,10-2,86,118,26,230
Texas Southern (SWAC),11,5-6,109,98,23,230
Georgetown (Patriot),11,2-9,104,108,19,231
Hampton (CAA),11,4-7,92,125,14,231
Maine (CAA),11,2-9,103,113,15,231
Campbell (Big South),11,5-6,108,103,21,232
Morehead St. (Pioneer),11,2-9,125,96,11,232
Villanova (CAA),11,6-5,113,102,17,232
Ark.-Pine Bluff (SWAC),11,3-8,129,92,12,233
Rhode Island (CAA),11,7-4,110,105,18,233
Robert Morris (Big South),11,0-11,112,100,21,233
Stony Brook (CAA),11,2-9,100,123,11,234
Wofford (SoCon),11,3-8,100,128,7,235
Eastern Ill. (OVC),11,2-9,85,138,13,236
McNeese (Southland),11,4-7,128,94,14,236
Missouri St. (MVFC),11,5-6,87,127,23,237
South Dakota (MVFC),11,3-8,116,102,19,237
Mississippi Val. (SWAC),11,2-9,83,131,24,238
Montana (Big Sky),13,8-5,105,112,21,238
Bucknell (Patriot),11,3-8,105,116,18,239
Central Ark. (ASUN),11,5-6,101,118,21,240
Lamar University (Southland),11,1-10,89,123,29,241
Monmouth (CAA),11,5-6,109,119,13,241
Nicholls (Southland),11,3-8,108,122,11,241
Grambling (SWAC),11,3-8,118,97,27,242
North Dakota (MVFC),12,7-5,106,121,16,243
Southeast Mo. St. (OVC),12,9-3,89,136,20,245
Western Caro. (SoCon),11,6-5,110,104,31,245
Norfolk St. (MEAC),11,2-9,116,114,16,246
Holy Cross (Patriot),13,12-1,91,130,26,247
Murray St. (OVC),11,2-9,106,120,21,247
Northern Ariz. (Big Sky),11,3-8,104,129,14,247
Tennessee Tech (OVC),11,4-7,112,122,13,247
Furman (SoCon),13,10-3,85,142,21,248
Northwestern St. (Southland),11,4-7,113,119,16,248
Colgate (Patriot),11,3-8,98,133,18,249
Bethune-Cookman (SWAC),11,2-9,125,105,22,252
New Hampshire (CAA),13,9-4,105,129,19,253
Portland St. (Big Sky),11,4-7,110,129,14,253
Weber St. (Big Sky),13,10-3,122,107,24,253
Houston Christian (Southland),11,2-9,115,114,25,254
ETSU (SoCon),11,3-8,89,145,22,256
North Ala. (ASUN),11,1-10,136,106,14,256
Indiana St. (MVFC),11,2-9,128,117,12,257
VMI (SoCon),11,1-10,128,116,13,257
LIU (NEC),11,4-7,118,114,27,259
Southeastern La. (Southland),13,9-4,104,132,23,259
Gardner-Webb (Big South),13,7-6,97,148,17,262
Presbyterian (Pioneer),11,1-10,122,119,21,262
William & Mary (CAA),13,11-2,114,119,30,263
Fordham (Patriot),12,9-3,95,143,26,264
