Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
Youngstown St. (MVFC),11,7-4,187,320,2573,17,8.04,13.76,233.9
Dayton (Pioneer),11,8-3,180,307,2585,20,8.42,14.36,235.0
Valparaiso (Pioneer),12,5-7,200,335,2835,22,8.46,14.18,236.2
Southern Ill. (MVFC),11,5-6,223,358,2619,24,7.32,11.74,238.1
Southeastern La. (Southland),13,9-4,236,398,3106,28,7.80,13.16,238.9
Presbyterian (Pioneer),11,1-10,204,343,2643,28,7.71,12.96,240.3
Sam Houston (WAC),9,5-4,181,323,2167,15,6.71,11.97,240.8
Lafayette (Patriot),11,4-7,240,394,2653,14,6.73,11.05,241.2
Tennessee Tech (OVC),11,4-7,205,336,2653,23,7.90,12.94,241.2
Wofford (SoCon),11,3-8,202,296,2658,18,8.98,13.16,241.6
Sacramento St. (Big Sky),13,12-1,262,493,3159,24,6.41,12.06,243.0
Northern Colo. (Big Sky),11,3-8,222,327,2683,26,8.20,12.09,243.9
Harvard (Ivy League),10,6-4,208,355,2448,18,6.90,11.77,244.8
Maine (CAA),11,2-9,181,281,2711,25,9.65,14.98,246.5
North Ala. (ASUN),11,1-10,198,308,2711,24,8.80,13.69,246.5
Murray St. (OVC),11,2-9,221,367,2725,18,7.43,12.33,247.7
Abilene Christian (WAC),11,7-4,217,389,2731,18,7.02,12.59,248.3
Stony Brook (CAA),11,2-9,223,347,2765,26,7.97,12.40,251.4
Monmouth (CAA),11,5-6,203,339,2782,20,8.21,13.70,252.9
Eastern Ill. (OVC),11,2-9,237,370,2793,20,7.55,11.78,253.9
Lamar University (Southland),11,1-10,235,370,2794,28,7.55,11.89,254.0
Columbia (Ivy League),10,6-4,214,389,2546,16,6.54,11.90,254.6
Missouri St. (MVFC),11,5-6,211,347,2801,19,8.07,13.27,254.6
Northwestern St. (Southland),11,4-7,201,366,2805,28,7.66,13.96,255.0
Southeast Mo. St. (OVC),12,9-3,248,429,3060,21,7.13,12.34,255.0
Idaho St. (Big Sky),11,1-10,255,368,2814,20,7.65,11.04,255.8
Nicholls (Southland),11,3-8,226,353,2822,26,7.99,12.49,256.5
Houston Christian (Southland),11,2-9,219,379,2828,24,7.46,12.91,257.1
Colgate (Patriot),11,3-8,225,350,2837,20,8.11,12.61,257.9
Gardner-Webb (Big South),13,7-6,272,456,3398,28,7.45,12.49,261.4
Samford (SoCon),13,11-2,275,460,3400,15,7.39,12.36,261.5
Lehigh (Patriot),11,2-9,237,334,2883,19,8.63,12.16,262.1
Bryant (Big South),11,4-7,218,358,2910,25,8.13,13.35,264.5
ETSU (SoCon),11,3-8,264,421,2987,26,7.10,11.31,271.5
Furman (SoCon),13,10-3,297,508,3537,22,6.96,11.91,272.1
Southern Utah (WAC),11,5-6,196,343,2993,20,8.73,15.27,272.1
UT Martin (OVC),11,7-4,211,366,3094,30,8.45,14.66,281.3
Charleston So. (Big South),10,2-8,194,332,2817,24,8.48,14.52,281.7
Portland St. (Big Sky),11,4-7,240,377,3177,25,8.43,13.24,288.8
Cal Poly (Big Sky),11,2-9,238,353,3180,27,9.01,13.36,289.1
Mississippi Val. (SWAC),11,2-9,239,365,3204,24,8.78,13.41,291.3
Kennesaw St. (ASUN),11,5-6,236,350,3234,26,9.24,13.70,294.0
Fordham (Patriot),12,9-3,243,439,3575,30,8.14,14.71,297.9
Tex. A&M-Commerce (Southland),11,5-6,175,327,1737,10,5.31,9.93,157.9
Stonehill (NEC),9,4-5,129,220,1686,10,7.66,13.07,187.3
St. Thomas (MN) (Pioneer),11,10-1,184,348,2133,16,6.13,11.59,193.9
Merrimack (NEC),11,8-3,179,333,2440,14,7.33,13.63,221.8
Tarleton St. (WAC),11,6-5,207,346,2640,16,7.63,12.75,240.0
Lindenwood (OVC),10,7-3,205,342,2449,16,7.16,11.95,244.9
Utah Tech (WAC),11,4-7,251,402,3439,21,8.55,13.70,312.6
