Team,Games,Win-Loss,Penalties,Penalty Yards,Penalty Yards Per Game
Western Ill. (MVFC),11,0-11,45,349,31.73
Illinois St. (MVFC),11,6-5,46,355,32.27
Kennesaw St. (ASUN),11,5-6,48,361,32.82
Dayton (Pioneer),11,8-3,43,363,33.00
Nicholls (Southland),11,3-8,43,373,33.91
Indiana St. (MVFC),11,2-9,41,374,34.00
North Dakota (MVFC),12,7-5,44,423,35.25
UC Davis (Big Sky),11,6-5,45,396,36.00
Drake (Pioneer),11,3-8,51,403,36.64
McNeese (Southland),11,4-7,41,405,36.82
Eastern Ill. (OVC),11,2-9,49,415,37.73
Chattanooga (SoCon),11,7-4,39,416,37.82
Idaho St. (Big Sky),11,1-10,53,421,38.27
Duquesne (NEC),11,4-7,49,430,39.09
Stony Brook (CAA),11,2-9,54,433,39.36
Morehead St. (Pioneer),11,2-9,57,434,39.45
Columbia (Ivy League),10,6-4,49,396,39.60
UNI (MVFC),11,6-5,49,438,39.82
Lafayette (Patriot),11,4-7,57,443,40.27
Cal Poly (Big Sky),11,2-9,50,444,40.36
Richmond (CAA),13,9-4,54,528,40.62
Delaware (CAA),13,8-5,60,531,40.85
Butler (Pioneer),11,7-4,54,455,41.36
Jacksonville St. (ASUN),11,9-2,47,455,41.36
Monmouth (CAA),11,5-6,59,456,41.45
Wofford (SoCon),11,3-8,51,460,41.82
Dartmouth (Ivy League),10,3-7,49,423,42.30
Howard (MEAC),11,5-6,55,477,43.36
Montana (Big Sky),13,8-5,56,568,43.69
Montana St. (Big Sky),14,12-2,73,626,44.71
Alcorn (SWAC),11,5-6,49,493,44.82
Northern Ariz. (Big Sky),11,3-8,54,495,45.00
Bucknell (Patriot),11,3-8,60,496,45.09
South Dakota St. (MVFC),15,14-1,91,677,45.13
North Dakota St. (MVFC),15,12-3,72,683,45.53
Ark.-Pine Bluff (SWAC),11,3-8,41,504,45.82
Wagner (NEC),11,1-10,61,506,46.00
Maine (CAA),11,2-9,66,510,46.36
Tennessee Tech (OVC),11,4-7,66,511,46.45
Murray St. (OVC),11,2-9,57,518,47.09
Davidson (Pioneer),12,8-4,65,566,47.17
Robert Morris (Big South),11,0-11,61,520,47.27
VMI (SoCon),11,1-10,54,520,47.27
The Citadel (SoCon),11,4-7,67,523,47.55
Prairie View (SWAC),11,6-5,64,527,47.91
Charleston So. (Big South),10,2-8,51,484,48.40
Portland St. (Big Sky),11,4-7,63,540,49.09
Furman (SoCon),13,10-3,76,646,49.69
Presbyterian (Pioneer),11,1-10,54,547,49.73
Abilene Christian (WAC),11,7-4,58,548,49.82
Princeton (Ivy League),10,8-2,53,500,50.00
Colgate (Patriot),11,3-8,64,558,50.73
Brown (Ivy League),10,3-7,55,508,50.80
New Hampshire (CAA),13,9-4,78,662,50.92
Sam Houston (WAC),9,5-4,47,459,51.00
Penn (Ivy League),10,8-2,58,511,51.10
South Dakota (MVFC),11,3-8,68,564,51.27
Northern Colo. (Big Sky),11,3-8,69,567,51.55
Villanova (CAA),11,6-5,62,567,51.55
Yale (Ivy League),10,8-2,60,516,51.60
San Diego (Pioneer),10,5-5,59,520,52.00
Elon (CAA),12,8-4,76,628,52.33
Central Conn. St. (NEC),11,2-9,64,576,52.36
Hampton (CAA),11,4-7,67,578,52.55
Youngstown St. (MVFC),11,7-4,67,580,52.73
Eastern Ky. (ASUN),12,7-5,66,633,52.75
Samford (SoCon),13,11-2,76,690,53.08
ETSU (SoCon),11,3-8,63,586,53.27
Mercer (SoCon),11,7-4,59,589,53.55
Southeastern La. (Southland),13,9-4,84,700,53.85
North Ala. (ASUN),11,1-10,69,594,54.00
Sacramento St. (Big Sky),13,12-1,77,711,54.69
Idaho (Big Sky),12,7-5,75,657,54.75
Gardner-Webb (Big South),13,7-6,78,717,55.15
Georgetown (Patriot),11,2-9,68,607,55.18
Lehigh (Patriot),11,2-9,68,608,55.27
Marist (Pioneer),11,4-7,78,613,55.73
Norfolk St. (MEAC),11,2-9,68,616,56.00
UT Martin (OVC),11,7-4,70,617,56.09
Saint Francis (PA) (NEC),12,9-3,75,675,56.25
Southeast Mo. St. (OVC),12,9-3,64,679,56.58
Eastern Wash. (Big Sky),11,3-8,64,624,56.73
Southern Ill. (MVFC),11,5-6,70,625,56.82
Valparaiso (Pioneer),12,5-7,76,703,58.58
Weber St. (Big Sky),13,10-3,93,768,59.08
Cornell (Ivy League),10,5-5,64,593,59.30
Towson (CAA),11,6-5,66,657,59.73
UAlbany (CAA),11,3-8,77,660,60.00
N.C. Central (MEAC),12,10-2,72,727,60.58
Central Ark. (ASUN),11,5-6,69,675,61.36
South Carolina St. (MEAC),11,3-8,78,684,62.18
Houston Christian (Southland),11,2-9,74,690,62.73
Northwestern St. (Southland),11,4-7,74,691,62.82
Rhode Island (CAA),11,7-4,75,692,62.91
Harvard (Ivy League),10,6-4,73,632,63.20
SFA (ASUN),11,6-5,72,697,63.36
Tennessee St. (OVC),11,4-7,88,697,63.36
Missouri St. (MVFC),11,5-6,70,703,63.91
Fordham (Patriot),12,9-3,83,788,65.67
William & Mary (CAA),13,11-2,78,859,66.08
Lamar University (Southland),11,1-10,81,731,66.45
Southern Utah (WAC),11,5-6,79,737,67.00
Texas Southern (SWAC),11,5-6,70,737,67.00
Mississippi Val. (SWAC),11,2-9,79,739,67.18
Delaware St. (MEAC),11,5-6,87,754,68.55
Austin Peay (ASUN),11,7-4,80,770,70.00
Florida A&M (SWAC),11,9-2,87,770,70.00
LIU (NEC),11,4-7,89,776,70.55
Stetson (Pioneer),10,4-6,75,711,71.10
Southern U. (SWAC),12,7-5,104,856,71.33
Holy Cross (Patriot),13,12-1,102,941,72.38
N.C. A&T (Big South),11,7-4,89,804,73.09
Campbell (Big South),11,5-6,89,822,74.73
Jackson St. (SWAC),13,12-1,111,1002,77.08
Western Caro. (SoCon),11,6-5,87,851,77.36
UIW (Southland),14,12-2,109,1111,79.36
Bryant (Big South),11,4-7,97,880,80.00
Grambling (SWAC),11,3-8,111,902,82.00
Bethune-Cookman (SWAC),11,2-9,103,912,82.91
Sacred Heart (NEC),11,5-6,89,917,83.36
Morgan St. (MEAC),11,4-7,88,920,83.64
Alabama St. (SWAC),11,6-5,91,923,83.91
Alabama A&M (SWAC),11,4-7,93,931,84.64
Lindenwood (OVC),10,7-3,36,321,32.10
Stonehill (NEC),9,4-5,49,412,45.78
St. Thomas (MN) (Pioneer),11,10-1,60,607,55.18
Tarleton St. (WAC),11,6-5,64,620,56.36
Utah Tech (WAC),11,4-7,74,692,62.91
Merrimack (NEC),11,8-3,85,720,65.45
Tex. A&M-Commerce (Southland),11,5-6,94,803,73.00
