Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
UIW (Southland),14,12-2,95,68,528,129,9.2
Southern U. (SWAC),12,7-5,76,56,418,104,8.7
Southern Utah (WAC),11,5-6,70,50,373,95,8.6
San Diego (Pioneer),10,5-5,56,50,330,81,8.1
Alcorn (SWAC),11,5-6,64,50,412,89,8.1
Morgan St. (MEAC),11,4-7,73,32,347,89,8.1
South Carolina St. (MEAC),11,3-8,71,36,343,89,8.1
Montana (Big Sky),13,8-5,61,80,374,101,7.8
Florida A&M (SWAC),11,9-2,63,43,339,84,7.7
Delaware St. (MEAC),11,5-6,63,42,298,84,7.6
Jackson St. (SWAC),13,12-1,74,48,452,98,7.5
Penn (Ivy League),10,8-2,55,40,305,75,7.5
Bryant (Big South),11,4-7,66,30,329,81,7.4
Chattanooga (SoCon),11,7-4,64,34,352,81,7.4
Sam Houston (WAC),9,5-4,47,38,246,66,7.3
Austin Peay (ASUN),11,7-4,58,44,319,80,7.3
N.C. A&T (Big South),11,7-4,64,32,336,80,7.3
UT Martin (OVC),11,7-4,55,50,359,80,7.3
Prairie View (SWAC),11,6-5,59,40,319,79,7.2
Furman (SoCon),13,10-3,70,46,345,93,7.2
Harvard (Ivy League),10,6-4,59,24,249,71,7.1
Duquesne (NEC),11,4-7,70,16,284,78,7.1
Alabama A&M (SWAC),11,4-7,58,38,298,77,7.0
Stony Brook (CAA),11,2-9,64,26,296,77,7.0
Houston Christian (Southland),11,2-9,54,44,277,76,6.9
Yale (Ivy League),10,8-2,59,20,271,69,6.9
Alabama St. (SWAC),11,6-5,51,48,292,75,6.8
Tennessee Tech (OVC),11,4-7,55,40,285,75,6.8
Abilene Christian (WAC),11,7-4,56,36,219,74,6.7
Tennessee St. (OVC),11,4-7,56,36,255,74,6.7
Texas Southern (SWAC),11,5-6,60,28,251,74,6.7
Youngstown St. (MVFC),11,7-4,59,30,281,74,6.7
Jacksonville St. (ASUN),11,9-2,47,52,286,73,6.6
Portland St. (Big Sky),11,4-7,60,26,320,73,6.6
Sacred Heart (NEC),11,5-6,63,20,295,73,6.6
Illinois St. (MVFC),11,6-5,62,20,387,72,6.5
Northern Ariz. (Big Sky),11,3-8,52,40,301,72,6.5
Central Ark. (ASUN),11,5-6,48,46,295,71,6.5
Lehigh (Patriot),11,2-9,60,22,249,71,6.5
Southern Ill. (MVFC),11,5-6,53,34,301,70,6.4
Eastern Ill. (OVC),11,2-9,51,34,206,68,6.2
Robert Morris (Big South),11,0-11,55,26,187,68,6.2
Gardner-Webb (Big South),13,7-6,55,50,342,80,6.2
Ark.-Pine Bluff (SWAC),11,3-8,46,42,368,67,6.1
Kennesaw St. (ASUN),11,5-6,52,30,272,67,6.1
Northwestern St. (Southland),11,4-7,45,44,232,67,6.1
Weber St. (Big Sky),13,10-3,60,38,362,79,6.1
Richmond (CAA),13,9-4,63,30,313,78,6.0
Elon (CAA),12,8-4,54,36,323,72,6.0
Dayton (Pioneer),11,8-3,49,34,305,66,6.0
Grambling (SWAC),11,3-8,45,42,253,66,6.0
Mississippi Val. (SWAC),11,2-9,53,26,266,66,6.0
Rhode Island (CAA),11,7-4,57,18,278,66,6.0
SFA (ASUN),11,6-5,44,44,279,66,6.0
Stetson (Pioneer),10,4-6,41,38,190,60,6.0
LIU (NEC),11,4-7,52,26,240,65,5.9
