Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
Mercer (SoCon),11,7-4,46,38,303,65,5.9
Charleston So. (Big South),10,2-8,52,14,190,59,5.9
Valparaiso (Pioneer),12,5-7,48,44,302,70,5.8
Nicholls (Southland),11,3-8,50,28,210,64,5.8
Western Caro. (SoCon),11,6-5,54,20,270,64,5.8
New Hampshire (CAA),13,9-4,53,44,271,75,5.8
Fordham (Patriot),12,9-3,53,32,262,69,5.8
Southeast Mo. St. (OVC),12,9-3,44,50,256,69,5.8
Indiana St. (MVFC),11,2-9,45,36,309,63,5.7
Lafayette (Patriot),11,4-7,48,30,295,63,5.7
Murray St. (OVC),11,2-9,48,30,248,63,5.7
UC Davis (Big Sky),11,6-5,56,14,216,63,5.7
Hampton (CAA),11,4-7,46,32,227,62,5.6
Howard (MEAC),11,5-6,46,32,278,62,5.6
Columbia (Ivy League),10,6-4,40,30,175,55,5.5
South Dakota St. (MVFC),15,14-1,66,32,397,82,5.5
Campbell (Big South),11,5-6,49,22,278,60,5.5
Eastern Wash. (Big Sky),11,3-8,48,24,210,60,5.5
Western Ill. (MVFC),11,0-11,48,24,223,60,5.5
Eastern Ky. (ASUN),12,7-5,52,26,225,65,5.4
Saint Francis (PA) (NEC),12,9-3,52,26,302,65,5.4
North Dakota St. (MVFC),15,12-3,63,36,366,81,5.4
Norfolk St. (MEAC),11,2-9,42,34,198,59,5.4
Bethune-Cookman (SWAC),11,2-9,39,38,243,58,5.3
Idaho St. (Big Sky),11,1-10,42,32,196,58,5.3
McNeese (Southland),11,4-7,50,16,224,58,5.3
UAlbany (CAA),11,3-8,45,26,194,58,5.3
N.C. Central (MEAC),12,10-2,43,40,219,63,5.2
Montana St. (Big Sky),14,12-2,61,24,355,73,5.2
Dartmouth (Ivy League),10,3-7,34,36,178,52,5.2
ETSU (SoCon),11,3-8,46,22,224,57,5.2
Lamar University (Southland),11,1-10,37,40,208,57,5.2
Marist (Pioneer),11,4-7,38,38,200,57,5.2
Princeton (Ivy League),10,8-2,43,16,203,51,5.1
Drake (Pioneer),11,3-8,42,28,186,56,5.1
Holy Cross (Patriot),13,12-1,55,22,314,66,5.1
Delaware (CAA),13,8-5,44,42,273,65,5.0
Samford (SoCon),13,11-2,55,20,264,65,5.0
William & Mary (CAA),13,11-2,54,22,278,65,5.0
Cal Poly (Big Sky),11,2-9,47,16,202,55,5.0
Central Conn. St. (NEC),11,2-9,39,32,197,55,5.0
Monmouth (CAA),11,5-6,46,18,243,55,5.0
Southeastern La. (Southland),13,9-4,49,30,223,64,4.9
VMI (SoCon),11,1-10,41,26,182,54,4.9
Wagner (NEC),11,1-10,39,30,202,54,4.9
Bucknell (Patriot),11,3-8,41,24,218,53,4.8
Idaho (Big Sky),12,7-5,50,14,267,57,4.8
Morehead St. (Pioneer),11,2-9,35,34,208,52,4.7
Villanova (CAA),11,6-5,42,20,202,52,4.7
Davidson (Pioneer),12,8-4,42,28,211,56,4.7
Butler (Pioneer),11,7-4,39,24,190,51,4.6
Colgate (Patriot),11,3-8,38,26,199,51,4.6
Missouri St. (MVFC),11,5-6,40,22,184,51,4.6
Presbyterian (Pioneer),11,1-10,44,14,212,51,4.6
Sacramento St. (Big Sky),13,12-1,47,26,247,60,4.6
Towson (CAA),11,6-5,38,24,194,50,4.5
Georgetown (Patriot),11,2-9,36,26,186,49,4.5
South Dakota (MVFC),11,3-8,37,24,166,49,4.5
UNI (MVFC),11,6-5,35,26,188,48,4.4
North Dakota (MVFC),12,7-5,43,16,248,51,4.2
North Ala. (ASUN),11,1-10,33,26,160,46,4.2
The Citadel (SoCon),11,4-7,32,28,182,46,4.2
Maine (CAA),11,2-9,26,38,199,45,4.1
Wofford (SoCon),11,3-8,34,20,186,44,4.0
Northern Colo. (Big Sky),11,3-8,32,22,163,43,3.9
Brown (Ivy League),10,3-7,36,6,137,39,3.9
Cornell (Ivy League),10,5-5,33,10,163,38,3.8
Merrimack (NEC),11,8-3,69,38,358,88,8.0
St. Thomas (MN) (Pioneer),11,10-1,53,68,412,87,7.9
Tex. A&M-Commerce (Southland),11,5-6,56,56,329,84,7.6
Tarleton St. (WAC),11,6-5,63,34,335,80,7.3
Utah Tech (WAC),11,4-7,48,38,214,67,6.1
Stonehill (NEC),9,4-5,32,26,156,45,5.0
Lindenwood (OVC),10,7-3,33,28,185,47,4.7
