Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
South Dakota St. (MVFC),15,14-1,465,1322,2.84,13,88.1
Penn (Ivy League),10,8-2,312,892,2.86,7,89.2
Princeton (Ivy League),10,8-2,297,907,3.05,3,90.7
Harvard (Ivy League),10,6-4,336,965,2.87,12,96.5
Columbia (Ivy League),10,6-4,309,980,3.17,7,98.0
Southern Ill. (MVFC),11,5-6,354,1159,3.27,14,105.4
Yale (Ivy League),10,8-2,293,1059,3.61,9,105.9
Lafayette (Patriot),11,4-7,371,1174,3.16,16,106.7
Chattanooga (SoCon),11,7-4,386,1188,3.08,9,108.0
Sam Houston (WAC),9,5-4,306,974,3.18,6,108.2
N.C. A&T (Big South),11,7-4,356,1197,3.36,20,108.8
Dayton (Pioneer),11,8-3,338,1203,3.56,11,109.4
Southern U. (SWAC),12,7-5,407,1337,3.29,12,111.4
Southeast Mo. St. (OVC),12,9-3,385,1338,3.48,10,111.5
Abilene Christian (WAC),11,7-4,344,1276,3.71,11,116.0
Furman (SoCon),13,10-3,409,1511,3.69,11,116.2
Richmond (CAA),13,9-4,410,1518,3.70,15,116.8
Delaware St. (MEAC),11,5-6,347,1285,3.70,11,116.8
Jackson St. (SWAC),13,12-1,474,1521,3.21,12,117.0
Holy Cross (Patriot),13,12-1,401,1555,3.88,10,119.6
Mercer (SoCon),11,7-4,380,1321,3.48,15,120.1
Youngstown St. (MVFC),11,7-4,367,1322,3.60,18,120.2
Kennesaw St. (ASUN),11,5-6,337,1353,4.01,19,123.0
San Diego (Pioneer),10,5-5,350,1245,3.56,10,124.5
UT Martin (OVC),11,7-4,412,1379,3.35,13,125.4
Alcorn (SWAC),11,5-6,420,1387,3.30,18,126.1
Cornell (Ivy League),10,5-5,339,1262,3.72,19,126.2
Florida A&M (SWAC),11,9-2,353,1407,3.99,9,127.9
Austin Peay (ASUN),11,7-4,409,1413,3.45,12,128.5
Elon (CAA),12,8-4,404,1550,3.84,12,129.2
N.C. Central (MEAC),12,10-2,369,1556,4.22,14,129.7
