Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
The Citadel (SoCon),11,4-7,400:22,36:24
Idaho (Big Sky),12,7-5,421:22,35:07
Kennesaw St. (ASUN),11,5-6,382:58,34:49
Montana St. (Big Sky),14,12-2,475:04,33:56
Delaware St. (MEAC),11,5-6,371:10,33:45
Cornell (Ivy League),10,5-5,335:17,33:32
Alabama A&M (SWAC),11,4-7,367:26,33:24
North Dakota (MVFC),12,7-5,400:30,33:23
Dayton (Pioneer),11,8-3,366:37,33:20
Davidson (Pioneer),12,8-4,398:05,33:10
LIU (NEC),11,4-7,364:07,33:06
N.C. Central (MEAC),12,10-2,396:35,33:03
Southern Ill. (MVFC),11,5-6,363:21,33:02
Lamar University (Southland),11,1-10,358:37,32:36
South Dakota St. (MVFC),15,14-1,487:26,32:30
Furman (SoCon),13,10-3,422:16,32:29
Richmond (CAA),13,9-4,422:15,32:29
Southeastern La. (Southland),13,9-4,420:20,32:20
Portland St. (Big Sky),11,4-7,355:32,32:19
Holy Cross (Patriot),13,12-1,417:32,32:07
Jackson St. (SWAC),13,12-1,415:23,31:57
New Hampshire (CAA),13,9-4,414:58,31:55
Princeton (Ivy League),10,8-2,317:21,31:44
William & Mary (CAA),13,11-2,410:17,31:34
Yale (Ivy League),10,8-2,315:32,31:33
Valparaiso (Pioneer),12,5-7,377:58,31:30
Elon (CAA),12,8-4,377:12,31:26
North Dakota St. (MVFC),15,12-3,471:14,31:25
Bryant (Big South),11,4-7,345:03,31:22
Gardner-Webb (Big South),13,7-6,406:52,31:18
Duquesne (NEC),11,4-7,343:43,31:15
Central Conn. St. (NEC),11,2-9,342:53,31:10
N.C. A&T (Big South),11,7-4,342:44,31:09
Howard (MEAC),11,5-6,342:43,31:09
Saint Francis (PA) (NEC),12,9-3,373:36,31:08
Prairie View (SWAC),11,6-5,342:03,31:06
Southeast Mo. St. (OVC),12,9-3,371:04,30:55
Youngstown St. (MVFC),11,7-4,340:00,30:55
Penn (Ivy League),10,8-2,308:46,30:53
Tennessee Tech (OVC),11,4-7,338:59,30:49
Western Caro. (SoCon),11,6-5,338:50,30:48
Sacramento St. (Big Sky),13,12-1,400:18,30:48
Chattanooga (SoCon),11,7-4,338:08,30:44
Mississippi Val. (SWAC),11,2-9,336:50,30:37
San Diego (Pioneer),10,5-5,305:34,30:33
Nicholls (Southland),11,3-8,335:36,30:31
Butler (Pioneer),11,7-4,334:36,30:25
Wofford (SoCon),11,3-8,333:56,30:21
SFA (ASUN),11,6-5,332:43,30:15
Murray St. (OVC),11,2-9,332:37,30:14
Villanova (CAA),11,6-5,332:27,30:13
Alabama St. (SWAC),11,6-5,331:20,30:07
Florida A&M (SWAC),11,9-2,331:05,30:06
Georgetown (Patriot),11,2-9,330:18,30:02
UAlbany (CAA),11,3-8,329:24,29:57
Eastern Ky. (ASUN),12,7-5,359:19,29:57
Brown (Ivy League),10,3-7,299:20,29:56
Maine (CAA),11,2-9,329:12,29:56
ETSU (SoCon),11,3-8,328:55,29:54
Alcorn (SWAC),11,5-6,328:34,29:52
Southern U. (SWAC),12,7-5,357:40,29:48
Delaware (CAA),13,8-5,386:55,29:46
UNI (MVFC),11,6-5,326:38,29:42
Mercer (SoCon),11,7-4,326:36,29:41
Columbia (Ivy League),10,6-4,296:43,29:40
Towson (CAA),11,6-5,325:39,29:36
Fordham (Patriot),12,9-3,355:13,29:36
Missouri St. (MVFC),11,5-6,324:12,29:28
Bethune-Cookman (SWAC),11,2-9,323:54,29:27
Idaho St. (Big Sky),11,1-10,323:53,29:27
Southern Utah (WAC),11,5-6,323:42,29:26
Drake (Pioneer),11,3-8,323:23,29:24
Northern Colo. (Big Sky),11,3-8,322:17,29:18
Northwestern St. (Southland),11,4-7,322:13,29:18
Stony Brook (CAA),11,2-9,322:00,29:16
Sacred Heart (NEC),11,5-6,321:46,29:15
Austin Peay (ASUN),11,7-4,321:22,29:13
Campbell (Big South),11,5-6,321:08,29:12
UT Martin (OVC),11,7-4,320:50,29:10
Monmouth (CAA),11,5-6,320:44,29:09
Sam Houston (WAC),9,5-4,262:10,29:08
Presbyterian (Pioneer),11,1-10,319:53,29:05
Harvard (Ivy League),10,6-4,289:14,28:55
Eastern Ill. (OVC),11,2-9,317:50,28:54
Bucknell (Patriot),11,3-8,316:57,28:49
Lehigh (Patriot),11,2-9,316:34,28:47
Hampton (CAA),11,4-7,315:46,28:42
Lafayette (Patriot),11,4-7,315:42,28:42
Norfolk St. (MEAC),11,2-9,315:00,28:38
Tennessee St. (OVC),11,4-7,314:55,28:38
Colgate (Patriot),11,3-8,314:14,28:34
North Ala. (ASUN),11,1-10,314:08,28:33
South Carolina St. (MEAC),11,3-8,314:07,28:33
Morehead St. (Pioneer),11,2-9,314:01,28:33
Montana (Big Sky),13,8-5,370:58,28:32
UC Davis (Big Sky),11,6-5,313:40,28:31
Indiana St. (MVFC),11,2-9,309:32,28:08
Weber St. (Big Sky),13,10-3,364:52,28:04
Marist (Pioneer),11,4-7,307:40,27:58
Northern Ariz. (Big Sky),11,3-8,307:00,27:55
Illinois St. (MVFC),11,6-5,306:34,27:52
Cal Poly (Big Sky),11,2-9,306:33,27:52
Central Ark. (ASUN),11,5-6,306:01,27:49
Rhode Island (CAA),11,7-4,305:51,27:48
Dartmouth (Ivy League),10,3-7,277:33,27:45
McNeese (Southland),11,4-7,305:10,27:45
Ark.-Pine Bluff (SWAC),11,3-8,304:52,27:43
Robert Morris (Big South),11,0-11,301:29,27:24
Samford (SoCon),13,11-2,353:02,27:09
Grambling (SWAC),11,3-8,298:30,27:08
