Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
Jackson St. (SWAC),13,12-1,827,3281,3.97,20,21,252.4
South Dakota St. (MVFC),15,14-1,887,4111,4.63,28,30,274.1
Delaware (CAA),13,8-5,805,3674,4.56,25,28,282.6
Princeton (Ivy League),10,8-2,667,2997,4.49,14,17,299.7
N.C. A&T (Big South),11,7-4,684,3298,4.82,37,39,299.8
Southern U. (SWAC),12,7-5,778,3613,4.64,31,32,301.1
Delaware St. (MEAC),11,5-6,656,3473,5.29,26,32,315.7
Austin Peay (ASUN),11,7-4,745,3489,4.68,28,32,317.2
Florida A&M (SWAC),11,9-2,705,3501,4.97,27,33,318.3
Illinois St. (MVFC),11,6-5,711,3504,4.93,26,28,318.5
Alcorn (SWAC),11,5-6,720,3530,4.90,32,36,320.9
Chattanooga (SoCon),11,7-4,696,3549,5.10,28,29,322.6
Penn (Ivy League),10,8-2,669,3228,4.83,20,24,322.8
Weber St. (Big Sky),13,10-3,936,4213,4.50,28,31,324.1
Alabama St. (SWAC),11,6-5,725,3583,4.94,26,28,325.7
North Dakota St. (MVFC),15,12-3,961,4940,5.14,36,37,329.3
Holy Cross (Patriot),13,12-1,835,4309,5.16,35,36,331.5
Saint Francis (PA) (NEC),12,9-3,795,3996,5.03,30,35,333.0
Richmond (CAA),13,9-4,806,4335,5.38,33,35,333.5
N.C. Central (MEAC),12,10-2,737,4003,5.43,33,36,333.6
Davidson (Pioneer),12,8-4,710,4020,5.66,38,38,335.0
Howard (MEAC),11,5-6,652,3696,5.67,36,36,336.0
Morgan St. (MEAC),11,4-7,780,3699,4.74,39,40,336.3
Idaho (Big Sky),12,7-5,748,4042,5.40,39,40,336.8
Mercer (SoCon),11,7-4,753,3711,4.93,27,28,337.4
Montana (Big Sky),13,8-5,916,4393,4.80,31,35,337.9
Elon (CAA),12,8-4,791,4062,5.14,31,32,338.5
Yale (Ivy League),10,8-2,666,3395,5.10,25,25,339.5
Harvard (Ivy League),10,6-4,691,3413,4.94,30,30,341.3
Southern Ill. (MVFC),11,5-6,712,3778,5.31,38,39,343.5
Dayton (Pioneer),11,8-3,645,3788,5.87,31,32,344.4
The Citadel (SoCon),11,4-7,621,3795,6.11,34,36,345.0
Sacred Heart (NEC),11,5-6,712,3802,5.34,37,39,345.6
Dartmouth (Ivy League),10,3-7,687,3467,5.05,24,25,346.7
Drake (Pioneer),11,3-8,753,3826,5.08,33,39,347.8
Lafayette (Patriot),11,4-7,765,3827,5.00,30,31,347.9
Sam Houston (WAC),9,5-4,629,3141,4.99,21,22,349.0
Prairie View (SWAC),11,6-5,741,3862,5.21,34,38,351.1
Central Conn. St. (NEC),11,2-9,696,3876,5.57,38,42,352.4
Columbia (Ivy League),10,6-4,698,3526,5.05,23,25,352.6
South Carolina St. (MEAC),11,3-8,702,3895,5.55,41,44,354.1
