Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
Butler (Pioneer),11,7-4,7,39,0.64
Davidson (Pioneer),12,8-4,8,55,0.67
Yale (Ivy League),10,8-2,7,17,0.70
William & Mary (CAA),13,11-2,10,47,0.77
North Dakota St. (MVFC),15,12-3,13,97,0.87
Mercer (SoCon),11,7-4,10,59,0.91
UT Martin (OVC),11,7-4,10,81,0.91
Southeast Mo. St. (OVC),12,9-3,11,82,0.92
Northern Ariz. (Big Sky),11,3-8,11,103,1.00
UC Davis (Big Sky),11,6-5,11,83,1.00
Saint Francis (PA) (NEC),12,9-3,13,79,1.08
Furman (SoCon),13,10-3,15,87,1.15
Kennesaw St. (ASUN),11,5-6,13,95,1.18
Harvard (Ivy League),10,6-4,12,76,1.20
Sacramento St. (Big Sky),13,12-1,16,96,1.23
South Dakota St. (MVFC),15,14-1,19,130,1.27
Chattanooga (SoCon),11,7-4,14,66,1.27
Prairie View (SWAC),11,6-5,14,83,1.27
Tennessee Tech (OVC),11,4-7,14,68,1.27
Montana St. (Big Sky),14,12-2,18,96,1.29
UIW (Southland),14,12-2,18,106,1.29
N.C. A&T (Big South),11,7-4,15,90,1.36
Dartmouth (Ivy League),10,3-7,14,105,1.40
Hampton (CAA),11,4-7,16,96,1.45
Jacksonville St. (ASUN),11,9-2,16,89,1.45
Southeastern La. (Southland),13,9-4,19,106,1.46
Eastern Ky. (ASUN),12,7-5,18,100,1.50
N.C. Central (MEAC),12,10-2,18,86,1.50
Penn (Ivy League),10,8-2,15,122,1.50
Montana (Big Sky),13,8-5,20,144,1.54
Eastern Wash. (Big Sky),11,3-8,17,139,1.55
Marist (Pioneer),11,4-7,17,129,1.55
Nicholls (Southland),11,3-8,17,108,1.55
South Carolina St. (MEAC),11,3-8,17,126,1.55
Villanova (CAA),11,6-5,17,138,1.55
San Diego (Pioneer),10,5-5,16,119,1.60
Weber St. (Big Sky),13,10-3,21,115,1.62
Murray St. (OVC),11,2-9,18,99,1.64
Elon (CAA),12,8-4,20,76,1.67
Fordham (Patriot),12,9-3,20,171,1.67
Columbia (Ivy League),10,6-4,17,103,1.70
Cornell (Ivy League),10,5-5,17,87,1.70
Central Conn. St. (NEC),11,2-9,19,113,1.73
Duquesne (NEC),11,4-7,19,140,1.73
LIU (NEC),11,4-7,19,127,1.73
Norfolk St. (MEAC),11,2-9,19,144,1.73
Youngstown St. (MVFC),11,7-4,19,127,1.73
Jackson St. (SWAC),13,12-1,23,192,1.77
Georgetown (Patriot),11,2-9,20,128,1.82
Lamar University (Southland),11,1-10,20,112,1.82
Lehigh (Patriot),11,2-9,20,167,1.82
Southern Utah (WAC),11,5-6,20,110,1.82
Wofford (SoCon),11,3-8,20,156,1.82
Abilene Christian (WAC),11,7-4,21,147,1.91
Bucknell (Patriot),11,3-8,21,112,1.91
Florida A&M (SWAC),11,9-2,21,152,1.91
Rhode Island (CAA),11,7-4,21,137,1.91
The Citadel (SoCon),11,4-7,21,108,1.91
UNI (MVFC),11,6-5,21,157,1.91
Western Caro. (SoCon),11,6-5,21,121,1.91
New Hampshire (CAA),13,9-4,25,154,1.92
Central Ark. (ASUN),11,5-6,22,143,2.00
Holy Cross (Patriot),13,12-1,26,151,2.00
Richmond (CAA),13,9-4,26,190,2.00
Sam Houston (WAC),9,5-4,18,135,2.00
ETSU (SoCon),11,3-8,23,161,2.09
Maine (CAA),11,2-9,23,131,2.09
Northwestern St. (Southland),11,4-7,23,126,2.09
SFA (ASUN),11,6-5,23,104,2.09
Gardner-Webb (Big South),13,7-6,28,209,2.15
North Dakota (MVFC),12,7-5,26,205,2.17
Alabama A&M (SWAC),11,4-7,24,179,2.18
Illinois St. (MVFC),11,6-5,24,160,2.18
Portland St. (Big Sky),11,4-7,24,173,2.18
Delaware (CAA),13,8-5,29,193,2.23
Idaho (Big Sky),12,7-5,27,174,2.25
Southern U. (SWAC),12,7-5,27,155,2.25
Ark.-Pine Bluff (SWAC),11,3-8,25,138,2.27
Bryant (Big South),11,4-7,25,183,2.27
Southern Ill. (MVFC),11,5-6,25,177,2.27
Texas Southern (SWAC),11,5-6,25,114,2.27
Drake (Pioneer),11,3-8,26,179,2.36
Brown (Ivy League),10,3-7,24,171,2.40
Indiana St. (MVFC),11,2-9,27,151,2.45
Towson (CAA),11,6-5,27,176,2.45
Samford (SoCon),13,11-2,33,214,2.54
Dayton (Pioneer),11,8-3,28,145,2.55
North Ala. (ASUN),11,1-10,28,223,2.55
Northern Colo. (Big Sky),11,3-8,28,180,2.55
Cal Poly (Big Sky),11,2-9,29,178,2.64
Colgate (Patriot),11,3-8,29,175,2.64
Howard (MEAC),11,5-6,29,194,2.64
Monmouth (CAA),11,5-6,29,183,2.64
Morehead St. (Pioneer),11,2-9,29,242,2.64
Western Ill. (MVFC),11,0-11,29,196,2.64
Princeton (Ivy League),10,8-2,27,162,2.70
Alabama St. (SWAC),11,6-5,30,243,2.73
Morgan St. (MEAC),11,4-7,30,187,2.73
Alcorn (SWAC),11,5-6,31,217,2.82
Austin Peay (ASUN),11,7-4,31,217,2.82
Campbell (Big South),11,5-6,31,226,2.82
Eastern Ill. (OVC),11,2-9,31,226,2.82
Charleston So. (Big South),10,2-8,29,185,2.90
Stetson (Pioneer),10,4-6,29,210,2.90
Idaho St. (Big Sky),11,1-10,32,187,2.91
Sacred Heart (NEC),11,5-6,32,185,2.91
Stony Brook (CAA),11,2-9,32,198,2.91
Valparaiso (Pioneer),12,5-7,37,293,3.08
South Dakota (MVFC),11,3-8,34,238,3.09
Wagner (NEC),11,1-10,34,233,3.09
Delaware St. (MEAC),11,5-6,35,245,3.18
Grambling (SWAC),11,3-8,35,278,3.18
Mississippi Val. (SWAC),11,2-9,35,218,3.18
Houston Christian (Southland),11,2-9,36,272,3.27
Robert Morris (Big South),11,0-11,36,199,3.27
VMI (SoCon),11,1-10,36,245,3.27
Tennessee St. (OVC),11,4-7,37,281,3.36
UAlbany (CAA),11,3-8,38,237,3.45
Lafayette (Patriot),11,4-7,39,244,3.55
Bethune-Cookman (SWAC),11,2-9,42,281,3.82
McNeese (Southland),11,4-7,43,269,3.91
Missouri St. (MVFC),11,5-6,45,288,4.09
Presbyterian (Pioneer),11,1-10,46,347,4.18
St. Thomas (MN) (Pioneer),11,10-1,12,85,1.09
Stonehill (NEC),9,4-5,18,139,2.00
Tarleton St. (WAC),11,6-5,22,155,2.00
Merrimack (NEC),11,8-3,23,137,2.09
Tex. A&M-Commerce (Southland),11,5-6,27,161,2.45
Utah Tech (WAC),11,4-7,28,219,2.55
Lindenwood (OVC),10,7-3,35,199,3.50
