Team,Games,Win-Loss,Opp Kickoff Returns,Opponent Kickoff Return Yards,Opp Kickoff Return Touchdowns Allowed,Avg Yards per Kickoff Return Allowed
Abilene Christian (WAC),11,7-4,15,176,0,11.73
Norfolk St. (MEAC),11,2-9,26,331,0,12.73
Alcorn (SWAC),11,5-6,41,561,0,13.68
Saint Francis (PA) (NEC),12,9-3,40,556,0,13.90
Cornell (Ivy League),10,5-5,16,231,1,14.44
Alabama A&M (SWAC),11,4-7,37,545,0,14.73
Delaware St. (MEAC),11,5-6,31,467,1,15.06
Duquesne (NEC),11,4-7,35,531,0,15.17
Dayton (Pioneer),11,8-3,30,471,0,15.70
The Citadel (SoCon),11,4-7,28,441,0,15.75
Mercer (SoCon),11,7-4,54,858,0,15.89
Montana (Big Sky),13,8-5,41,656,0,16.00
New Hampshire (CAA),13,9-4,39,629,0,16.13
Davidson (Pioneer),12,8-4,59,956,0,16.20
Stony Brook (CAA),11,2-9,22,360,0,16.36
Drake (Pioneer),11,3-8,29,477,1,16.45
Texas Southern (SWAC),11,5-6,40,659,1,16.48
Cal Poly (Big Sky),11,2-9,28,462,0,16.50
Portland St. (Big Sky),11,4-7,24,397,1,16.54
Hampton (CAA),11,4-7,14,234,0,16.71
Delaware (CAA),13,8-5,50,855,0,17.10
South Carolina St. (MEAC),11,3-8,46,790,0,17.17
Yale (Ivy League),10,8-2,23,398,0,17.30
Illinois St. (MVFC),11,6-5,24,418,0,17.42
Butler (Pioneer),11,7-4,35,615,0,17.57
Villanova (CAA),11,6-5,42,739,0,17.60
Lafayette (Patriot),11,4-7,21,376,0,17.90
Nicholls (Southland),11,3-8,20,359,0,17.95
Sam Houston (WAC),9,5-4,21,377,0,17.95
Western Ill. (MVFC),11,0-11,17,308,0,18.12
SFA (ASUN),11,6-5,35,640,0,18.29
Jackson St. (SWAC),13,12-1,54,989,0,18.31
Eastern Ill. (OVC),11,2-9,22,403,0,18.32
Columbia (Ivy League),10,6-4,16,295,0,18.44
VMI (SoCon),11,1-10,25,462,0,18.48
Austin Peay (ASUN),11,7-4,22,407,0,18.50
Harvard (Ivy League),10,6-4,15,278,0,18.53
William & Mary (CAA),13,11-2,37,687,0,18.57
UAlbany (CAA),11,3-8,29,539,0,18.59
Youngstown St. (MVFC),11,7-4,29,541,0,18.66
Charleston So. (Big South),10,2-8,24,451,1,18.79
Bucknell (Patriot),11,3-8,27,508,0,18.81
LIU (NEC),11,4-7,33,623,0,18.88
Holy Cross (Patriot),13,12-1,44,833,0,18.93
Florida A&M (SWAC),11,9-2,30,570,0,19.00
Monmouth (CAA),11,5-6,43,818,1,19.02
Colgate (Patriot),11,3-8,17,325,0,19.12
Tennessee Tech (OVC),11,4-7,28,538,0,19.21
Southern Utah (WAC),11,5-6,26,500,0,19.23
Howard (MEAC),11,5-6,43,830,0,19.30
Alabama St. (SWAC),11,6-5,45,870,0,19.33
Chattanooga (SoCon),11,7-4,42,815,1,19.40
Maine (CAA),11,2-9,31,602,0,19.42
Southern U. (SWAC),12,7-5,32,623,0,19.47
Sacred Heart (NEC),11,5-6,23,449,0,19.52
N.C. Central (MEAC),12,10-2,56,1095,2,19.55
Campbell (Big South),11,5-6,45,881,0,19.58
Sacramento St. (Big Sky),13,12-1,52,1026,1,19.73
Morgan St. (MEAC),11,4-7,33,652,0,19.76
UC Davis (Big Sky),11,6-5,33,653,0,19.79
UIW (Southland),14,12-2,66,1308,0,19.82
Towson (CAA),11,6-5,31,615,0,19.84
Fordham (Patriot),12,9-3,68,1350,2,19.85
Elon (CAA),12,8-4,14,279,0,19.93
Northwestern St. (Southland),11,4-7,24,483,0,20.12
Kennesaw St. (ASUN),11,5-6,19,384,0,20.21
Southern Ill. (MVFC),11,5-6,31,627,0,20.23
Richmond (CAA),13,9-4,51,1032,2,20.24
Samford (SoCon),13,11-2,35,711,0,20.31
Princeton (Ivy League),10,8-2,31,632,0,20.39
Gardner-Webb (Big South),13,7-6,43,877,1,20.40
South Dakota (MVFC),11,3-8,13,266,0,20.46
Furman (SoCon),13,10-3,28,580,0,20.71
Stetson (Pioneer),10,4-6,48,996,0,20.75
UNI (MVFC),11,6-5,31,650,0,20.97
Dartmouth (Ivy League),10,3-7,25,528,1,21.12
Bethune-Cookman (SWAC),11,2-9,46,976,1,21.22
UT Martin (OVC),11,7-4,34,724,0,21.29
Tennessee St. (OVC),11,4-7,32,682,0,21.31
ETSU (SoCon),11,3-8,25,533,0,21.32
Wofford (SoCon),11,3-8,32,688,0,21.50
Missouri St. (MVFC),11,5-6,41,884,0,21.56
Idaho (Big Sky),12,7-5,21,453,0,21.57
N.C. A&T (Big South),11,7-4,32,695,0,21.72
Southeast Mo. St. (OVC),12,9-3,50,1098,1,21.96
Western Caro. (SoCon),11,6-5,25,549,1,21.96
Morehead St. (Pioneer),11,2-9,39,860,2,22.05
Penn (Ivy League),10,8-2,35,772,2,22.06
Grambling (SWAC),11,3-8,33,730,1,22.12
Rhode Island (CAA),11,7-4,38,842,0,22.16
Lamar University (Southland),11,1-10,19,423,0,22.26
Ark.-Pine Bluff (SWAC),11,3-8,31,691,0,22.29
Eastern Ky. (ASUN),12,7-5,37,826,0,22.32
Marist (Pioneer),11,4-7,36,805,1,22.36
Wagner (NEC),11,1-10,22,492,1,22.36
North Dakota St. (MVFC),15,12-3,45,1008,0,22.40
South Dakota St. (MVFC),15,14-1,38,852,0,22.42
Montana St. (Big Sky),14,12-2,34,763,1,22.44
North Ala. (ASUN),11,1-10,22,495,1,22.50
Prairie View (SWAC),11,6-5,45,1014,0,22.53
Weber St. (Big Sky),13,10-3,36,813,2,22.58
Bryant (Big South),11,4-7,37,837,0,22.62
North Dakota (MVFC),12,7-5,36,818,0,22.72
Southeastern La. (Southland),13,9-4,35,798,1,22.80
Houston Christian (Southland),11,2-9,29,663,1,22.86
Central Conn. St. (NEC),11,2-9,24,556,0,23.17
Lehigh (Patriot),11,2-9,31,720,0,23.23
Robert Morris (Big South),11,0-11,12,282,0,23.50
Idaho St. (Big Sky),11,1-10,19,449,0,23.63
San Diego (Pioneer),10,5-5,30,719,1,23.97
Presbyterian (Pioneer),11,1-10,31,745,1,24.03
Jacksonville St. (ASUN),11,9-2,16,385,0,24.06
Central Ark. (ASUN),11,5-6,30,730,2,24.33
Murray St. (OVC),11,2-9,16,391,2,24.44
Mississippi Val. (SWAC),11,2-9,25,619,1,24.76
Georgetown (Patriot),11,2-9,38,958,1,25.21
Indiana St. (MVFC),11,2-9,14,356,1,25.43
Valparaiso (Pioneer),12,5-7,35,892,2,25.49
Northern Ariz. (Big Sky),11,3-8,23,598,1,26.00
McNeese (Southland),11,4-7,18,471,1,26.17
