Team,Games,Win-Loss,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game
Fordham (Patriot),12,9-3,507,333,10,4965,9.79,14.91,58,413.8
UIW (Southland),14,12-2,499,349,9,5126,10.27,14.69,62,366.1
Eastern Ky. (ASUN),12,7-5,459,315,8,3956,8.62,12.56,33,329.7
Bryant (Big South),11,4-7,449,274,15,3486,7.76,12.72,29,316.9
Cal Poly (Big Sky),11,2-9,466,272,16,3447,7.40,12.67,25,313.4
Samford (SoCon),13,11-2,524,391,4,3957,7.55,10.12,40,304.4
Western Caro. (SoCon),11,6-5,400,262,20,3312,8.28,12.64,30,301.1
Jackson St. (SWAC),13,12-1,512,355,7,3870,7.56,10.90,42,297.7
Stetson (Pioneer),10,4-6,402,235,10,2959,7.36,12.59,21,295.9
UC Davis (Big Sky),11,6-5,396,275,7,3245,8.19,11.80,23,295.0
UNI (MVFC),11,6-5,330,214,7,3173,9.62,14.83,26,288.5
Mercer (SoCon),11,7-4,338,223,9,3109,9.20,13.94,33,282.6
Richmond (CAA),13,9-4,522,382,5,3673,7.04,9.62,31,282.5
Georgetown (Patriot),11,2-9,461,302,12,3034,6.58,10.05,18,275.8
UAlbany (CAA),11,3-8,380,229,4,3027,7.97,13.22,25,275.2
Princeton (Ivy League),10,8-2,352,243,5,2742,7.79,11.28,16,274.2
UT Martin (OVC),11,7-4,391,236,11,2963,7.58,12.56,18,269.4
Northwestern St. (Southland),11,4-7,502,280,18,2958,5.89,10.56,21,268.9
Northern Ariz. (Big Sky),11,3-8,464,298,8,2930,6.31,9.83,17,266.4
Southern Ill. (MVFC),11,5-6,369,254,7,2927,7.93,11.52,21,266.1
Delaware (CAA),13,8-5,487,306,10,3450,7.08,11.27,33,265.4
Campbell (Big South),11,5-6,376,233,11,2915,7.75,12.51,16,265.0
SFA (ASUN),11,6-5,361,217,5,2908,8.06,13.40,25,264.4
Central Ark. (ASUN),11,5-6,340,205,10,2904,8.54,14.17,22,264.0
Gardner-Webb (Big South),13,7-6,443,281,17,3417,7.71,12.16,21,262.8
Idaho (Big Sky),12,7-5,342,231,8,3144,9.19,13.61,29,262.0
Southern Utah (WAC),11,5-6,378,246,8,2862,7.57,11.63,20,260.2
Florida A&M (SWAC),11,9-2,411,235,12,2845,6.92,12.11,22,258.6
Abilene Christian (WAC),11,7-4,406,241,10,2823,6.95,11.71,23,256.6
Sacramento St. (Big Sky),13,12-1,433,271,16,3335,7.70,12.31,31,256.5
Eastern Wash. (Big Sky),11,3-8,395,250,10,2789,7.06,11.16,25,253.5
Penn (Ivy League),10,8-2,399,260,7,2515,6.30,9.67,18,251.5
Chattanooga (SoCon),11,7-4,324,195,11,2738,8.45,14.04,17,248.9
Brown (Ivy League),10,3-7,425,264,17,2472,5.82,9.36,15,247.2
Missouri St. (MVFC),11,5-6,346,213,6,2715,7.85,12.75,18,246.8
Saint Francis (PA) (NEC),12,9-3,338,213,6,2959,8.75,13.89,30,246.6
San Diego (Pioneer),10,5-5,344,206,7,2451,7.12,11.90,25,245.1
New Hampshire (CAA),13,9-4,423,263,8,3157,7.46,12.00,27,242.8
Southeast Mo. St. (OVC),12,9-3,389,233,7,2911,7.48,12.49,19,242.6
Southeastern La. (Southland),13,9-4,412,260,8,3151,7.65,12.12,22,242.4
Rhode Island (CAA),11,7-4,329,177,7,2589,7.87,14.63,19,235.4
N.C. Central (MEAC),12,10-2,328,207,10,2817,8.59,13.61,26,234.8
Austin Peay (ASUN),11,7-4,362,213,11,2580,7.13,12.11,22,234.5
Monmouth (CAA),11,5-6,291,185,9,2566,8.82,13.87,21,233.3
Elon (CAA),12,8-4,329,202,4,2784,8.46,13.78,21,232.0
Sacred Heart (NEC),11,5-6,350,222,6,2541,7.26,11.45,11,231.0
Harvard (Ivy League),10,6-4,307,182,10,2301,7.50,12.64,19,230.1
Northern Colo. (Big Sky),11,3-8,418,246,14,2514,6.01,10.22,17,228.5
North Dakota (MVFC),12,7-5,377,253,5,2738,7.26,10.82,20,228.2
Houston Christian (Southland),11,2-9,443,261,17,2509,5.66,9.61,17,228.1
Marist (Pioneer),11,4-7,412,230,15,2496,6.06,10.85,13,226.9
Wofford (SoCon),11,3-8,331,188,8,2485,7.51,13.22,12,225.9
Montana (Big Sky),13,8-5,418,255,10,2924,7.00,11.47,27,224.9
LIU (NEC),11,4-7,335,207,11,2466,7.36,11.91,17,224.2
Lehigh (Patriot),11,2-9,391,222,10,2442,6.25,11.00,12,222.0
Bethune-Cookman (SWAC),11,2-9,364,206,13,2437,6.70,11.83,14,221.5
Alabama A&M (SWAC),11,4-7,355,202,15,2420,6.82,11.98,11,220.0
Tennessee Tech (OVC),11,4-7,339,209,12,2418,7.13,11.57,20,219.8
Duquesne (NEC),11,4-7,357,204,17,2404,6.73,11.78,23,218.5
Butler (Pioneer),11,7-4,328,209,10,2392,7.29,11.44,20,217.5
Valparaiso (Pioneer),12,5-7,352,206,10,2583,7.34,12.54,17,215.2
Morehead St. (Pioneer),11,2-9,420,217,12,2367,5.64,10.91,16,215.2
Columbia (Ivy League),10,6-4,315,194,10,2145,6.81,11.06,17,214.5
Presbyterian (Pioneer),11,1-10,326,178,16,2342,7.18,13.16,12,212.9
Charleston So. (Big South),10,2-8,376,204,15,2118,5.63,10.38,15,211.8
