Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
UIW (Southland),14,12-2,99,90,3,0,9,2,721,51.5
Fordham (Patriot),12,9-3,80,76,1,0,12,0,594,49.5
Montana St. (Big Sky),14,12-2,75,71,0,0,24,4,601,42.9
Sacramento St. (Big Sky),13,12-1,72,71,1,0,17,1,558,42.9
N.C. Central (MEAC),12,10-2,61,52,2,0,13,1,463,38.6
Mercer (SoCon),11,7-4,56,54,0,0,10,0,420,38.2
Jackson St. (SWAC),13,12-1,64,55,3,0,13,3,490,37.7
Holy Cross (Patriot),13,12-1,64,57,1,0,13,2,486,37.4
Monmouth (CAA),11,5-6,54,41,7,0,7,0,400,36.4
Jacksonville St. (ASUN),11,9-2,51,49,1,0,13,1,398,36.2
Eastern Ky. (ASUN),12,7-5,55,48,7,0,14,0,434,36.2
Montana (Big Sky),13,8-5,63,53,1,0,11,2,470,36.2
Idaho (Big Sky),12,7-5,55,48,3,0,15,1,431,35.9
Saint Francis (PA) (NEC),12,9-3,54,49,1,0,18,1,431,35.9
UC Davis (Big Sky),11,6-5,49,41,3,0,18,0,395,35.9
Southeast Mo. St. (OVC),12,9-3,54,53,1,0,16,0,427,35.6
Southeastern La. (Southland),13,9-4,59,50,2,0,17,0,459,35.3
Weber St. (Big Sky),13,10-3,57,52,3,0,19,0,457,35.2
UT Martin (OVC),11,7-4,51,49,0,0,9,0,382,34.7
North Dakota St. (MVFC),15,12-3,69,67,2,0,10,0,515,34.3
SFA (ASUN),11,6-5,46,43,1,0,18,1,377,34.3
South Dakota St. (MVFC),15,14-1,65,61,4,0,18,0,513,34.2
William & Mary (CAA),13,11-2,55,51,0,0,18,0,435,33.5
Bryant (Big South),11,4-7,47,40,1,0,14,0,366,33.3
Furman (SoCon),13,10-3,54,52,0,0,18,0,430,33.1
UNI (MVFC),11,6-5,46,45,0,0,14,0,363,33.0
Samford (SoCon),13,11-2,58,51,0,0,9,0,426,32.8
Gardner-Webb (Big South),13,7-6,56,53,1,0,9,0,418,32.2
Central Ark. (ASUN),11,5-6,45,45,0,0,12,1,353,32.1
Davidson (Pioneer),12,8-4,52,48,1,0,7,0,383,31.9
Western Caro. (SoCon),11,6-5,43,40,1,0,17,0,351,31.9
Southern U. (SWAC),12,7-5,51,48,0,0,8,1,380,31.7
Austin Peay (ASUN),11,7-4,45,44,0,0,11,0,347,31.5
Richmond (CAA),13,9-4,49,45,0,0,22,1,407,31.3
Campbell (Big South),11,5-6,43,39,1,0,14,0,341,31.0
Rhode Island (CAA),11,7-4,46,41,3,0,4,1,337,30.6
Yale (Ivy League),10,8-2,38,36,0,0,13,1,305,30.5
North Dakota (MVFC),12,7-5,48,45,2,0,9,0,364,30.3
Southern Utah (WAC),11,5-6,42,34,2,0,13,1,331,30.1
Prairie View (SWAC),11,6-5,43,37,0,0,11,0,328,29.8
New Hampshire (CAA),13,9-4,50,45,2,0,11,2,386,29.7
UAlbany (CAA),11,3-8,43,39,0,0,9,1,326,29.6
ETSU (SoCon),11,3-8,39,38,0,0,17,0,323,29.4
Chattanooga (SoCon),11,7-4,41,39,0,0,11,1,320,29.1
N.C. A&T (Big South),11,7-4,39,35,1,0,14,1,315,28.6
North Ala. (ASUN),11,1-10,42,40,2,0,6,0,314,28.5
Youngstown St. (MVFC),11,7-4,38,32,3,0,16,0,314,28.5
Dayton (Pioneer),11,8-3,39,33,0,0,14,2,313,28.5
Howard (MEAC),11,5-6,42,37,2,0,6,0,311,28.3
Southern Ill. (MVFC),11,5-6,40,33,1,0,12,0,311,28.3
Abilene Christian (WAC),11,7-4,41,40,0,0,8,0,310,28.2
Delaware (CAA),13,8-5,50,44,2,0,6,0,366,28.2
San Diego (Pioneer),10,5-5,36,34,0,0,9,1,279,27.9
Stetson (Pioneer),10,4-6,36,36,0,0,9,0,279,27.9
Princeton (Ivy League),10,8-2,37,28,0,0,8,1,276,27.6
Kennesaw St. (ASUN),11,5-6,38,35,0,0,13,0,302,27.5
Missouri St. (MVFC),11,5-6,38,35,1,0,12,0,301,27.4
Butler (Pioneer),11,7-4,38,36,0,0,12,0,300,27.3
Harvard (Ivy League),10,6-4,34,33,1,0,10,0,269,26.9
Penn (Ivy League),10,8-2,35,29,0,0,9,0,266,26.6
Columbia (Ivy League),10,6-4,33,28,3,0,11,0,265,26.5
Villanova (CAA),11,6-5,37,35,1,0,10,0,289,26.3
Elon (CAA),12,8-4,37,31,1,0,18,0,309,25.8
Portland St. (Big Sky),11,4-7,38,37,0,0,5,1,282,25.6
Florida A&M (SWAC),11,9-2,33,30,0,0,17,1,281,25.5
Texas Southern (SWAC),11,5-6,37,26,3,0,9,0,281,25.5
Eastern Wash. (Big Sky),11,3-8,37,33,2,0,4,0,271,24.6
Sacred Heart (NEC),11,5-6,34,33,0,0,10,2,271,24.6
Duquesne (NEC),11,4-7,34,31,1,0,11,0,270,24.5
