Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Princeton (Ivy League),10,8-2,17,13,0,1,6,0,135,13.5
Jackson St. (SWAC),13,12-1,21,16,2,0,10,0,176,13.5
South Dakota St. (MVFC),15,14-1,30,26,0,0,9,2,237,15.8
Delaware (CAA),13,8-5,28,25,1,0,14,0,237,18.2
Yale (Ivy League),10,8-2,25,21,0,0,8,0,195,19.5
Penn (Ivy League),10,8-2,24,21,1,0,10,0,197,19.7
Richmond (CAA),13,9-4,35,28,1,0,7,0,261,20.1
Alabama St. (SWAC),11,6-5,28,20,0,0,10,2,222,20.2
North Dakota St. (MVFC),15,12-3,37,30,2,0,15,1,303,20.2
Furman (SoCon),13,10-3,33,30,0,0,11,1,263,20.2
Illinois St. (MVFC),11,6-5,28,24,1,0,10,0,224,20.4
Weber St. (Big Sky),13,10-3,31,29,1,0,12,6,265,20.4
Dartmouth (Ivy League),10,3-7,25,23,1,0,10,0,205,20.5
Chattanooga (SoCon),11,7-4,29,27,1,0,8,0,227,20.6
Sam Houston (WAC),9,5-4,22,22,0,0,11,0,187,20.8
Columbia (Ivy League),10,6-4,25,23,1,0,11,0,208,20.8
San Diego (Pioneer),10,5-5,27,23,2,0,7,0,210,21.0
Montana (Big Sky),13,8-5,35,34,1,0,9,2,277,21.3
Elon (CAA),12,8-4,32,32,0,0,10,1,256,21.3
N.C. Central (MEAC),12,10-2,36,27,0,0,5,0,258,21.5
Saint Francis (PA) (NEC),12,9-3,35,29,1,0,5,1,258,21.5
Holy Cross (Patriot),13,12-1,36,31,2,0,9,1,280,21.5
Butler (Pioneer),11,7-4,31,25,0,0,9,0,238,21.6
Lafayette (Patriot),11,4-7,31,23,1,0,8,2,239,21.7
UC Davis (Big Sky),11,6-5,29,26,0,0,13,0,239,21.7
Southern U. (SWAC),12,7-5,32,28,3,0,11,1,261,21.8
Mercer (SoCon),11,7-4,28,27,0,0,16,0,243,22.1
Austin Peay (ASUN),11,7-4,31,31,0,0,9,0,244,22.2
Abilene Christian (WAC),11,7-4,30,24,3,0,12,0,246,22.4
Dayton (Pioneer),11,8-3,32,31,0,0,8,0,247,22.5
William & Mary (CAA),13,11-2,38,30,1,0,11,0,293,22.5
Southeast Mo. St. (OVC),12,9-3,34,29,1,0,12,0,271,22.6
Florida A&M (SWAC),11,9-2,33,28,0,0,6,4,252,22.9
Jacksonville St. (ASUN),11,9-2,31,29,1,0,11,1,252,22.9
Delaware St. (MEAC),11,5-6,32,28,1,0,10,1,254,23.1
Harvard (Ivy League),10,6-4,30,23,3,0,9,0,236,23.6
Davidson (Pioneer),12,8-4,38,34,0,0,10,0,292,24.3
UIW (Southland),14,12-2,42,37,3,0,17,0,346,24.7
Tennessee St. (OVC),11,4-7,36,31,2,0,7,0,272,24.7
Alcorn (SWAC),11,5-6,36,35,0,0,7,1,274,24.9
The Citadel (SoCon),11,4-7,36,33,0,0,9,0,276,25.1
Howard (MEAC),11,5-6,36,32,1,0,9,1,279,25.4
Youngstown St. (MVFC),11,7-4,36,34,1,0,9,0,279,25.4
Idaho (Big Sky),12,7-5,40,34,1,0,9,1,305,25.4
Samford (SoCon),13,11-2,37,37,0,0,24,0,331,25.5
UNI (MVFC),11,6-5,34,28,3,0,15,0,283,25.7
Texas Southern (SWAC),11,5-6,37,34,0,0,9,1,285,25.9
Sacramento St. (Big Sky),13,12-1,44,39,2,0,10,0,337,25.9
Southeastern La. (Southland),13,9-4,47,44,0,0,4,0,338,26.0
Sacred Heart (NEC),11,5-6,39,34,1,0,5,1,287,26.1
N.C. A&T (Big South),11,7-4,39,37,1,0,6,0,291,26.5
Prairie View (SWAC),11,6-5,38,30,2,0,10,0,292,26.5
Rhode Island (CAA),11,7-4,36,33,4,0,12,0,293,26.6
Montana St. (Big Sky),14,12-2,49,41,4,0,10,0,373,26.6
Southern Ill. (MVFC),11,5-6,39,37,0,0,7,1,294,26.7
Hampton (CAA),11,4-7,38,35,1,0,11,0,298,27.1
Missouri St. (MVFC),11,5-6,39,34,1,0,10,0,300,27.3
Drake (Pioneer),11,3-8,38,33,2,0,12,1,303,27.5
Duquesne (NEC),11,4-7,41,37,1,0,6,0,303,27.5
Towson (CAA),11,6-5,40,32,2,0,10,0,306,27.8
