Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
N.C. Central (MEAC),12,10-2,38,11,11,3,25,0.658
Tennessee St. (OVC),11,4-7,44,12,12,5,29,0.659
Texas Southern (SWAC),11,5-6,34,13,5,5,23,0.676
Charleston So. (Big South),10,2-8,42,11,8,10,29,0.690
Princeton (Ivy League),10,8-2,23,3,9,4,16,0.696
Penn (Ivy League),10,8-2,33,6,10,7,23,0.697
Alabama St. (SWAC),11,6-5,43,15,7,8,30,0.698
South Dakota St. (MVFC),15,14-1,30,11,3,7,21,0.700
Valparaiso (Pioneer),12,5-7,44,18,7,6,31,0.705
Dartmouth (Ivy League),10,3-7,41,17,4,8,29,0.707
Lafayette (Patriot),11,4-7,45,16,8,8,32,0.711
Jacksonville St. (ASUN),11,9-2,46,12,13,8,33,0.717
Furman (SoCon),13,10-3,39,9,10,9,28,0.718
Yale (Ivy League),10,8-2,29,8,5,8,21,0.724
Morehead St. (Pioneer),11,2-9,44,19,10,3,32,0.727
William & Mary (CAA),13,11-2,53,19,12,8,39,0.736
Mississippi Val. (SWAC),11,2-9,50,12,12,13,37,0.740
Austin Peay (ASUN),11,7-4,31,9,7,7,23,0.742
Northwestern St. (Southland),11,4-7,48,11,17,8,36,0.750
Saint Francis (PA) (NEC),12,9-3,32,11,10,3,24,0.750
San Diego (Pioneer),10,5-5,28,9,7,5,21,0.750
Southeast Mo. St. (OVC),12,9-3,44,9,13,11,33,0.750
Ark.-Pine Bluff (SWAC),11,3-8,41,15,13,3,31,0.756
The Citadel (SoCon),11,4-7,41,13,10,8,31,0.756
Weber St. (Big Sky),13,10-3,37,8,11,9,28,0.757
Delaware St. (MEAC),11,5-6,29,6,9,7,22,0.759
Florida A&M (SWAC),11,9-2,29,6,11,5,22,0.759
Jackson St. (SWAC),13,12-1,30,10,4,9,23,0.767
Sam Houston (WAC),9,5-4,30,6,8,9,23,0.767
Alcorn (SWAC),11,5-6,39,16,8,6,30,0.769
Murray St. (OVC),11,2-9,48,18,8,11,37,0.771
Southern U. (SWAC),12,7-5,40,10,14,7,31,0.775
Robert Morris (Big South),11,0-11,45,14,12,9,35,0.778
UC Davis (Big Sky),11,6-5,41,11,11,10,32,0.780
Richmond (CAA),13,9-4,32,12,7,6,25,0.781
Holy Cross (Patriot),13,12-1,37,9,14,6,29,0.784
Campbell (Big South),11,5-6,42,15,11,7,33,0.786
Cornell (Ivy League),10,5-5,42,17,7,9,33,0.786
Mercer (SoCon),11,7-4,42,13,7,13,33,0.786
Dayton (Pioneer),11,8-3,29,7,9,7,23,0.793
Brown (Ivy League),10,3-7,34,10,8,9,27,0.794
VMI (SoCon),11,1-10,49,15,14,10,39,0.796
Eastern Wash. (Big Sky),11,3-8,64,25,18,8,51,0.797
Duquesne (NEC),11,4-7,40,18,10,4,32,0.800
Samford (SoCon),13,11-2,60,19,9,20,48,0.800
Colgate (Patriot),11,3-8,51,22,14,5,41,0.804
Cal Poly (Big Sky),11,2-9,46,20,9,8,37,0.804
Norfolk St. (MEAC),11,2-9,46,18,13,6,37,0.804
Prairie View (SWAC),11,6-5,46,19,11,7,37,0.804
Gardner-Webb (Big South),13,7-6,41,13,15,5,33,0.805
Abilene Christian (WAC),11,7-4,36,9,13,7,29,0.806
Central Ark. (ASUN),11,5-6,52,22,13,7,42,0.808
North Dakota (MVFC),12,7-5,52,16,18,8,42,0.808
Bryant (Big South),11,4-7,47,12,14,12,38,0.809
Morgan St. (MEAC),11,4-7,47,15,15,8,38,0.809
Alabama A&M (SWAC),11,4-7,42,15,15,4,34,0.810
Southern Utah (WAC),11,5-6,37,15,9,6,30,0.811
Georgetown (Patriot),11,2-9,53,23,13,7,43,0.811
Portland St. (Big Sky),11,4-7,48,22,15,2,39,0.812
Butler (Pioneer),11,7-4,38,15,9,7,31,0.816
Missouri St. (MVFC),11,5-6,38,15,7,9,31,0.816
Lehigh (Patriot),11,2-9,49,18,9,13,40,0.816
Harvard (Ivy League),10,6-4,33,11,11,5,27,0.818
Idaho (Big Sky),12,7-5,44,18,10,8,36,0.818
Lamar University (Southland),11,1-10,44,16,14,6,36,0.818
South Carolina St. (MEAC),11,3-8,44,18,12,6,36,0.818
UAlbany (CAA),11,3-8,44,17,15,4,36,0.818
Houston Christian (Southland),11,2-9,50,18,16,7,41,0.820
Bucknell (Patriot),11,3-8,39,21,7,4,32,0.821
Davidson (Pioneer),12,8-4,39,13,12,7,32,0.821
Sacred Heart (NEC),11,5-6,39,12,15,5,32,0.821
Delaware (CAA),13,8-5,34,13,8,7,28,0.824
Stetson (Pioneer),10,4-6,40,17,7,9,33,0.825
Marist (Pioneer),11,4-7,52,21,11,11,43,0.827
Idaho St. (Big Sky),11,1-10,58,24,16,8,48,0.828
UIW (Southland),14,12-2,58,23,10,15,48,0.828
Elon (CAA),12,8-4,30,7,11,7,25,0.833
Howard (MEAC),11,5-6,30,15,4,6,25,0.833
UT Martin (OVC),11,7-4,36,13,10,7,30,0.833
Monmouth (CAA),11,5-6,49,22,11,8,41,0.837
Maine (CAA),11,2-9,43,19,14,3,36,0.837
Drake (Pioneer),11,3-8,37,14,8,9,31,0.838
Southeastern La. (Southland),13,9-4,37,15,12,4,31,0.838
Eastern Ill. (OVC),11,2-9,44,18,11,8,37,0.841
SFA (ASUN),11,6-5,38,12,11,9,32,0.842
Northern Colo. (Big Sky),11,3-8,45,17,11,10,38,0.844
South Dakota (MVFC),11,3-8,46,16,13,10,39,0.848
Rhode Island (CAA),11,7-4,40,17,9,8,34,0.850
Columbia (Ivy League),10,6-4,34,6,14,9,29,0.853
Southern Ill. (MVFC),11,5-6,34,12,14,3,29,0.853
ETSU (SoCon),11,3-8,41,10,18,7,35,0.854
UNI (MVFC),11,6-5,41,16,6,13,35,0.854
Grambling (SWAC),11,3-8,49,19,13,10,42,0.857
Towson (CAA),11,6-5,36,11,12,8,31,0.861
Youngstown St. (MVFC),11,7-4,36,15,10,6,31,0.861
Chattanooga (SoCon),11,7-4,29,7,11,7,25,0.862
Wagner (NEC),11,1-10,58,28,12,10,50,0.862
Western Ill. (MVFC),11,0-11,58,32,8,10,50,0.862
Central Conn. St. (NEC),11,2-9,44,17,12,9,38,0.864
New Hampshire (CAA),13,9-4,44,22,12,4,38,0.864
Western Caro. (SoCon),11,6-5,44,17,14,7,38,0.864
Indiana St. (MVFC),11,2-9,45,24,12,3,39,0.867
McNeese (Southland),11,4-7,45,17,13,9,39,0.867
Villanova (CAA),11,6-5,38,11,14,8,33,0.868
Northern Ariz. (Big Sky),11,3-8,47,15,12,14,41,0.872
Hampton (CAA),11,4-7,40,8,16,11,35,0.875
Sacramento St. (Big Sky),13,12-1,40,14,11,10,35,0.875
Wofford (SoCon),11,3-8,42,17,11,9,37,0.881
North Dakota St. (MVFC),15,12-3,43,15,11,12,38,0.884
Bethune-Cookman (SWAC),11,2-9,52,24,14,8,46,0.885
LIU (NEC),11,4-7,53,27,10,10,47,0.887
Eastern Ky. (ASUN),12,7-5,54,24,16,8,48,0.889
Tennessee Tech (OVC),11,4-7,45,13,12,15,40,0.889
Montana (Big Sky),13,8-5,28,14,4,7,25,0.893
Presbyterian (Pioneer),11,1-10,47,23,16,3,42,0.894
Kennesaw St. (ASUN),11,5-6,39,12,15,8,35,0.897
N.C. A&T (Big South),11,7-4,39,19,10,6,35,0.897
Montana St. (Big Sky),14,12-2,31,10,12,6,28,0.903
North Ala. (ASUN),11,1-10,62,27,13,16,56,0.903
Fordham (Patriot),12,9-3,47,17,17,9,43,0.915
Stony Brook (CAA),11,2-9,38,11,16,8,35,0.921
Nicholls (Southland),11,3-8,42,19,16,4,39,0.929
Illinois St. (MVFC),11,6-5,31,15,8,7,30,0.968
St. Thomas (MN) (Pioneer),11,10-1,36,5,11,9,25,0.694
Tex. A&M-Commerce (Southland),11,5-6,33,14,5,6,25,0.758
Stonehill (NEC),9,4-5,28,11,2,9,22,0.786
Utah Tech (WAC),11,4-7,58,20,10,16,46,0.793
Lindenwood (OVC),10,7-3,39,15,9,7,31,0.795
Merrimack (NEC),11,8-3,37,12,6,13,31,0.838
Tarleton St. (WAC),11,6-5,36,14,9,10,33,0.917
