Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
Mercer (SoCon),11,7-4,17,20,0.850
N.C. Central (MEAC),12,10-2,9,12,0.750
Southeastern La. (Southland),13,9-4,23,33,0.697
Towson (CAA),11,6-5,16,23,0.696
Southern Ill. (MVFC),11,5-6,18,26,0.692
Montana St. (Big Sky),14,12-2,16,24,0.667
South Dakota St. (MVFC),15,14-1,8,12,0.667
Southeast Mo. St. (OVC),12,9-3,11,17,0.647
Northern Ariz. (Big Sky),11,3-8,20,31,0.645
Wofford (SoCon),11,3-8,9,14,0.643
Sacramento St. (Big Sky),13,12-1,16,25,0.640
Stony Brook (CAA),11,2-9,12,19,0.632
Florida A&M (SWAC),11,9-2,10,16,0.625
Tennessee Tech (OVC),11,4-7,18,29,0.621
Samford (SoCon),13,11-2,13,21,0.619
Mississippi Val. (SWAC),11,2-9,11,18,0.611
North Dakota (MVFC),12,7-5,14,23,0.609
UIW (Southland),14,12-2,21,35,0.600
Portland St. (Big Sky),11,4-7,15,25,0.600
Villanova (CAA),11,6-5,12,20,0.600
Butler (Pioneer),11,7-4,16,27,0.593
Missouri St. (MVFC),11,5-6,13,22,0.591
Illinois St. (MVFC),11,6-5,8,14,0.571
Northern Colo. (Big Sky),11,3-8,17,30,0.567
Duquesne (NEC),11,4-7,9,16,0.562
Saint Francis (PA) (NEC),12,9-3,9,16,0.562
William & Mary (CAA),13,11-2,9,16,0.562
Holy Cross (Patriot),13,12-1,14,25,0.560
UC Davis (Big Sky),11,6-5,14,25,0.560
Cornell (Ivy League),10,5-5,15,27,0.556
Kennesaw St. (ASUN),11,5-6,17,31,0.548
Abilene Christian (WAC),11,7-4,6,11,0.545
UNI (MVFC),11,6-5,6,11,0.545
Idaho (Big Sky),12,7-5,15,28,0.536
New Hampshire (CAA),13,9-4,15,28,0.536
LIU (NEC),11,4-7,8,15,0.533
North Ala. (ASUN),11,1-10,10,19,0.526
North Dakota St. (MVFC),15,12-3,10,19,0.526
Colgate (Patriot),11,3-8,11,21,0.524
Penn (Ivy League),10,8-2,13,25,0.520
Princeton (Ivy League),10,8-2,13,25,0.520
Southern Utah (WAC),11,5-6,14,27,0.519
Alabama A&M (SWAC),11,4-7,17,34,0.500
Monmouth (CAA),11,5-6,15,30,0.500
Austin Peay (ASUN),11,7-4,13,26,0.500
SFA (ASUN),11,6-5,12,24,0.500
N.C. A&T (Big South),11,7-4,8,16,0.500
Delaware St. (MEAC),11,5-6,5,10,0.500
The Citadel (SoCon),11,4-7,18,37,0.486
Campbell (Big South),11,5-6,17,35,0.486
Indiana St. (MVFC),11,2-9,14,29,0.483
Fordham (Patriot),12,9-3,11,23,0.478
Alcorn (SWAC),11,5-6,10,21,0.476
South Carolina St. (MEAC),11,3-8,10,21,0.476
Western Caro. (SoCon),11,6-5,10,21,0.476
Bethune-Cookman (SWAC),11,2-9,9,19,0.474
Columbia (Ivy League),10,6-4,9,19,0.474
Howard (MEAC),11,5-6,9,19,0.474
VMI (SoCon),11,1-10,9,19,0.474
San Diego (Pioneer),10,5-5,7,15,0.467
Dartmouth (Ivy League),10,3-7,6,13,0.462
Yale (Ivy League),10,8-2,6,13,0.462
Youngstown St. (MVFC),11,7-4,6,13,0.462
