Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
Northwestern St. (Southland),11,4-7,17,37,0.459
Brown (Ivy League),10,3-7,11,24,0.458
Delaware (CAA),13,8-5,18,40,0.450
Richmond (CAA),13,9-4,9,20,0.450
Davidson (Pioneer),12,8-4,17,38,0.447
Idaho St. (Big Sky),11,1-10,12,27,0.444
Dayton (Pioneer),11,8-3,8,18,0.444
Maine (CAA),11,2-9,10,23,0.435
Tennessee St. (OVC),11,4-7,9,21,0.429
Prairie View (SWAC),11,6-5,6,14,0.429
Eastern Ky. (ASUN),12,7-5,3,7,0.429
Central Conn. St. (NEC),11,2-9,16,38,0.421
Bryant (Big South),11,4-7,7,17,0.412
Rhode Island (CAA),11,7-4,7,17,0.412
Grambling (SWAC),11,3-8,9,22,0.409
Nicholls (Southland),11,3-8,11,27,0.407
Georgetown (Patriot),11,2-9,14,35,0.400
Stetson (Pioneer),10,4-6,8,20,0.400
ETSU (SoCon),11,3-8,6,15,0.400
UAlbany (CAA),11,3-8,6,15,0.400
Hampton (CAA),11,4-7,2,5,0.400
Jackson St. (SWAC),13,12-1,11,28,0.393
Furman (SoCon),13,10-3,7,18,0.389
Norfolk St. (MEAC),11,2-9,7,18,0.389
Western Ill. (MVFC),11,0-11,12,31,0.387
Cal Poly (Big Sky),11,2-9,10,26,0.385
Chattanooga (SoCon),11,7-4,5,13,0.385
Lamar University (Southland),11,1-10,13,34,0.382
Morehead St. (Pioneer),11,2-9,13,34,0.382
Southern U. (SWAC),12,7-5,8,21,0.381
Texas Southern (SWAC),11,5-6,8,21,0.381
Valparaiso (Pioneer),12,5-7,8,21,0.381
Eastern Wash. (Big Sky),11,3-8,11,29,0.379
Weber St. (Big Sky),13,10-3,11,29,0.379
Gardner-Webb (Big South),13,7-6,6,16,0.375
Montana (Big Sky),13,8-5,10,28,0.357
Jacksonville St. (ASUN),11,9-2,5,14,0.357
Drake (Pioneer),11,3-8,11,31,0.355
Elon (CAA),12,8-4,6,17,0.353
Central Ark. (ASUN),11,5-6,9,26,0.346
Lafayette (Patriot),11,4-7,10,29,0.345
Houston Christian (Southland),11,2-9,8,24,0.333
Harvard (Ivy League),10,6-4,5,15,0.333
Marist (Pioneer),11,4-7,9,28,0.321
Lehigh (Patriot),11,2-9,8,25,0.320
Presbyterian (Pioneer),11,1-10,8,25,0.320
Eastern Ill. (OVC),11,2-9,7,22,0.318
UT Martin (OVC),11,7-4,5,16,0.312
Ark.-Pine Bluff (SWAC),11,3-8,7,23,0.304
McNeese (Southland),11,4-7,3,10,0.300
Charleston So. (Big South),10,2-8,5,17,0.294
Morgan St. (MEAC),11,4-7,5,18,0.278
Sam Houston (WAC),9,5-4,5,18,0.278
Robert Morris (Big South),11,0-11,5,19,0.263
Wagner (NEC),11,1-10,6,24,0.250
Sacred Heart (NEC),11,5-6,4,17,0.235
South Dakota (MVFC),11,3-8,4,17,0.235
Bucknell (Patriot),11,3-8,6,28,0.214
Murray St. (OVC),11,2-9,3,18,0.167
Alabama St. (SWAC),11,6-5,2,12,0.167
Stonehill (NEC),9,4-5,9,14,0.643
Lindenwood (OVC),10,7-3,8,13,0.615
Utah Tech (WAC),11,4-7,13,23,0.565
Tarleton St. (WAC),11,6-5,8,15,0.533
Tex. A&M-Commerce (Southland),11,5-6,9,18,0.500
Merrimack (NEC),11,8-3,4,9,0.444
St. Thomas (MN) (Pioneer),11,10-1,12,28,0.429
