Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
App State (Sun Belt),14,13-1,13,16,0.813
Coastal Carolina (Sun Belt),12,5-7,23,29,0.793
Wisconsin (Big Ten),14,10-4,18,23,0.783
Navy (AAC),13,11-2,26,34,0.765
Air Force (Mountain West),13,11-2,16,21,0.762
SMU (AAC),13,10-3,22,30,0.733
UTEP (CUSA),12,1-11,18,25,0.72
Washington (Pac-12),13,8-5,23,32,0.719
Iowa (Big Ten),13,10-3,15,21,0.714
Houston (AAC),12,4-8,12,17,0.706
Virginia Tech (ACC),13,8-5,9,13,0.692
Alabama (SEC),13,11-2,13,19,0.684
Notre Dame (FBS Independent),13,11-2,17,25,0.68
Army West Point (FBS Independent),13,5-8,26,39,0.667
Oklahoma (Big 12),14,12-2,8,12,0.667
Kent St. (MAC),13,7-6,8,12,0.667
LSU (SEC),15,15-0,6,9,0.667
North Carolina (ACC),13,7-6,15,23,0.652
Arizona (Pac-12),12,4-8,13,20,0.65
Minnesota (Big Ten),13,11-2,13,20,0.65
Cincinnati (AAC),14,11-3,11,17,0.647
Buffalo (MAC),13,8-5,16,25,0.64
Texas A&M (SEC),13,8-5,7,11,0.636
Michigan St. (Big Ten),13,7-6,13,21,0.619
New Mexico St. (FBS Independent),12,2-10,16,26,0.615
Florida (SEC),13,11-2,16,26,0.615
Ohio St. (Big Ten),14,13-1,8,13,0.615
Penn St. (Big Ten),13,11-2,11,18,0.611
Louisville (ACC),13,8-5,14,23,0.609
Old Dominion (CUSA),12,1-11,20,33,0.606
Duke (ACC),12,5-7,20,33,0.606
Hawaii (Mountain West),15,10-5,20,33,0.606
Western Ky. (CUSA),13,9-4,15,25,0.6
Colorado (Pac-12),12,5-7,12,20,0.6
Kansas St. (Big 12),13,8-5,9,15,0.6
Georgia (SEC),14,12-2,6,10,0.6
Southern California (Pac-12),13,8-5,6,10,0.6
Troy (Sun Belt),12,5-7,13,22,0.591
Fla. Atlantic (CUSA),14,11-3,13,22,0.591
Washington St. (Pac-12),13,6-7,13,22,0.591
Tulane (AAC),13,7-6,20,34,0.588
Boise St. (Mountain West),14,12-2,10,17,0.588
Nevada (Mountain West),13,7-6,14,24,0.583
Memphis (AAC),14,12-2,14,24,0.583
Toledo (MAC),12,6-6,18,31,0.581
Florida St. (ACC),13,6-7,11,19,0.579
UCF (AAC),13,10-3,19,33,0.576
ULM (Sun Belt),12,5-7,16,28,0.571
Western Mich. (MAC),13,7-6,16,28,0.571
Central Mich. (MAC),14,8-6,17,30,0.567
San Diego St. (Mountain West),13,10-3,13,23,0.565
Tulsa (AAC),12,4-8,13,23,0.565
Charlotte (CUSA),13,7-6,13,23,0.565
Arkansas St. (Sun Belt),13,8-5,13,23,0.565
North Texas (CUSA),12,4-8,18,32,0.563
Virginia (ACC),14,9-5,9,16,0.563
Arizona St. (Pac-12),13,8-5,9,16,0.563
Ohio (MAC),13,7-6,5,9,0.556
UTSA (CUSA),12,4-8,17,31,0.548
Michigan (Big Ten),13,9-4,12,22,0.545
Boston College (ACC),13,6-7,13,24,0.542
FIU (CUSA),13,6-7,13,24,0.542
Oregon St. (Pac-12),12,5-7,13,24,0.542
Missouri (SEC),12,6-6,7,13,0.538
Ole Miss (SEC),12,4-8,17,32,0.531
Louisiana (Sun Belt),14,11-3,9,17,0.529
Middle Tenn. (CUSA),12,4-8,9,17,0.529
West Virginia (Big 12),12,5-7,10,19,0.526
Oklahoma St. (Big 12),13,8-5,11,21,0.524
Colorado St. (Mountain West),12,4-8,11,21,0.524
NIU (MAC),12,5-7,12,23,0.522
Ball St. (MAC),12,5-7,12,23,0.522
Miami (FL) (ACC),13,6-7,13,25,0.52
Oregon (Pac-12),14,12-2,13,25,0.52
Kentucky (SEC),13,8-5,14,27,0.519
UNLV (Mountain West),12,4-8,17,33,0.515
Purdue (Big Ten),12,4-8,8,16,0.5
Clemson (ACC),15,14-1,6,12,0.5
Wyoming (Mountain West),13,8-5,6,12,0.5
NC State (ACC),12,4-8,14,29,0.483
South Carolina (SEC),12,4-8,13,27,0.481
Georgia St. (Sun Belt),13,7-6,13,27,0.481
Eastern Mich. (MAC),13,6-7,12,25,0.48
Texas Tech (Big 12),12,4-8,12,25,0.48
Southern Miss. (CUSA),13,7-6,8,17,0.471
Georgia Tech (ACC),12,3-9,8,17,0.471
Pittsburgh (ACC),13,8-5,8,17,0.471
Auburn (SEC),13,9-4,7,15,0.467
South Alabama (Sun Belt),12,2-10,12,26,0.462
Fresno St. (Mountain West),12,4-8,6,13,0.462
UCLA (Pac-12),12,4-8,13,29,0.448
Indiana (Big Ten),13,8-5,8,18,0.444
Rice (CUSA),12,3-9,8,18,0.444
Utah (Pac-12),14,11-3,11,25,0.44
South Fla. (AAC),12,4-8,7,16,0.438
San Jose St. (Mountain West),12,5-7,7,16,0.438
Nebraska (Big Ten),12,5-7,10,23,0.435
Iowa St. (Big 12),13,7-6,9,21,0.429
Rutgers (Big Ten),12,2-10,6,14,0.429
Marshall (CUSA),13,8-5,6,14,0.429
Ga. Southern (Sun Belt),13,7-6,6,14,0.429
East Carolina (AAC),12,4-8,3,7,0.429
Temple (AAC),13,8-5,15,36,0.417
TCU (Big 12),12,5-7,5,12,0.417
Wake Forest (ACC),13,8-5,7,17,0.412
UConn (AAC),12,2-10,10,25,0.4
Arkansas (SEC),12,2-10,8,20,0.4
UAB (CUSA),14,9-5,8,20,0.4
Baylor (Big 12),14,11-3,6,15,0.4
Syracuse (ACC),12,5-7,11,28,0.393
Northwestern (Big Ten),12,3-9,11,28,0.393
Mississippi St. (SEC),13,6-7,7,18,0.389
Vanderbilt (SEC),12,3-9,8,21,0.381
Massachusetts (FBS Independent),12,1-11,11,29,0.379
California (Pac-12),13,8-5,6,16,0.375
New Mexico (Mountain West),12,2-10,6,16,0.375
Louisiana Tech (CUSA),13,10-3,6,16,0.375
Texas (Big 12),13,8-5,7,19,0.368
BYU (FBS Independent),13,7-6,7,19,0.368
Miami (OH) (MAC),14,8-6,6,17,0.353
Kansas (Big 12),12,3-9,7,20,0.35
Illinois (Big Ten),13,6-7,5,15,0.333
Utah St. (Mountain West),13,7-6,3,9,0.333
Akron (MAC),12,0-12,7,22,0.318
Liberty (FBS Independent),13,8-5,5,16,0.313
Maryland (Big Ten),12,3-9,8,26,0.308
Texas St. (Sun Belt),12,3-9,4,13,0.308
Stanford (Pac-12),12,4-8,4,13,0.308
Bowling Green (MAC),12,3-9,7,32,0.219
Tennessee (SEC),13,8-5,2,12,0.167
