Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Arkansas (SEC),12,2-10,47,20,13,8,41,0.872
East Carolina (AAC),12,4-8,47,23,9,9,41,0.872
NC State (ACC),12,4-8,48,15,16,11,42,0.875
Texas (Big 12),13,8-5,51,12,17,16,45,0.882
Ball St. (MAC),12,5-7,51,30,5,10,45,0.882
Colorado St. (Mountain West),12,4-8,43,18,10,10,38,0.884
Massachusetts (FBS Independent),12,1-11,69,38,17,6,61,0.884
UTSA (C-USA),12,4-8,52,18,12,16,46,0.885
South Alabama (Sun Belt),12,2-10,53,14,16,17,47,0.887
Houston (AAC),12,4-8,45,19,15,6,40,0.889
Georgia St. (Sun Belt),13,7-6,55,23,17,9,49,0.891
Ga. Southern (Sun Belt),13,7-6,46,17,17,7,41,0.891
Iowa St. (Big 12),13,7-6,37,10,11,12,33,0.892
West Virginia (Big 12),12,5-7,47,18,12,12,42,0.894
Indiana (Big Ten),13,8-5,38,12,12,10,34,0.895
FIU (C-USA),13,6-7,50,21,11,13,45,0.9
TCU (Big 12),12,5-7,40,13,12,11,36,0.9
Boston College (ACC),13,6-7,53,15,16,17,48,0.906
Arizona (Pac-12),12,4-8,53,22,11,15,48,0.906
New Mexico St. (FBS Independent),12,2-10,54,26,12,11,49,0.907
UTEP (C-USA),12,1-11,54,20,18,11,49,0.907
Nebraska (Big Ten),12,5-7,44,20,10,10,40,0.909
Minnesota (Big Ten),13,11-2,35,15,8,9,32,0.914
Memphis (AAC),14,12-2,50,20,10,16,46,0.92
Central Mich. (MAC),14,8-6,50,19,15,12,46,0.92
UConn (AAC),12,2-10,53,27,18,4,49,0.925
North Texas (C-USA),12,4-8,44,24,6,11,41,0.932
Oklahoma (Big 12),14,12-2,48,20,12,13,45,0.938
Notre Dame (FBS Independent),13,11-2,30,9,8,12,29,0.967
Kansas St. (Big 12),13,8-5,34,14,4,15,33,0.971
