Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
Ohio St. (Big Ten),14,13-1,881,3636,4.13,23,23,259.7
Utah (Pac-12),14,11-3,813,3769,4.64,25,25,269.2
Georgia (SEC),14,12-2,900,3860,4.29,18,20,275.7
Wisconsin (Big Ten),14,10-4,839,4020,4.79,29,30,287.1
San Diego St. (Mountain West),13,10-3,804,3741,4.65,18,19,287.8
Clemson (ACC),15,14-1,970,4325,4.46,24,24,288.3
Buffalo (MAC),13,8-5,780,3795,4.87,33,35,291.9
UAB (C-USA),14,9-5,897,4226,4.71,35,38,301.9
Florida (SEC),13,11-2,809,3963,4.9,23,23,304.8
Minnesota (Big Ten),13,11-2,787,3986,5.06,32,37,306.6
Michigan (Big Ten),13,9-4,846,3994,4.72,36,37,307.2
Iowa (Big Ten),13,10-3,835,4007,4.8,20,21,308.2
Miami (FL) (ACC),13,6-7,849,4028,4.74,29,30,309.8
Missouri (SEC),12,6-6,771,3744,4.86,27,28,312.0
Pittsburgh (ACC),13,8-5,905,4068,4.5,31,33,312.9
Navy (AAC),13,11-2,777,4084,5.26,32,36,314.2
Air Force (Mountain West),13,11-2,752,4155,5.53,32,34,319.6
Michigan St. (Big Ten),13,7-6,843,4181,4.96,35,37,321.6
Notre Dame (FBS Independent),13,11-2,894,4181,4.68,25,26,321.6
Alabama (SEC),13,11-2,877,4217,4.81,24,26,324.4
Kentucky (SEC),13,8-5,796,4220,5.3,30,32,324.6
Oregon (Pac-12),14,12-2,973,4607,4.73,23,24,329.1
Tennessee (SEC),13,8-5,868,4348,5.01,31,34,334.5
Western Ky. (C-USA),13,9-4,835,4361,5.22,28,32,335.5
Northwestern (Big Ten),12,3-9,796,4028,5.06,31,34,335.7
App State (Sun Belt),14,13-1,940,4705,5.01,34,35,336.1
TCU (Big 12),12,5-7,769,4043,5.26,38,39,336.9
Auburn (SEC),13,9-4,905,4381,4.84,31,32,337.0
Texas A&M (SEC),13,8-5,842,4423,5.25,32,35,340.2
Army West Point (FBS Independent),13,5-8,789,4450,5.64,37,38,342.3
LSU (SEC),15,15-0,1008,5153,5.11,39,42,343.5
UCF (AAC),13,10-3,985,4499,4.57,31,36,346.1
Boise St. (Mountain West),14,12-2,928,4848,5.22,39,39,346.3
Penn St. (Big Ten),13,11-2,935,4504,4.82,23,23,346.5
Washington (Pac-12),13,8-5,887,4532,5.11,28,30,348.6
Indiana (Big Ten),13,8-5,853,4579,5.37,37,39,352.2
Southern Miss. (C-USA),13,7-6,803,4583,5.71,41,44,352.5
Oklahoma (Big 12),14,12-2,886,4990,5.63,47,48,356.4
Baylor (Big 12),14,11-3,1032,5046,4.89,31,32,360.4
Cincinnati (AAC),14,11-3,987,5060,5.13,32,34,361.4
Central Mich. (MAC),14,8-6,938,5082,5.42,45,49,363.0
Virginia Tech (ACC),13,8-5,898,4723,5.26,39,41,363.3
Wyoming (Mountain West),13,8-5,941,4729,5.03,25,25,363.8
Kansas St. (Big 12),13,8-5,776,4789,6.17,31,31,368.4
Iowa St. (Big 12),13,7-6,896,4801,5.36,35,39,369.3
Old Dominion (C-USA),12,1-11,787,4453,5.66,42,45,371.1
Louisiana (Sun Belt),14,11-3,955,5205,5.45,32,33,371.8
Virginia (ACC),14,9-5,906,5206,5.75,46,48,371.9
