Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Rice (C-USA),12,3-9,433,1538,3.55,14,128.2
Vanderbilt (SEC),12,3-9,363,1528,4.21,11,127.3
Arkansas St. (Sun Belt),13,8-5,456,1654,3.63,13,127.2
Michigan St. (Big Ten),13,7-6,468,1653,3.53,12,127.2
Massachusetts (FBS Independent),12,1-11,430,1495,3.48,14,124.6
Arizona St. (Pac-12),13,8-5,459,1602,3.49,13,123.2
Eastern Mich. (MAC),13,6-7,418,1590,3.8,21,122.3
Virginia (ACC),14,9-5,442,1697,3.84,28,121.2
Southern California (Pac-12),13,8-5,394,1555,3.95,18,119.6
Pittsburgh (ACC),13,8-5,441,1544,3.5,11,118.8
Miami (FL) (ACC),13,6-7,407,1535,3.77,16,118.1
Southern Miss. (C-USA),13,7-6,434,1527,3.52,17,117.5
Nevada (Mountain West),13,7-6,446,1503,3.37,16,115.6
Stanford (Pac-12),12,4-8,346,1266,3.66,8,105.5
Old Dominion (C-USA),12,1-11,431,1168,2.71,16,97.3
San Jose St. (Mountain West),12,5-7,307,1073,3.5,19,89.4
Purdue (Big Ten),12,4-8,342,999,2.92,9,83.3
Texas St. (Sun Belt),12,3-9,327,921,2.82,8,76.8
West Virginia (Big 12),12,5-7,334,879,2.63,7,73.3
Washington St. (Pac-12),13,6-7,210,885,4.21,12,68.1
Akron (MAC),12,0-12,327,571,1.75,2,47.6
